;ENSCAFT00000018720_90_90;ENST00000347464_90_90;ENST00000373525_90_90;ENST00000392017_90_90;ENST00000392018_90_90;ENST00000392020_90_90;ENST00000392021_90_90;ENST00000417017_90_90;ENST00000419681_90_90;ENST00000431917_90_90;ENST00000444735_90_90;ENSMUST00000027512_90_90;ENSMUST00000113186_90_90;ENSMUST00000113190_90_90;ENSMUST00000144047_90_90
ENSCAFT00000018720_90_90;1.0;0.629;0.627;0.899;0.855;0.853;0.057;0.364;0.319;0.101;0.324;0.899;0.853;0.873;0.293
ENST00000347464_90_90;0.629;1.0;0.798;0.671;0.606;0.744;0.134;0.333;0.548;0.0;0.342;0.671;0.744;0.619;0.075
ENST00000373525_90_90;0.627;0.798;1.0;0.714;0.639;0.615;0.121;0.364;0.499;0.0;0.474;0.714;0.615;0.653;0.068
ENST00000392017_90_90;0.899;0.671;0.714;1.0;0.895;0.901;0.086;0.404;0.357;0.101;0.356;1.0;0.901;0.915;0.293
ENST00000392018_90_90;0.855;0.606;0.639;0.895;1.0;0.812;0.075;0.354;0.314;0.09;0.461;0.895;0.812;0.976;0.26
ENST00000392020_90_90;0.853;0.744;0.615;0.901;0.812;1.0;0.099;0.402;0.406;0.114;0.273;0.901;1.0;0.829;0.331
ENST00000392021_90_90;0.057;0.134;0.121;0.086;0.075;0.099;1.0;0.212;0.24;0.0;0.177;0.086;0.099;0.077;0.0
ENST00000417017_90_90;0.364;0.333;0.364;0.404;0.354;0.402;0.212;1.0;0.534;0.166;0.486;0.404;0.402;0.364;0.311
ENST00000419681_90_90;0.319;0.548;0.499;0.357;0.314;0.406;0.24;0.534;1.0;0.0;0.588;0.357;0.406;0.322;0.1
ENST00000431917_90_90;0.101;0.0;0.0;0.101;0.09;0.114;0.0;0.166;0.0;1.0;0.0;0.101;0.114;0.092;0.346
ENST00000444735_90_90;0.324;0.342;0.474;0.356;0.461;0.273;0.177;0.486;0.588;0.0;1.0;0.356;0.273;0.437;0.071
ENSMUST00000027512_90_90;0.899;0.671;0.714;1.0;0.895;0.901;0.086;0.404;0.357;0.101;0.356;1.0;0.901;0.915;0.293
ENSMUST00000113186_90_90;0.853;0.744;0.615;0.901;0.812;1.0;0.099;0.402;0.406;0.114;0.273;0.901;1.0;0.829;0.331
ENSMUST00000113190_90_90;0.873;0.619;0.653;0.915;0.976;0.829;0.077;0.364;0.322;0.092;0.437;0.915;0.829;1.0;0.266
ENSMUST00000144047_90_90;0.293;0.075;0.068;0.293;0.26;0.331;0.0;0.311;0.1;0.346;0.071;0.293;0.331;0.266;1.0
