;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.696;0.911;0.999;0.934;0.018;0.999;0.934;0.934;0.146;0.285;0.414;0.018
ENSCAFT00000013564_90_90;0.696;1.0;0.72;0.697;0.742;0.101;0.696;0.741;0.741;0.181;0.354;0.514;0.101
ENST00000233330_90_90;0.911;0.72;1.0;0.911;0.933;0.019;0.911;0.933;0.933;0.16;0.281;0.455;0.019
ENST00000272430_90_90;0.999;0.697;0.911;1.0;0.896;0.018;1.0;0.897;0.897;0.146;0.286;0.414;0.018
ENST00000305557_90_90;0.934;0.742;0.933;0.896;1.0;0.018;0.896;0.999;0.999;0.15;0.293;0.424;0.018
ENST00000640304_90_90;0.018;0.101;0.019;0.018;0.018;1.0;0.018;0.018;0.018;0.0;0.0;0.0;1.0
ENSMUST00000065512_90_90;0.999;0.696;0.911;1.0;0.896;0.018;1.0;0.896;0.896;0.146;0.26;0.414;0.018
ENSMUST00000087938_90_90;0.934;0.741;0.933;0.897;0.999;0.018;0.896;1.0;1.0;0.149;0.265;0.423;0.018
ENSMUST00000121093_90_90;0.934;0.741;0.933;0.897;0.999;0.018;0.896;1.0;1.0;0.149;0.265;0.423;0.018
ENSMUST00000129316_90_90;0.146;0.181;0.16;0.146;0.15;0.0;0.146;0.149;0.149;1.0;0.379;0.353;0.0
ENSMUST00000130622_90_90;0.285;0.354;0.281;0.286;0.293;0.0;0.26;0.265;0.265;0.379;1.0;0.49;0.0
ENSMUST00000135490_90_90;0.414;0.514;0.455;0.414;0.424;0.0;0.414;0.423;0.423;0.353;0.49;1.0;0.0
ENSMUST00000213056_90_90;0.018;0.101;0.019;0.018;0.018;1.0;0.018;0.018;0.018;0.0;0.0;0.0;1.0
