;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.721;0.79;0.938;0.997;0.997;0.997;0.997;0.943;0.976;0.782;0.883;0.923;0.75;0.625;0.755;0.79;0.827;0.857;0.668;0.734;0.939;0.939
transcript17_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.721;0.79;0.938;0.997;0.997;0.997;0.997;0.943;0.976;0.782;0.883;0.923;0.75;0.625;0.755;0.79;0.827;0.857;0.668;0.734;0.939;0.939
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;1.0;0.721;0.79;0.938;0.997;0.997;0.997;0.997;0.943;0.976;0.782;0.883;0.923;0.75;0.625;0.755;0.79;0.827;0.857;0.668;0.734;0.939;0.939
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.721;0.79;0.952;0.997;0.997;0.997;0.997;0.955;0.982;0.792;0.897;0.936;0.76;0.637;0.764;0.794;0.837;0.861;0.677;0.736;0.953;0.953
transcript17_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.721;0.79;0.952;0.997;0.997;0.997;0.997;0.955;0.982;0.792;0.897;0.936;0.76;0.637;0.764;0.794;0.837;0.861;0.677;0.736;0.953;0.953
transcript25_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;1.0;0.721;0.79;0.952;0.997;0.997;0.997;0.997;0.955;0.982;0.792;0.897;0.936;0.76;0.637;0.764;0.794;0.837;0.861;0.677;0.736;0.953;0.953
transcript26_ENSHGLG00000019563;0.721;0.721;0.721;0.721;0.721;0.721;1.0;0.502;0.679;0.708;0.708;0.708;0.708;0.681;0.698;0.505;0.609;0.648;0.458;0.346;0.46;0.461;0.521;0.53;0.352;0.5;0.691;0.691
transcript27_ENSHGLG00000019563;0.79;0.79;0.79;0.79;0.79;0.79;0.502;1.0;0.807;0.852;0.852;0.852;0.852;0.712;0.738;0.548;0.604;0.643;0.466;0.932;0.47;0.449;0.494;0.516;0.333;0.391;0.745;0.745
transcript0_ENSHGLG00100006079;0.938;0.938;0.938;0.952;0.952;0.952;0.679;0.807;1.0;0.629;0.629;0.629;0.629;0.989;0.795;0.871;0.965;0.984;0.871;0.891;0.809;0.56;0.908;0.596;0.816;0.532;0.996;0.996
transcript13_ENSHGLG00100006079;0.997;0.997;0.997;0.997;0.997;0.997;0.708;0.852;0.629;1.0;1.0;1.0;1.0;0.658;0.819;0.53;0.536;0.555;0.433;0.459;0.457;0.609;0.446;0.672;0.347;0.552;0.627;0.627
