;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.062;0.118;0.412;0.094;0.757;0.061;0.73;0.73;0.703;0.031;0.829;0.471;0.771;0.061;0.629;0.8;0.091;0.364;0.152;0.031
ENST00000423692_90_90;0.062;1.0;0.0;0.0;0.0;0.061;0.0;0.062;0.062;0.065;0.5;0.062;0.0;0.067;0.0;0.08;0.065;0.0;0.0;0.0;0.5
ENST00000431645_90_90;0.118;0.0;1.0;0.0;0.0;0.147;0.125;0.152;0.152;0.156;0.0;0.086;0.0;0.091;0.286;0.107;0.088;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.412;0.0;0.0;1.0;0.118;0.485;0.0;0.455;0.455;0.424;0.0;0.455;0.7;0.438;0.0;0.206;0.469;0.053;0.261;0.294;0.0
ENST00000449389_90_90;0.094;0.0;0.0;0.118;1.0;0.059;0.0;0.061;0.061;0.062;0.0;0.094;0.105;0.1;0.0;0.12;0.097;0.0;0.231;0.0;0.0
ENST00000611405_90_90;0.757;0.061;0.147;0.485;0.059;1.0;0.029;0.97;0.97;0.939;0.03;0.757;0.457;0.703;0.059;0.526;0.73;0.088;0.314;0.182;0.03
ENST00000614370_90_90;0.061;0.0;0.125;0.0;0.0;0.029;1.0;0.029;0.029;0.03;0.0;0.061;0.0;0.065;0.2;0.077;0.062;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.73;0.062;0.152;0.455;0.061;0.97;0.029;1.0;0.939;0.969;0.031;0.73;0.429;0.676;0.061;0.5;0.703;0.091;0.324;0.188;0.031
ENST00000618262_90_90;0.73;0.062;0.152;0.455;0.061;0.97;0.029;0.939;1.0;0.969;0.031;0.73;0.429;0.722;0.061;0.541;0.703;0.091;0.324;0.188;0.031
ENST00000618411_90_90;0.703;0.065;0.156;0.424;0.062;0.939;0.03;0.969;0.969;1.0;0.032;0.703;0.4;0.694;0.062;0.514;0.676;0.094;0.333;0.194;0.032
ENST00000641476_90_90;0.031;0.5;0.0;0.0;0.0;0.03;0.0;0.031;0.031;0.032;1.0;0.031;0.0;0.033;0.0;0.04;0.032;0.0;0.0;0.0;1.0
ENSMUST00000040873_90_90;0.829;0.062;0.086;0.455;0.094;0.757;0.061;0.73;0.73;0.703;0.031;1.0;0.515;0.938;0.029;0.676;0.969;0.059;0.324;0.188;0.031
ENSMUST00000196109_90_90;0.471;0.0;0.0;0.7;0.105;0.457;0.0;0.429;0.429;0.4;0.0;0.515;1.0;0.455;0.0;0.229;0.485;0.048;0.292;0.333;0.0
ENSMUST00000197466_90_90;0.771;0.067;0.091;0.438;0.1;0.703;0.065;0.676;0.722;0.694;0.033;0.938;0.455;1.0;0.031;0.719;0.968;0.062;0.344;0.161;0.033
ENSMUST00000197484_90_90;0.061;0.0;0.286;0.0;0.0;0.059;0.2;0.061;0.061;0.062;0.0;0.029;0.0;0.031;1.0;0.037;0.03;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.629;0.08;0.107;0.206;0.12;0.526;0.077;0.5;0.541;0.514;0.04;0.676;0.229;0.719;0.037;1.0;0.697;0.16;0.52;0.0;0.04
ENSMUST00000199243_90_90;0.8;0.065;0.088;0.469;0.097;0.73;0.062;0.703;0.703;0.676;0.032;0.969;0.485;0.968;0.03;0.697;1.0;0.061;0.333;0.156;0.032
ENSMUST00000199365_90_90;0.091;0.0;0.0;0.053;0.0;0.088;0.0;0.091;0.091;0.094;0.0;0.059;0.048;0.062;0.0;0.16;0.061;1.0;0.308;0.0;0.0
ENSMUST00000199605_90_90;0.364;0.0;0.0;0.261;0.231;0.314;0.0;0.324;0.324;0.333;0.0;0.324;0.292;0.344;0.0;0.52;0.333;0.308;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.152;0.0;0.0;0.294;0.0;0.182;0.0;0.188;0.188;0.194;0.0;0.188;0.333;0.161;0.0;0.0;0.156;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.031;0.5;0.0;0.0;0.0;0.03;0.0;0.031;0.031;0.032;1.0;0.031;0.0;0.033;0.0;0.04;0.032;0.0;0.0;0.0;1.0
