;ENSCAFT00000017386_90_90;ENST00000233892_90_90;ENST00000323303_90_90;ENST00000409355_90_90;ENST00000409360_90_90;ENST00000409916_90_90;ENST00000417097_90_90;ENST00000448447_90_90;ENSMUST00000027122_90_90;ENSMUST00000159311_90_90;ENSMUST00000161122_90_90;ENSMUST00000162364_90_90;ENSMUST00000162553_90_90
ENSCAFT00000017386_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000233892_90_90;0.0;1.0;0.858;0.146;1.0;0.653;0.058;0.864;0.628;0.864;0.058;0.858;0.965
ENST00000323303_90_90;0.0;0.858;1.0;0.227;0.858;0.56;0.2;0.907;0.633;0.762;0.102;0.847;0.842
ENST00000409355_90_90;0.0;0.146;0.227;1.0;0.146;0.0;0.333;0.25;0.0;0.14;0.045;0.128;0.153
ENST00000409360_90_90;0.0;1.0;0.858;0.146;1.0;0.653;0.058;0.864;0.628;0.864;0.058;0.858;0.965
ENST00000409916_90_90;0.0;0.653;0.56;0.0;0.653;1.0;0.0;0.618;0.689;0.618;0.0;0.56;0.618
ENST00000417097_90_90;0.0;0.058;0.2;0.333;0.058;0.0;1.0;0.107;0.101;0.017;0.4;0.102;0.061
ENST00000448447_90_90;0.0;0.864;0.907;0.25;0.864;0.618;0.107;1.0;0.549;0.834;0.017;0.761;0.846
ENSMUST00000027122_90_90;0.0;0.628;0.633;0.0;0.628;0.689;0.101;0.549;1.0;0.675;0.219;0.766;0.599
ENSMUST00000159311_90_90;0.0;0.864;0.762;0.14;0.864;0.618;0.017;0.834;0.675;1.0;0.107;0.907;0.833
ENSMUST00000161122_90_90;0.0;0.058;0.102;0.045;0.058;0.0;0.4;0.017;0.219;0.107;1.0;0.2;0.06
ENSMUST00000162364_90_90;0.0;0.858;0.847;0.128;0.858;0.56;0.102;0.761;0.766;0.907;0.2;1.0;0.828
ENSMUST00000162553_90_90;0.0;0.965;0.842;0.153;0.965;0.618;0.061;0.846;0.599;0.833;0.06;0.828;1.0
