;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000315660_90_90;0.0;1.0;0.381;1.0;1.0;0.15;0.381;0.737;0.05;0.632;0.368;0.208;0.474;1.0;0.526;0.684;0.579;0.8;0.412;0.938;0.412
ENST00000372382_90_90;0.0;0.381;1.0;0.381;0.381;0.273;0.667;0.143;0.091;0.048;0.0;0.333;0.0;0.381;0.0;0.095;0.615;0.227;0.7;0.412;0.889
ENST00000372383_90_90;0.0;1.0;0.381;1.0;1.0;0.15;0.381;0.737;0.05;0.632;0.368;0.208;0.474;1.0;0.526;0.684;0.579;0.8;0.412;0.938;0.412
ENST00000372384_90_90;0.0;1.0;0.381;1.0;1.0;0.15;0.381;0.737;0.05;0.632;0.368;0.208;0.474;1.0;0.526;0.684;0.579;0.8;0.412;0.938;0.412
ENST00000372390_90_90;0.0;0.15;0.273;0.15;0.15;1.0;0.273;0.0;0.5;0.0;0.0;0.0;0.0;0.15;0.0;0.0;0.25;0.0;0.333;0.188;0.333
ENST00000372397_90_90;0.0;0.381;0.667;0.381;0.381;0.273;1.0;0.143;0.091;0.048;0.0;0.538;0.0;0.381;0.0;0.095;0.615;0.227;0.889;0.412;0.7
ENST00000480691_90_90;0.0;0.737;0.143;0.737;0.737;0.0;0.143;1.0;0.0;0.857;0.5;0.143;0.643;0.737;0.714;0.929;0.316;0.824;0.176;0.688;0.176
ENST00000486554_90_90;0.0;0.05;0.091;0.05;0.05;0.5;0.091;0.0;1.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.083;0.0;0.111;0.062;0.111
ENST00000502650_90_90;0.0;0.632;0.048;0.632;0.632;0.0;0.048;0.857;0.0;1.0;0.583;0.048;0.75;0.632;0.833;0.923;0.211;0.706;0.059;0.562;0.059
ENST00000502961_90_90;0.0;0.368;0.0;0.368;0.368;0.0;0.0;0.5;0.0;0.583;1.0;0.0;0.778;0.368;0.7;0.538;0.0;0.412;0.0;0.25;0.0
ENST00000503515_90_90;0.0;0.208;0.333;0.208;0.208;0.0;0.538;0.143;0.0;0.048;0.0;1.0;0.0;0.208;0.0;0.095;0.312;0.286;0.667;0.294;0.5
ENST00000505965_90_90;0.0;0.474;0.0;0.474;0.474;0.0;0.0;0.643;0.0;0.75;0.778;0.0;1.0;0.474;0.9;0.692;0.053;0.529;0.0;0.375;0.0
ENST00000506081_90_90;0.0;1.0;0.381;1.0;1.0;0.15;0.381;0.737;0.05;0.632;0.368;0.208;0.474;1.0;0.526;0.684;0.579;0.8;0.412;0.938;0.412
ENST00000506724_90_90;0.0;0.526;0.0;0.526;0.526;0.0;0.0;0.714;0.0;0.833;0.7;0.0;0.9;0.526;1.0;0.769;0.105;0.588;0.0;0.438;0.0
ENST00000510887_90_90;0.0;0.684;0.095;0.684;0.684;0.0;0.095;0.929;0.0;0.923;0.538;0.095;0.692;0.684;0.769;1.0;0.263;0.765;0.118;0.625;0.118
ENST00000514426_90_90;0.0;0.579;0.615;0.579;0.579;0.25;0.615;0.316;0.083;0.211;0.0;0.312;0.053;0.579;0.105;0.263;1.0;0.4;0.583;0.625;0.583
ENST00000514897_90_90;0.0;0.8;0.227;0.8;0.8;0.0;0.227;0.824;0.0;0.706;0.412;0.286;0.529;0.8;0.588;0.765;0.4;1.0;0.235;0.75;0.235
ENSMUST00000055738_90_90;0.0;0.412;0.7;0.412;0.412;0.333;0.889;0.176;0.111;0.059;0.0;0.667;0.0;0.412;0.0;0.118;0.583;0.235;1.0;0.474;0.692
ENSMUST00000112996_90_90;0.0;0.938;0.412;0.938;0.938;0.188;0.412;0.688;0.062;0.562;0.25;0.294;0.375;0.938;0.438;0.625;0.625;0.75;0.474;1.0;0.474
ENSMUST00000123898_90_90;0.0;0.412;0.889;0.412;0.412;0.333;0.7;0.176;0.111;0.059;0.0;0.5;0.0;0.412;0.0;0.118;0.583;0.235;0.692;0.474;1.0
