;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript5_ENSHGLG00100006079;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript5_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript5_ENSHGLG00100003156;1.0;1.0;0.853;0.952;0.522;0.905;0.799;0.522;1.0;1.0;1.0
transcript18_ENSHGLG00100003156;1.0;1.0;0.853;0.952;0.522;0.905;0.799;0.522;1.0;1.0;1.0
transcript33_ENSHGLG00100003156;0.853;0.853;1.0;0.805;0.376;0.758;0.652;0.376;0.853;0.853;0.853
transcript34_ENSHGLG00100003156;0.952;0.952;0.805;1.0;0.475;0.857;0.752;0.475;0.952;0.952;0.952
transcript35_ENSHGLG00100003156;0.522;0.522;0.376;0.475;1.0;0.427;0.59;1.0;0.522;0.522;0.522
transcript36_ENSHGLG00100003156;0.905;0.905;0.758;0.857;0.427;1.0;0.704;0.427;0.905;0.905;0.905
transcript5_ENSHGLG00100006079;0.799;0.799;0.652;0.752;0.59;0.704;1.0;0.59;0.799;0.799;0.799
transcript30_ENSHGLG00100006079;0.522;0.522;0.376;0.475;1.0;0.427;0.59;1.0;0.522;0.522;0.522
transcript5_ENSPCIG00000036398;1.0;1.0;0.853;0.952;0.522;0.905;0.799;0.522;1.0;1.0;1.0
transcript5_ENSXMAG00000026005;1.0;1.0;0.853;0.952;0.522;0.905;0.799;0.522;1.0;1.0;1.0
transcript7_ENSXMAG00000026005;1.0;1.0;0.853;0.952;0.522;0.905;0.799;0.522;1.0;1.0;1.0
