;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.83;0.294;0.79;0.753;0.902;0.142;0.79;0.999;0.999;0.999;1.0;0.22;0.073
ENST00000342203_90_90;0.83;1.0;0.291;0.956;0.706;0.902;0.121;0.956;0.892;0.892;0.892;0.894;0.238;0.079
ENST00000422026_90_90;0.294;0.291;1.0;0.247;0.344;0.319;0.0;0.247;0.294;0.294;0.294;0.294;0.748;0.248
ENST00000437941_90_90;0.79;0.956;0.247;1.0;0.675;0.858;0.126;1.0;0.849;0.849;0.849;0.85;0.191;0.031
ENST00000476905_90_90;0.753;0.706;0.344;0.675;1.0;0.769;0.0;0.675;0.752;0.752;0.752;0.754;0.281;0.087
ENST00000481102_90_90;0.902;0.902;0.319;0.858;0.769;1.0;0.132;0.858;0.905;0.905;0.905;0.907;0.242;0.08
ENST00000603677_90_90;0.142;0.121;0.0;0.126;0.0;0.132;1.0;0.126;0.142;0.142;0.142;0.142;0.0;0.0
ENST00000605755_90_90;0.79;0.956;0.247;1.0;0.675;0.858;0.126;1.0;0.849;0.849;0.849;0.85;0.191;0.031
ENSMUST00000039021_90_90;0.999;0.892;0.294;0.849;0.752;0.905;0.142;0.849;1.0;1.0;1.0;0.998;0.219;0.073
ENSMUST00000106149_90_90;0.999;0.892;0.294;0.849;0.752;0.905;0.142;0.849;1.0;1.0;1.0;0.998;0.219;0.073
ENSMUST00000106151_90_90;0.999;0.892;0.294;0.849;0.752;0.905;0.142;0.849;1.0;1.0;1.0;0.998;0.219;0.073
ENSMUST00000106153_90_90;1.0;0.894;0.294;0.85;0.754;0.907;0.142;0.85;0.998;0.998;0.998;1.0;0.219;0.073
ENSMUST00000129978_90_90;0.22;0.238;0.748;0.191;0.281;0.242;0.0;0.191;0.219;0.219;0.219;0.219;1.0;0.332
ENSMUST00000149262_90_90;0.073;0.079;0.248;0.031;0.087;0.08;0.0;0.031;0.073;0.073;0.073;0.073;0.332;1.0
