;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.816;0.816;1.0;0.816;0.538;0.623;0.728;0.784;0.784;0.784;0.792;0.821;0.874;0.815;0.901;0.932;0.766;1.0;0.772;0.764;0.838;0.887;0.643;0.714;0.756;0.756
transcript17_ENSHGLG00100003156;1.0;1.0;0.816;0.816;1.0;0.816;0.538;0.623;0.728;0.784;0.784;0.784;0.792;0.821;0.874;0.815;0.901;0.932;0.766;1.0;0.772;0.764;0.838;0.887;0.643;0.714;0.756;0.756
transcript20_ENSHGLG00100003156;0.816;0.816;1.0;1.0;0.82;1.0;0.726;0.808;0.938;0.997;0.997;0.997;0.619;0.943;0.997;0.706;0.855;0.949;0.727;0.949;0.732;0.752;0.827;0.873;0.635;0.702;0.939;0.939
transcript13_ENSHGLG00000019563;0.816;0.816;1.0;1.0;0.82;1.0;0.726;0.808;0.952;0.997;0.997;0.997;0.619;0.955;0.997;0.706;0.869;0.949;0.737;0.949;0.742;0.756;0.837;0.873;0.643;0.706;0.953;0.953
transcript17_ENSHGLG00000019563;1.0;1.0;0.82;0.82;1.0;0.82;0.54;0.627;0.744;0.789;0.789;0.789;0.792;0.836;0.877;0.815;0.915;0.932;0.777;1.0;0.781;0.768;0.849;0.887;0.652;0.718;0.774;0.774
transcript25_ENSHGLG00000019563;0.816;0.816;1.0;1.0;0.82;1.0;0.726;0.808;0.952;0.997;0.997;0.997;0.619;0.955;0.997;0.706;0.869;0.949;0.737;0.949;0.742;0.756;0.837;0.873;0.643;0.706;0.953;0.953
transcript26_ENSHGLG00000019563;0.538;0.538;0.726;0.726;0.54;0.726;1.0;0.525;0.686;0.715;0.715;0.715;0.318;0.689;0.715;0.404;0.591;0.653;0.446;0.653;0.448;0.431;0.529;0.542;0.326;0.463;0.696;0.696
transcript27_ENSHGLG00000019563;0.623;0.623;0.808;0.808;0.627;0.808;0.525;1.0;0.821;0.866;0.866;0.866;0.485;0.736;0.777;0.484;0.611;0.69;0.479;0.69;0.483;0.438;0.52;0.553;0.325;0.387;0.762;0.762
transcript0_ENSHGLG00100006079;0.728;0.728;0.938;0.952;0.744;0.952;0.686;0.821;1.0;0.644;0.644;0.644;0.416;0.989;0.671;0.459;0.949;0.561;0.857;0.561;0.798;0.555;0.908;0.45;0.798;0.529;0.996;0.996
transcript13_ENSHGLG00100006079;0.784;0.784;0.997;0.997;0.789;0.997;0.715;0.866;0.644;1.0;1.0;1.0;0.621;0.675;0.994;0.669;0.542;0.938;0.441;0.938;0.463;0.582;0.458;0.869;0.342;0.532;0.641;0.641
