;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.944;0.154;0.692;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
ENSCAFT00000048830_90_90;0.944;1.0;0.154;0.692;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
ENST00000368686_90_90;0.154;0.154;1.0;0.25;0.217;0.174;0.182;0.143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000368687_90_90;0.692;0.692;0.25;1.0;0.636;0.667;0.619;0.524;0.4;0.833;0.833;0.4;0.4;0.4;0.833;0.5;0.5
ENST00000368690_90_90;1.0;1.0;0.217;0.636;1.0;0.955;0.909;0.818;0.333;1.0;1.0;0.333;0.333;0.333;1.0;0.667;0.667
ENST00000368694_90_90;1.0;1.0;0.174;0.667;0.955;1.0;0.952;0.857;0.333;1.0;1.0;0.333;0.333;0.333;1.0;0.667;0.667
ENST00000403433_90_90;1.0;1.0;0.182;0.619;0.909;0.952;1.0;0.9;0.333;1.0;1.0;0.333;0.333;0.333;1.0;0.667;0.667
ENST00000614256_90_90;1.0;1.0;0.143;0.524;0.818;0.857;0.9;1.0;0.167;0.833;0.833;0.167;0.167;0.167;0.833;0.8;0.8
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.4;0.333;0.333;0.333;0.167;1.0;0.571;0.357;0.625;0.75;1.0;0.429;0.214;0.333
ENSMUST00000049937_90_90;1.0;1.0;0.0;0.833;1.0;1.0;1.0;0.833;0.571;1.0;0.786;0.357;0.429;0.571;0.857;0.643;0.733
ENSMUST00000076639_90_90;1.0;1.0;0.0;0.833;1.0;1.0;1.0;0.833;0.357;0.786;1.0;0.455;0.417;0.357;0.917;0.667;0.643
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.4;0.333;0.333;0.333;0.167;0.625;0.357;0.455;1.0;0.833;0.625;0.417;0.167;0.214
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.4;0.333;0.333;0.333;0.167;0.75;0.429;0.417;0.833;1.0;0.75;0.5;0.25;0.286
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.4;0.333;0.333;0.333;0.167;1.0;0.571;0.357;0.625;0.75;1.0;0.429;0.214;0.333
ENSMUST00000107346_90_90;1.0;1.0;0.0;0.833;1.0;1.0;1.0;0.833;0.429;0.857;0.917;0.417;0.5;0.429;1.0;0.75;0.714
ENSMUST00000131868_90_90;1.0;1.0;0.0;0.5;0.667;0.667;0.667;0.8;0.214;0.643;0.667;0.167;0.25;0.214;0.75;1.0;0.75
ENSMUST00000146740_90_90;1.0;1.0;0.0;0.5;0.667;0.667;0.667;0.8;0.333;0.733;0.643;0.214;0.286;0.333;0.714;0.75;1.0
