;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript7_ENSAPOG00000016134;1.0;0.995;0.871;0.973;0.95;0.938;0.952;0.93;1.0;0.9;0.995;0.833;0.871;0.868;0.809;0.742;0.87;0.96;0.893;0.995;0.974;0.94;0.952;0.931;0.96
transcript27_ENSAPOG00000016134;0.995;1.0;0.875;0.977;0.955;0.942;0.956;0.935;0.995;0.904;1.0;0.837;0.875;0.873;0.814;0.747;0.875;0.965;0.898;1.0;0.979;0.944;0.956;0.935;0.965
transcript32_ENSAPOG00000016134;0.871;0.875;1.0;0.855;0.892;0.929;0.915;0.921;0.871;0.88;0.875;0.926;1.0;0.987;0.93;0.853;0.999;0.844;0.876;0.875;0.892;0.9;0.912;0.918;0.844
transcript33_ENSAPOG00000016134;0.973;0.977;0.855;1.0;0.933;0.921;0.935;0.914;0.973;0.884;0.977;0.819;0.855;0.853;0.796;0.73;0.855;0.944;0.877;0.977;0.956;0.923;0.935;0.914;0.987
transcript35_ENSAPOG00000016134;0.95;0.955;0.892;0.933;1.0;0.96;0.974;0.952;0.95;0.921;0.955;0.852;0.892;0.889;0.829;0.761;0.891;0.922;0.915;0.955;0.95;0.959;0.971;0.95;0.922
transcript36_ENSAPOG00000016134;0.938;0.942;0.929;0.921;0.96;1.0;0.985;0.992;0.938;0.931;0.942;0.885;0.929;0.926;0.864;0.792;0.928;0.909;0.924;0.942;0.96;0.97;0.982;0.989;0.909
transcript37_ENSAPOG00000016134;0.952;0.956;0.915;0.935;0.974;0.985;1.0;0.977;0.952;0.945;0.956;0.873;0.915;0.913;0.851;0.781;0.914;0.923;0.939;0.956;0.975;0.984;0.997;0.975;0.923
transcript38_ENSAPOG00000016134;0.93;0.935;0.921;0.914;0.952;0.992;0.977;1.0;0.93;0.923;0.935;0.878;0.921;0.918;0.856;0.784;0.92;0.902;0.916;0.935;0.953;0.962;0.974;0.996;0.902
transcript7_ENSAPOG00000023408;1.0;0.995;0.871;0.973;0.95;0.938;0.952;0.93;1.0;0.9;0.995;0.833;0.871;0.868;0.809;0.742;0.87;0.96;0.893;0.995;0.974;0.94;0.952;0.931;0.96
transcript8_ENSAPOG00000023408;0.9;0.904;0.88;0.884;0.921;0.931;0.945;0.923;0.9;1.0;0.904;0.84;0.88;0.878;0.816;0.745;0.88;0.873;0.992;0.904;0.923;0.937;0.945;0.924;0.873
