;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.944;0.5;0.278;0.889;0.889;0.111;0.222;0.789;0.526;1.0
ENST00000280758_90_90;0.944;1.0;0.478;0.273;0.95;0.905;0.1;0.25;0.722;0.5;0.944
ENST00000357167_90_90;0.5;0.478;1.0;0.158;0.435;0.417;0.143;0.118;0.3;0.923;0.5
ENST00000415943_90_90;0.278;0.273;0.158;1.0;0.286;0.273;0.0;0.3;0.429;0.267;0.333
ENST00000420571_90_90;0.889;0.95;0.435;0.286;1.0;0.857;0.105;0.263;0.765;0.45;0.889
ENST00000490090_90_90;0.889;0.905;0.417;0.273;0.857;1.0;0.048;0.25;0.765;0.45;0.889
ENST00000494235_90_90;0.111;0.1;0.143;0.0;0.105;0.048;1.0;0.0;0.0;0.154;0.111
ENST00000550706_90_90;0.222;0.25;0.118;0.3;0.263;0.25;0.0;1.0;0.357;0.125;0.278
ENSMUST00000020231_90_90;0.789;0.722;0.3;0.429;0.765;0.765;0.0;0.357;1.0;0.292;0.818
ENSMUST00000105306_90_90;0.526;0.5;0.923;0.267;0.45;0.45;0.154;0.125;0.292;1.0;0.458
ENSMUST00000105307_90_90;1.0;0.944;0.5;0.333;0.889;0.889;0.111;0.278;0.818;0.458;1.0
