;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;0.997;0.872;0.731;0.872;0.084;0.084;0.053;0.086;0.457;0.492;0.158;0.226;0.084;0.17;0.258;0.17;0.02;0.053;0.205;0.053;0.0
ENST00000293872_90_90;0.997;1.0;0.874;0.732;0.874;0.08;0.08;0.052;0.086;0.458;0.492;0.159;0.226;0.08;0.13;0.197;0.13;0.015;0.049;0.195;0.048;0.0
ENST00000337351_90_90;0.872;0.874;1.0;0.837;1.0;0.091;0.091;0.059;0.098;0.333;0.562;0.183;0.258;0.091;0.143;0.217;0.143;0.017;0.055;0.221;0.054;0.0
ENST00000397780_90_90;0.731;0.732;0.837;1.0;0.837;0.0;0.0;0.0;0.118;0.388;0.672;0.218;0.309;0.0;0.023;0.097;0.023;0.0;0.0;0.133;0.0;0.0
ENST00000397783_90_90;0.872;0.874;1.0;0.837;1.0;0.091;0.091;0.059;0.098;0.333;0.562;0.183;0.258;0.091;0.143;0.217;0.143;0.017;0.055;0.221;0.054;0.0
ENST00000418978_90_90;0.084;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.156;0.134;0.156;0.05;0.593;0.083;0.194;0.0
ENST00000419516_90_90;0.084;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.156;0.134;0.156;0.05;0.593;0.083;0.194;0.0
ENST00000426094_90_90;0.053;0.052;0.059;0.0;0.059;0.265;0.265;1.0;0.0;0.0;0.0;0.0;0.0;0.265;0.101;0.087;0.101;0.0;0.243;0.0;0.595;0.0
ENST00000428363_90_90;0.086;0.086;0.098;0.118;0.098;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.051;0.043;0.051;0.0;0.0;0.087;0.0;0.0
ENST00000429378_90_90;0.457;0.458;0.333;0.388;0.333;0.0;0.0;0.0;0.0;1.0;0.237;0.346;0.124;0.0;0.0;0.079;0.0;0.0;0.0;0.119;0.0;0.0
ENST00000430864_90_90;0.492;0.492;0.562;0.672;0.562;0.0;0.0;0.0;0.0;0.237;1.0;0.013;0.46;0.0;0.0;0.091;0.0;0.0;0.0;0.136;0.0;0.0
ENST00000442701_90_90;0.158;0.159;0.183;0.218;0.183;0.0;0.0;0.0;0.0;0.346;0.013;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000443357_90_90;0.226;0.226;0.258;0.309;0.258;0.0;0.0;0.0;0.0;0.124;0.46;0.0;1.0;0.0;0.0;0.121;0.0;0.0;0.0;0.22;0.0;0.0
ENST00000629543_90_90;0.084;0.08;0.091;0.0;0.091;1.0;1.0;0.265;0.0;0.0;0.0;0.0;0.0;1.0;0.156;0.134;0.156;0.05;0.593;0.083;0.194;0.0
ENSMUST00000025023_90_90;0.17;0.13;0.143;0.023;0.143;0.156;0.156;0.101;0.051;0.0;0.0;0.0;0.0;0.156;1.0;0.874;1.0;0.531;0.159;0.333;0.054;0.212
ENSMUST00000114976_90_90;0.258;0.197;0.217;0.097;0.217;0.134;0.134;0.087;0.043;0.079;0.091;0.0;0.121;0.134;0.874;1.0;0.874;0.465;0.14;0.458;0.048;0.186
ENSMUST00000119928_90_90;0.17;0.13;0.143;0.023;0.143;0.156;0.156;0.101;0.051;0.0;0.0;0.0;0.0;0.156;1.0;0.874;1.0;0.531;0.159;0.333;0.054;0.212
ENSMUST00000140427_90_90;0.02;0.015;0.017;0.0;0.017;0.05;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.531;0.465;0.531;1.0;0.0;0.202;0.0;0.175
ENSMUST00000148894_90_90;0.053;0.049;0.055;0.0;0.055;0.593;0.593;0.243;0.0;0.0;0.0;0.0;0.0;0.593;0.159;0.14;0.159;0.0;1.0;0.0;0.158;0.016
ENSMUST00000152107_90_90;0.205;0.195;0.221;0.133;0.221;0.083;0.083;0.0;0.087;0.119;0.136;0.0;0.22;0.083;0.333;0.458;0.333;0.202;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.053;0.048;0.054;0.0;0.054;0.194;0.194;0.595;0.0;0.0;0.0;0.0;0.0;0.194;0.054;0.048;0.054;0.0;0.158;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.212;0.186;0.212;0.175;0.016;0.0;0.0;1.0
