;ENSCAFT00000005545_90_90;ENST00000369254_90_90;ENST00000369261_90_90;ENST00000447886_90_90;ENST00000536676_90_90;ENST00000539200_90_90;ENST00000544166_90_90;ENST00000620278_90_90;ENSMUST00000084781_90_90;ENSMUST00000108214_90_90;ENSMUST00000108218_90_90;ENSMUST00000140652_90_90;ENSMUST00000150920_90_90
ENSCAFT00000005545_90_90;1.0;0.34;1.0;0.302;0.925;0.808;0.369;0.217;0.89;0.58;1.0;0.362;0.113
ENST00000369254_90_90;0.34;1.0;0.362;0.17;0.249;0.14;0.127;0.0;0.222;0.475;0.34;0.999;0.217
ENST00000369261_90_90;1.0;0.362;1.0;0.27;0.887;0.778;0.35;0.21;0.882;0.561;1.0;0.34;0.073
ENST00000447886_90_90;0.302;0.17;0.27;1.0;0.304;0.186;0.066;0.0;0.185;0.345;0.302;0.207;0.0
ENST00000536676_90_90;0.925;0.249;0.887;0.304;1.0;0.871;0.4;0.234;0.808;0.487;0.925;0.265;0.0
ENST00000539200_90_90;0.808;0.14;0.778;0.186;0.871;1.0;0.373;0.266;0.914;0.37;0.808;0.147;0.0
ENST00000544166_90_90;0.369;0.127;0.35;0.066;0.4;0.373;1.0;0.643;0.342;0.318;0.369;0.141;0.0
ENST00000620278_90_90;0.217;0.0;0.21;0.0;0.234;0.266;0.643;1.0;0.244;0.275;0.217;0.0;0.0
ENSMUST00000084781_90_90;0.89;0.222;0.882;0.185;0.808;0.914;0.342;0.244;1.0;0.471;0.89;0.252;0.121
ENSMUST00000108214_90_90;0.58;0.475;0.561;0.345;0.487;0.37;0.318;0.275;0.471;1.0;0.58;0.503;0.173
ENSMUST00000108218_90_90;1.0;0.34;1.0;0.302;0.925;0.808;0.369;0.217;0.89;0.58;1.0;0.362;0.105
ENSMUST00000140652_90_90;0.362;0.999;0.34;0.207;0.265;0.147;0.141;0.0;0.252;0.503;0.362;1.0;0.26
ENSMUST00000150920_90_90;0.113;0.217;0.073;0.0;0.0;0.0;0.0;0.0;0.121;0.173;0.105;0.26;1.0
