;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;1.0;0.996;0.526;0.996;0.996;0.365;0.526;0.599;0.09;0.524;0.233;0.161;0.358;0.996;0.428;0.562;0.71;0.632;0.559;0.967;0.528
ENST00000315660_90_90;0.996;1.0;0.491;1.0;1.0;0.364;0.456;0.596;0.085;0.527;0.224;0.117;0.343;1.0;0.409;0.562;0.725;0.609;0.473;0.998;0.495
ENST00000372382_90_90;0.526;0.491;1.0;0.491;0.491;0.612;0.703;0.112;0.148;0.046;0.0;0.17;0.0;0.491;0.0;0.08;0.658;0.135;0.724;0.495;0.997
ENST00000372383_90_90;0.996;1.0;0.491;1.0;1.0;0.364;0.456;0.596;0.085;0.527;0.224;0.117;0.343;1.0;0.409;0.562;0.725;0.609;0.473;0.998;0.495
ENST00000372384_90_90;0.996;1.0;0.491;1.0;1.0;0.364;0.456;0.596;0.085;0.527;0.224;0.117;0.343;1.0;0.409;0.562;0.725;0.609;0.473;0.998;0.495
ENST00000372390_90_90;0.365;0.364;0.612;0.364;0.364;1.0;0.531;0.0;0.289;0.0;0.0;0.0;0.0;0.364;0.0;0.0;0.504;0.0;0.554;0.367;0.616
ENST00000372397_90_90;0.526;0.456;0.703;0.456;0.456;0.531;1.0;0.104;0.126;0.043;0.0;0.365;0.0;0.456;0.0;0.074;0.594;0.127;0.995;0.473;0.726
ENST00000480691_90_90;0.599;0.596;0.112;0.596;0.596;0.0;0.104;1.0;0.0;0.882;0.373;0.133;0.572;0.596;0.683;0.943;0.321;0.916;0.117;0.599;0.121
ENST00000486554_90_90;0.09;0.085;0.148;0.085;0.085;0.289;0.126;0.0;1.0;0.0;0.0;0.0;0.0;0.085;0.0;0.0;0.122;0.0;0.137;0.091;0.156
ENST00000502650_90_90;0.524;0.527;0.046;0.527;0.527;0.0;0.043;0.882;0.0;1.0;0.416;0.053;0.641;0.527;0.768;0.934;0.252;0.812;0.048;0.523;0.05
ENST00000502961_90_90;0.233;0.224;0.0;0.224;0.224;0.0;0.0;0.373;0.0;0.416;1.0;0.0;0.644;0.224;0.538;0.392;0.0;0.349;0.0;0.2;0.0
ENST00000503515_90_90;0.161;0.117;0.17;0.117;0.117;0.0;0.365;0.133;0.0;0.053;0.0;1.0;0.0;0.117;0.0;0.094;0.146;0.199;0.442;0.147;0.225
ENST00000505965_90_90;0.358;0.343;0.0;0.343;0.343;0.0;0.0;0.572;0.0;0.641;0.644;0.0;1.0;0.343;0.835;0.603;0.068;0.532;0.0;0.326;0.0
ENST00000506081_90_90;0.996;1.0;0.491;1.0;1.0;0.364;0.456;0.596;0.085;0.527;0.224;0.117;0.343;1.0;0.409;0.562;0.725;0.609;0.473;0.998;0.495
ENST00000506724_90_90;0.428;0.409;0.0;0.409;0.409;0.0;0.0;0.683;0.0;0.768;0.538;0.0;0.835;0.409;1.0;0.72;0.134;0.636;0.0;0.396;0.0
ENST00000510887_90_90;0.562;0.562;0.08;0.562;0.562;0.0;0.074;0.943;0.0;0.934;0.392;0.094;0.603;0.562;0.72;1.0;0.287;0.865;0.083;0.561;0.086
ENST00000514426_90_90;0.71;0.725;0.658;0.725;0.725;0.504;0.594;0.321;0.122;0.252;0.0;0.146;0.068;0.725;0.134;0.287;1.0;0.34;0.603;0.744;0.645
ENST00000514897_90_90;0.632;0.609;0.135;0.609;0.609;0.0;0.127;0.916;0.0;0.812;0.349;0.199;0.532;0.609;0.636;0.865;0.34;1.0;0.147;0.631;0.151
ENSMUST00000055738_90_90;0.559;0.473;0.724;0.473;0.473;0.554;0.995;0.117;0.137;0.048;0.0;0.442;0.0;0.473;0.0;0.083;0.603;0.147;1.0;0.485;0.714
ENSMUST00000112996_90_90;0.967;0.998;0.495;0.998;0.998;0.367;0.473;0.599;0.091;0.523;0.2;0.147;0.326;0.998;0.396;0.561;0.744;0.631;0.485;1.0;0.521
ENSMUST00000123898_90_90;0.528;0.495;0.997;0.495;0.495;0.616;0.726;0.121;0.156;0.05;0.0;0.225;0.0;0.495;0.0;0.086;0.645;0.151;0.714;0.521;1.0
