;transcript39_ENSRNOG00000031503;transcript7_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript39_MGP-PahariEiJ-G0020237;transcript38_ENSMUSG00000054036;transcript50_ENSRNOG00000031503;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript63_MGP-SPRETEiJ-G0021131;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript8_ENSRNOG00000031503
transcript39_ENSRNOG00000031503;1.0;0.569;0.542;0.785;0.919;0.932;0.483;0.943;0.643;0.681;0.403;0.266;0.504;0.332;0.438;0.705;0.907;0.924;0.887;0.92;0.974;0.974;0.609
transcript7_ENSMSIG00000000513;0.569;1.0;0.879;0.747;0.639;0.588;0.407;0.595;0.742;0.775;0.348;0.424;0.424;0.544;0.682;0.318;0.61;0.598;0.624;0.595;0.57;0.57;0.593
transcript58_ENSMUSG00000054036;0.542;0.879;1.0;0.712;0.588;0.568;0.393;0.531;0.608;0.687;0.39;0.507;0.437;0.592;0.993;0.322;0.54;0.566;0.556;0.564;0.538;0.538;0.48
transcript54_ENSMUSG00000054036;0.785;0.747;0.712;1.0;0.858;0.83;0.336;0.784;0.926;0.946;0.309;0.362;0.334;0.397;0.632;0.55;0.807;0.828;0.827;0.828;0.782;0.782;0.772
transcript55_ENSMUSG00000054036;0.919;0.639;0.588;0.858;1.0;0.972;0.494;0.877;0.788;0.821;0.463;0.305;0.501;0.33;0.532;0.721;0.945;0.966;0.92;0.966;0.915;0.915;0.678
transcript39_MGP-PahariEiJ-G0020237;0.932;0.588;0.568;0.83;0.972;1.0;0.483;0.914;0.683;0.721;0.395;0.26;0.506;0.332;0.448;0.733;0.982;1.0;0.962;1.0;0.945;0.945;0.572
transcript38_ENSMUSG00000054036;0.483;0.407;0.393;0.336;0.494;0.483;1.0;0.44;0.205;0.342;0.993;0.683;0.981;0.678;0.377;0.671;0.466;0.491;0.438;0.489;0.491;0.491;0.168
transcript50_ENSRNOG00000031503;0.943;0.595;0.531;0.784;0.877;0.914;0.44;1.0;0.654;0.685;0.364;0.256;0.459;0.324;0.42;0.651;0.926;0.913;0.941;0.91;0.969;0.969;0.601
transcript8_MGP-CAROLIEiJ-G0020234;0.643;0.742;0.608;0.926;0.788;0.683;0.205;0.654;1.0;0.988;0.185;0.224;0.213;0.267;0.52;0.473;0.678;0.684;0.694;0.682;0.643;0.643;0.916
transcript47_MGP-CAROLIEiJ-G0020234;0.681;0.775;0.687;0.946;0.821;0.721;0.342;0.685;0.988;1.0;0.314;0.368;0.355;0.427;0.598;0.558;0.709;0.727;0.724;0.725;0.686;0.686;0.769
transcript38_ENSMSIG00000000513;0.403;0.348;0.39;0.309;0.463;0.395;0.993;0.364;0.185;0.314;1.0;0.679;0.993;0.676;0.377;0.72;0.386;0.406;0.362;0.403;0.406;0.406;0.154
transcript52_ENSMSIG00000000513;0.266;0.424;0.507;0.362;0.305;0.26;0.683;0.256;0.224;0.368;0.679;1.0;0.671;0.989;0.484;0.473;0.255;0.275;0.261;0.274;0.269;0.269;0.177
transcript38_MGP-SPRETEiJ-G0021131;0.504;0.424;0.437;0.334;0.501;0.506;0.981;0.459;0.213;0.355;0.993;0.671;1.0;0.681;0.422;0.686;0.491;0.517;0.461;0.513;0.512;0.512;0.17
transcript52_MGP-SPRETEiJ-G0021131;0.332;0.544;0.592;0.397;0.33;0.332;0.678;0.324;0.267;0.427;0.676;0.989;0.681;1.0;0.563;0.453;0.325;0.351;0.333;0.348;0.34;0.34;0.201
