;transcript39_ENSRNOG00000031503;transcript7_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript39_MGP-PahariEiJ-G0020237;transcript38_ENSMUSG00000054036;transcript50_ENSRNOG00000031503;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript63_MGP-SPRETEiJ-G0021131;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript8_ENSRNOG00000031503
transcript39_ENSRNOG00000031503;1.0;0.504;0.358;0.634;0.743;0.907;0.337;0.936;0.558;0.659;0.34;0.224;0.338;0.222;0.362;0.467;0.903;0.92;0.884;0.916;0.974;0.974;0.595
transcript7_ENSMSIG00000000513;0.504;1.0;0.6;0.68;0.589;0.5;0.322;0.521;0.598;0.744;0.322;0.387;0.319;0.382;0.6;0.236;0.534;0.525;0.545;0.523;0.501;0.501;0.565
transcript58_ENSMUSG00000054036;0.358;0.6;1.0;0.555;0.476;0.366;0.36;0.337;0.391;0.516;0.353;0.447;0.349;0.441;0.987;0.28;0.345;0.362;0.352;0.361;0.347;0.347;0.371
transcript54_ENSMUSG00000054036;0.634;0.68;0.555;1.0;0.858;0.65;0.276;0.613;0.79;0.901;0.272;0.311;0.269;0.307;0.555;0.455;0.634;0.651;0.646;0.647;0.618;0.618;0.754
transcript55_ENSMUSG00000054036;0.743;0.589;0.476;0.858;1.0;0.761;0.406;0.687;0.688;0.787;0.406;0.268;0.403;0.265;0.476;0.596;0.742;0.759;0.723;0.755;0.724;0.724;0.65
transcript39_MGP-PahariEiJ-G0020237;0.907;0.5;0.366;0.65;0.761;1.0;0.319;0.876;0.583;0.667;0.322;0.211;0.319;0.209;0.369;0.471;0.947;0.964;0.927;0.959;0.912;0.912;0.552
transcript38_ENSMUSG00000054036;0.337;0.322;0.36;0.276;0.406;0.319;1.0;0.299;0.145;0.286;0.986;0.679;0.979;0.671;0.36;0.644;0.319;0.336;0.3;0.334;0.337;0.337;0.137
transcript50_ENSRNOG00000031503;0.936;0.521;0.337;0.613;0.687;0.876;0.299;1.0;0.552;0.65;0.302;0.212;0.299;0.21;0.34;0.416;0.919;0.903;0.937;0.899;0.961;0.961;0.589
transcript8_MGP-CAROLIEiJ-G0020234;0.558;0.598;0.391;0.79;0.688;0.583;0.145;0.552;1.0;0.836;0.145;0.167;0.142;0.164;0.396;0.325;0.576;0.581;0.587;0.578;0.547;0.547;0.91
transcript47_MGP-CAROLIEiJ-G0020234;0.659;0.744;0.516;0.901;0.787;0.667;0.286;0.65;0.836;1.0;0.286;0.331;0.283;0.328;0.521;0.434;0.678;0.695;0.691;0.692;0.654;0.654;0.763
transcript38_ENSMSIG00000000513;0.34;0.322;0.353;0.272;0.406;0.322;0.986;0.302;0.145;0.286;1.0;0.679;0.993;0.671;0.36;0.652;0.322;0.339;0.303;0.337;0.34;0.34;0.137
transcript52_ENSMSIG00000000513;0.224;0.387;0.447;0.311;0.268;0.211;0.679;0.212;0.167;0.331;0.679;1.0;0.671;0.989;0.456;0.428;0.213;0.23;0.217;0.229;0.226;0.226;0.159
transcript38_MGP-SPRETEiJ-G0021131;0.338;0.319;0.349;0.269;0.403;0.319;0.979;0.299;0.142;0.283;0.993;0.671;1.0;0.676;0.355;0.655;0.32;0.337;0.3;0.335;0.338;0.338;0.134
transcript52_MGP-SPRETEiJ-G0021131;0.222;0.382;0.441;0.307;0.265;0.209;0.671;0.21;0.164;0.328;0.671;0.989;0.676;1.0;0.45;0.43;0.211;0.228;0.215;0.227;0.223;0.223;0.155
transcript58_ENSMSIG00000000513;0.362;0.6;0.987;0.555;0.476;0.369;0.36;0.34;0.396;0.521;0.36;0.456;0.355;0.45;1.0;0.285;0.349;0.366;0.356;0.364;0.351;0.351;0.376
transcript63_MGP-SPRETEiJ-G0021131;0.467;0.236;0.28;0.455;0.596;0.471;0.644;0.416;0.325;0.434;0.652;0.428;0.655;0.43;0.285;1.0;0.448;0.465;0.429;0.463;0.454;0.454;0.31
transcript12_ENSMUGG00000013649;0.903;0.534;0.345;0.634;0.742;0.947;0.319;0.919;0.576;0.678;0.322;0.213;0.32;0.211;0.349;0.448;1.0;0.983;0.98;0.978;0.923;0.923;0.541
transcript32_ENSMUGG00000013649;0.92;0.525;0.362;0.651;0.759;0.964;0.336;0.903;0.581;0.695;0.339;0.23;0.337;0.228;0.366;0.465;0.983;1.0;0.964;0.995;0.939;0.939;0.547
transcript50_ENSMUGG00000013649;0.884;0.545;0.352;0.646;0.723;0.927;0.3;0.937;0.587;0.691;0.303;0.217;0.3;0.215;0.356;0.429;0.98;0.964;1.0;0.959;0.903;0.903;0.552
transcript32_ENSMUGG00000013592;0.916;0.523;0.361;0.647;0.755;0.959;0.334;0.899;0.578;0.692;0.337;0.229;0.335;0.227;0.364;0.463;0.978;0.995;0.959;1.0;0.935;0.935;0.545
transcript31_ENSRNOG00000031503;0.974;0.501;0.347;0.618;0.724;0.912;0.337;0.961;0.547;0.654;0.34;0.226;0.338;0.223;0.351;0.454;0.923;0.939;0.903;0.935;1.0;1.0;0.582
transcript32_ENSRNOG00000031503;0.974;0.501;0.347;0.618;0.724;0.912;0.337;0.961;0.547;0.654;0.34;0.226;0.338;0.223;0.351;0.454;0.923;0.939;0.903;0.935;1.0;1.0;0.582
transcript8_ENSRNOG00000031503;0.595;0.565;0.371;0.754;0.65;0.552;0.137;0.589;0.91;0.763;0.137;0.159;0.134;0.155;0.376;0.31;0.541;0.547;0.552;0.545;0.582;0.582;1.0
