;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;0.903;0.827;0.136;0.903;0.903;0.149;0.597;0.173;0.903;0.948;0.871;0.136;0.231;0.19;0.231;0.103
ENST00000361346_90_90;0.903;1.0;0.92;0.136;1.0;1.0;0.149;0.597;0.173;1.0;0.859;0.786;0.136;0.231;0.19;0.231;0.103
ENST00000361776_90_90;0.827;0.92;1.0;0.145;0.92;0.92;0.11;0.649;0.186;0.92;0.786;0.845;0.148;0.249;0.206;0.249;0.111
ENST00000372571_90_90;0.136;0.136;0.145;1.0;0.136;0.136;0.0;0.0;0.0;0.136;0.136;0.145;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;0.903;1.0;0.92;0.136;1.0;1.0;0.149;0.597;0.173;1.0;0.859;0.786;0.136;0.231;0.19;0.231;0.103
ENST00000372573_90_90;0.903;1.0;0.92;0.136;1.0;1.0;0.149;0.597;0.173;1.0;0.859;0.786;0.136;0.231;0.19;0.231;0.103
ENST00000422278_90_90;0.149;0.149;0.11;0.0;0.149;0.149;1.0;0.165;0.0;0.149;0.149;0.11;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.597;0.597;0.649;0.0;0.597;0.597;0.165;1.0;0.273;0.597;0.555;0.601;0.23;0.368;0.319;0.368;0.172
ENST00000454417_90_90;0.173;0.173;0.186;0.0;0.173;0.173;0.0;0.273;1.0;0.173;0.172;0.186;0.209;0.654;0.371;0.654;0.119
ENST00000545068_90_90;0.903;1.0;0.92;0.136;1.0;1.0;0.149;0.597;0.173;1.0;0.859;0.786;0.136;0.231;0.19;0.231;0.103
ENSMUST00000044564_90_90;0.948;0.859;0.786;0.136;0.859;0.859;0.149;0.555;0.172;0.859;1.0;0.92;0.136;0.231;0.19;0.231;0.103
ENSMUST00000106310_90_90;0.871;0.786;0.845;0.145;0.786;0.786;0.11;0.601;0.186;0.786;0.92;1.0;0.148;0.249;0.206;0.249;0.111
ENSMUST00000137560_90_90;0.136;0.136;0.148;0.0;0.136;0.136;0.0;0.23;0.209;0.136;0.136;0.148;1.0;0.416;0.714;0.416;0.77
ENSMUST00000138845_90_90;0.231;0.231;0.249;0.0;0.231;0.231;0.0;0.368;0.654;0.231;0.231;0.249;0.416;1.0;0.588;1.0;0.325
ENSMUST00000160219_90_90;0.19;0.19;0.206;0.0;0.19;0.19;0.0;0.319;0.371;0.19;0.19;0.206;0.714;0.588;1.0;0.588;0.546
ENSMUST00000162267_90_90;0.231;0.231;0.249;0.0;0.231;0.231;0.0;0.368;0.654;0.231;0.231;0.249;0.416;1.0;0.588;1.0;0.325
ENSMUST00000176012_90_90;0.103;0.103;0.111;0.0;0.103;0.103;0.0;0.172;0.119;0.103;0.103;0.111;0.77;0.325;0.546;0.325;1.0
