;ENSCAFT00000001398_90_90;ENSCAFT00000001399_90_90;ENSCAFT00000001401_90_90;ENST00000378735_90_90;ENST00000378746_90_90;ENST00000403231_90_90;ENST00000428744_90_90;ENST00000450441_90_90;ENST00000618515_90_90;ENSMUST00000057330_90_90;ENSMUST00000118353_90_90;ENSMUST00000120613_90_90;ENSMUST00000130037_90_90;ENSMUST00000132496_90_90;ENSMUST00000132653_90_90;ENSMUST00000173744_90_90
ENSCAFT00000001398_90_90;1.0;0.849;0.556;0.839;0.814;0.884;0.169;0.183;0.861;0.789;0.903;0.815;0.183;0.202;0.042;0.786
ENSCAFT00000001399_90_90;0.849;1.0;0.611;0.863;0.886;0.796;0.182;0.199;0.773;0.857;0.773;0.837;0.199;0.221;0.048;0.805
ENSCAFT00000001401_90_90;0.556;0.611;1.0;0.566;0.58;0.522;0.263;0.0;0.5;0.553;0.5;0.539;0.0;0.311;0.065;0.51
ENST00000378735_90_90;0.839;0.863;0.566;1.0;0.97;0.912;0.172;0.188;0.888;0.891;0.846;0.92;0.188;0.238;0.043;0.889
ENST00000378746_90_90;0.814;0.886;0.58;0.97;1.0;0.887;0.175;0.192;0.861;0.915;0.822;0.891;0.192;0.245;0.044;0.86
ENST00000403231_90_90;0.884;0.796;0.522;0.912;0.887;1.0;0.161;0.175;0.889;0.822;0.889;0.846;0.175;0.218;0.038;0.819
ENST00000428744_90_90;0.169;0.182;0.263;0.172;0.175;0.161;1.0;0.0;0.163;0.179;0.163;0.175;0.0;0.669;0.194;0.18
ENST00000450441_90_90;0.183;0.199;0.0;0.188;0.192;0.175;0.0;1.0;0.177;0.195;0.177;0.191;1.0;0.0;0.0;0.196
ENST00000618515_90_90;0.861;0.773;0.5;0.888;0.861;0.889;0.163;0.177;1.0;0.797;0.867;0.823;0.177;0.223;0.04;0.795
ENSMUST00000057330_90_90;0.789;0.857;0.553;0.891;0.915;0.822;0.179;0.195;0.797;1.0;0.881;0.968;0.195;0.253;0.046;0.934
ENSMUST00000118353_90_90;0.903;0.773;0.5;0.846;0.822;0.889;0.163;0.177;0.867;0.881;1.0;0.908;0.177;0.223;0.04;0.879
ENSMUST00000120613_90_90;0.815;0.837;0.539;0.92;0.891;0.846;0.175;0.191;0.823;0.968;0.908;1.0;0.191;0.244;0.044;0.966
ENSMUST00000130037_90_90;0.183;0.199;0.0;0.188;0.192;0.175;0.0;1.0;0.177;0.195;0.177;0.191;1.0;0.0;0.0;0.196
ENSMUST00000132496_90_90;0.202;0.221;0.311;0.238;0.245;0.218;0.669;0.0;0.223;0.253;0.223;0.244;0.0;1.0;0.165;0.254
ENSMUST00000132653_90_90;0.042;0.048;0.065;0.043;0.044;0.038;0.194;0.0;0.04;0.046;0.04;0.044;0.0;0.165;1.0;0.046
ENSMUST00000173744_90_90;0.786;0.805;0.51;0.889;0.86;0.819;0.18;0.196;0.795;0.934;0.879;0.966;0.196;0.254;0.046;1.0
