;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript10_ENSHGLG00100003156;1.0;1.0;0.816;0.816;1.0;0.816;0.505;0.616;0.477;0.741;0.741;0.741;0.705;0.564;0.874;0.815;0.538;0.932;0.446;1.0;0.468;0.53;0.446;0.815;0.346;0.494;0.508;0.508
transcript17_ENSHGLG00100003156;1.0;1.0;0.816;0.816;1.0;0.816;0.505;0.616;0.477;0.741;0.741;0.741;0.705;0.564;0.874;0.815;0.538;0.932;0.446;1.0;0.468;0.53;0.446;0.815;0.346;0.494;0.508;0.508
transcript20_ENSHGLG00100003156;0.816;0.816;1.0;1.0;0.816;1.0;0.69;0.8;0.581;0.925;0.925;0.925;0.584;0.612;0.925;0.658;0.495;0.816;0.407;0.816;0.422;0.452;0.407;0.658;0.317;0.423;0.608;0.608
transcript13_ENSHGLG00000019563;0.816;0.816;1.0;1.0;0.816;1.0;0.69;0.8;0.581;0.925;0.925;0.925;0.584;0.612;0.925;0.658;0.495;0.816;0.407;0.816;0.422;0.452;0.407;0.658;0.317;0.423;0.608;0.608
transcript17_ENSHGLG00000019563;1.0;1.0;0.816;0.816;1.0;0.816;0.505;0.616;0.477;0.741;0.741;0.741;0.705;0.564;0.874;0.815;0.538;0.932;0.446;1.0;0.468;0.53;0.446;0.815;0.346;0.494;0.508;0.508
transcript25_ENSHGLG00000019563;0.816;0.816;1.0;1.0;0.816;1.0;0.69;0.8;0.581;0.925;0.925;0.925;0.584;0.612;0.925;0.658;0.495;0.816;0.407;0.816;0.422;0.452;0.407;0.658;0.317;0.423;0.608;0.608
transcript26_ENSHGLG00000019563;0.505;0.505;0.69;0.69;0.505;0.69;1.0;0.489;0.373;0.615;0.615;0.615;0.274;0.399;0.615;0.347;0.288;0.505;0.201;0.505;0.212;0.219;0.201;0.347;0.11;0.226;0.401;0.401
transcript27_ENSHGLG00000019563;0.616;0.616;0.8;0.8;0.616;0.8;0.489;1.0;0.524;0.859;0.859;0.859;0.481;0.487;0.726;0.459;0.385;0.616;0.297;0.616;0.305;0.292;0.297;0.459;0.206;0.265;0.497;0.497
transcript0_ENSHGLG00100006079;0.477;0.477;0.581;0.581;0.477;0.581;0.373;0.524;1.0;0.603;0.603;0.603;0.386;0.814;0.54;0.374;0.821;0.477;0.734;0.477;0.69;0.485;0.734;0.374;0.643;0.464;0.934;0.934
transcript13_ENSHGLG00100006079;0.741;0.741;0.925;0.925;0.741;0.925;0.615;0.859;0.603;1.0;1.0;1.0;0.621;0.566;0.851;0.584;0.456;0.741;0.367;0.741;0.38;0.392;0.367;0.584;0.278;0.364;0.569;0.569
