;ENSCAFT00000026918_90_90;ENST00000268049_90_90;ENST00000380324_90_90;ENST00000538686_90_90;ENST00000540797_90_90;ENST00000557884_90_90;ENST00000558157_90_90;ENST00000558285_90_90;ENST00000559192_90_90;ENST00000559257_90_90;ENST00000559276_90_90;ENST00000559711_90_90;ENST00000559771_90_90;ENST00000559873_90_90;ENST00000560070_90_90;ENST00000560202_90_90;ENST00000561442_90_90;ENSMUST00000098613_90_90;ENSMUST00000127569_90_90;ENSMUST00000139547_90_90;ENSMUST00000174387_90_90
ENSCAFT00000026918_90_90;;0.788;0.77;0.028;0.647;0.0;0.0;0.783;0.095;0.708;0.102;0.644;0.308;0.066;0.223;0.124;0.216;0.941;1.0;0.206;0.821
ENST00000268049_90_90;0.788;;;;;;;;;;;;;;;;;0.733;0.788;0.133;0.663
ENST00000380324_90_90;0.77;;;;;;;;;;;;;;;;;0.717;0.77;0.132;0.647
ENST00000538686_90_90;0.028;;;;;;;;;;;;;;;;;0.03;0.028;0.0;0.0
ENST00000540797_90_90;0.647;;;;;;;;;;;;;;;;;0.594;0.647;0.166;0.756
ENST00000557884_90_90;0.0;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000558157_90_90;0.0;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0
ENST00000558285_90_90;0.783;;;;;;;;;;;;;;;;;0.73;0.783;0.133;0.659
ENST00000559192_90_90;0.095;;;;;;;;;;;;;;;;;0.099;0.095;0.298;0.119
ENST00000559257_90_90;0.708;;;;;;;;;;;;;;;;;0.649;0.708;0.072;0.681
ENST00000559276_90_90;0.102;;;;;;;;;;;;;;;;;0.106;0.102;0.23;0.087
ENST00000559711_90_90;0.644;;;;;;;;;;;;;;;;;0.587;0.644;0.079;0.72
ENST00000559771_90_90;0.308;;;;;;;;;;;;;;;;;0.325;0.308;0.26;0.18
ENST00000559873_90_90;0.066;;;;;;;;;;;;;;;;;0.07;0.066;0.0;0.077
ENST00000560070_90_90;0.223;;;;;;;;;;;;;;;;;0.235;0.223;0.307;0.271
ENST00000560202_90_90;0.124;;;;;;;;;;;;;;;;;0.134;0.124;0.0;0.143
ENST00000561442_90_90;0.216;;;;;;;;;;;;;;;;;0.226;0.216;0.179;0.092
ENSMUST00000098613_90_90;0.941;0.733;0.717;0.03;0.594;0.0;0.0;0.73;0.099;0.649;0.106;0.587;0.325;0.07;0.235;0.134;0.226;;;;
ENSMUST00000127569_90_90;1.0;0.788;0.77;0.028;0.647;0.0;0.0;0.783;0.095;0.708;0.102;0.644;0.308;0.066;0.223;0.124;0.216;;;;
ENSMUST00000139547_90_90;0.206;0.133;0.132;0.0;0.166;0.0;0.0;0.133;0.298;0.072;0.23;0.079;0.26;0.0;0.307;0.0;0.179;;;;
ENSMUST00000174387_90_90;0.821;0.663;0.647;0.0;0.756;0.0;0.0;0.659;0.119;0.681;0.087;0.72;0.18;0.077;0.271;0.143;0.092;;;;
