;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.768;0.941;0.05;0.391;0.949;0.949;1.0;1.0;1.0;0.036;0.845;1.0;0.988
transcript8_ENSHGLG00100006079;0.768;1.0;0.657;0.042;0.323;0.283;0.283;0.287;0.764;0.768;0.03;1.0;0.768;0.754
transcript6_ENSPCIG00000036398;0.941;0.657;1.0;0.028;0.25;0.788;0.788;0.824;0.951;0.941;0.024;0.72;0.941;0.951
transcript7_ENSPCIG00000036398;0.05;0.042;0.028;1.0;1.0;0.452;0.452;0.452;0.025;0.05;1.0;0.042;0.05;0.024
transcript7_ENSMUNG00000007775;0.391;0.323;0.25;1.0;1.0;0.443;0.443;0.443;0.328;0.391;1.0;0.317;0.391;0.238
transcript16_ENSMUNG00000007775;0.949;0.283;0.788;0.452;0.443;1.0;1.0;1.0;0.946;0.949;0.358;0.305;0.949;0.679
transcript23_ENSMUNG00000007775;0.949;0.283;0.788;0.452;0.443;1.0;1.0;1.0;0.946;0.949;0.358;0.305;0.949;0.679
transcript16_ENSMUNG00000002377;1.0;0.287;0.824;0.452;0.443;1.0;1.0;1.0;1.0;1.0;0.358;0.317;1.0;0.73
transcript10_ENSMUNG00000002391;1.0;0.764;0.951;0.025;0.328;0.946;0.946;1.0;1.0;1.0;0.018;0.841;1.0;1.0
transcript2_ENSXMAG00000026005;1.0;0.768;0.941;0.05;0.391;0.949;0.949;1.0;1.0;1.0;0.036;0.845;1.0;0.988
transcript7_ENSXMAG00000026005;0.036;0.03;0.024;1.0;1.0;0.358;0.358;0.358;0.018;0.036;1.0;0.03;0.036;0.017
transcript8_ENSXMAG00000026005;0.845;1.0;0.72;0.042;0.317;0.305;0.305;0.317;0.841;0.845;0.03;1.0;0.845;0.83
transcript9_ENSXMAG00000026005;1.0;0.768;0.941;0.05;0.391;0.949;0.949;1.0;1.0;1.0;0.036;0.845;1.0;0.988
transcript10_ENSXMAG00000026005;0.988;0.754;0.951;0.024;0.238;0.679;0.679;0.73;1.0;0.988;0.017;0.83;0.988;1.0
