;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.571;0.857;0.5;0.571;0.286;0.286;0.857;0.286;0.571;0.929;0.933;1.0
ENST00000338183_90_90;0.571;1.0;0.688;0.615;1.0;0.308;0.071;0.688;0.545;1.0;0.611;0.615;0.533
ENST00000437989_90_90;0.857;0.688;1.0;0.444;0.688;0.294;0.25;1.0;0.375;0.688;0.889;0.923;0.8
ENST00000562489_90_90;0.5;0.615;0.444;1.0;0.615;0.333;0.0;0.444;0.231;0.615;0.4;0.538;0.467
ENST00000562877_90_90;0.571;1.0;0.688;0.615;1.0;0.308;0.071;0.688;0.545;1.0;0.611;0.615;0.533
ENST00000563167_90_90;0.286;0.308;0.294;0.333;0.308;1.0;0.111;0.294;0.0;0.308;0.263;0.231;0.2
ENST00000564586_90_90;0.286;0.071;0.25;0.0;0.071;0.111;1.0;0.25;0.111;0.071;0.222;0.308;0.267
ENST00000566621_90_90;0.857;0.688;1.0;0.444;0.688;0.294;0.25;1.0;0.375;0.688;0.889;0.923;0.8
ENST00000566807_90_90;0.286;0.545;0.375;0.231;0.545;0.0;0.111;0.375;1.0;0.545;0.333;0.385;0.333
ENST00000567389_90_90;0.571;1.0;0.688;0.615;1.0;0.308;0.071;0.688;0.545;1.0;0.611;0.615;0.533
ENST00000569302_90_90;0.929;0.611;0.889;0.4;0.611;0.263;0.222;0.889;0.333;0.611;1.0;0.8;0.933
ENSMUST00000110918_90_90;0.933;0.615;0.923;0.538;0.615;0.231;0.308;0.923;0.385;0.615;0.8;1.0;0.889
ENSMUST00000166472_90_90;1.0;0.533;0.8;0.467;0.533;0.2;0.267;0.8;0.333;0.533;0.933;0.889;1.0
