;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.363;0.391;0.45;0.514;0.46;0.518;0.462;0.441;0.461;0.518;0.667;0.458;0.547;0.579;0.473;0.465;0.516;0.462;0.078;0.067;0.075;0.087;0.453;0.466;0.426;0.415;0.38;0.475;0.481;0.461
transcript7_ENSSTOG00000019743;0.363;1.0;0.78;0.405;0.408;0.43;0.41;0.433;0.498;0.423;0.41;0.305;0.417;0.422;0.382;0.437;0.335;0.418;0.433;0.087;0.09;0.081;0.086;0.459;0.48;0.549;0.456;0.54;0.3;0.299;0.423
transcript7_ENSCCNG00000000226;0.391;0.78;1.0;0.456;0.444;0.475;0.446;0.478;0.433;0.448;0.446;0.334;0.39;0.462;0.415;0.532;0.365;0.454;0.478;0.08;0.076;0.089;0.086;0.446;0.465;0.476;0.558;0.668;0.34;0.339;0.448
transcript7_ENSCPOG00000024843;0.45;0.405;0.456;1.0;0.455;0.482;0.455;0.482;0.442;0.482;0.455;0.488;0.435;0.468;0.495;0.496;0.541;0.438;0.482;0.084;0.071;0.082;0.097;0.444;0.447;0.484;0.431;0.364;0.649;0.633;0.482
transcript10_ENSMPUG00000020072;0.514;0.408;0.444;0.455;1.0;0.844;0.994;0.842;0.799;0.893;0.994;0.769;0.629;0.94;0.887;0.753;0.783;0.976;0.842;0.04;0.038;0.04;0.045;0.825;0.79;0.734;0.762;0.641;0.685;0.698;0.893
transcript10_ENSECAG00000007947;0.46;0.43;0.475;0.482;0.844;1.0;0.839;0.994;0.797;0.886;0.839;0.655;0.635;0.791;0.754;0.769;0.802;0.822;0.994;0.044;0.042;0.043;0.05;0.838;0.799;0.742;0.788;0.675;0.694;0.708;0.886
transcript17_ENSMPUG00000020072;0.518;0.41;0.446;0.455;0.994;0.839;1.0;0.843;0.801;0.889;1.0;0.773;0.632;0.946;0.893;0.757;0.778;0.982;0.843;0.041;0.04;0.04;0.046;0.826;0.791;0.735;0.756;0.636;0.686;0.699;0.889
transcript17_ENSECAG00000007947;0.462;0.433;0.478;0.482;0.842;0.994;0.843;1.0;0.802;0.881;0.843;0.658;0.639;0.795;0.758;0.773;0.797;0.826;1.0;0.045;0.042;0.044;0.05;0.842;0.803;0.746;0.783;0.669;0.694;0.709;0.881
transcript17_ENSSTOG00000019743;0.441;0.498;0.433;0.442;0.799;0.797;0.801;0.802;1.0;0.847;0.801;0.633;0.685;0.758;0.724;0.726;0.766;0.783;0.802;0.043;0.045;0.04;0.043;0.892;0.852;0.903;0.732;0.623;0.673;0.678;0.847
transcript17_ENSCPOG00000024843;0.461;0.423;0.448;0.482;0.893;0.886;0.889;0.881;0.847;1.0;0.889;0.687;0.649;0.839;0.792;0.786;0.889;0.871;0.881;0.042;0.038;0.041;0.048;0.883;0.847;0.768;0.793;0.666;0.744;0.76;1.0
