;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.194;0.193;0.223;0.225;0.229;0.149;0.164;0.165;0.169;0.169;0.148;0.16;0.153
transcript49_ENSMSIG00000000513;0.194;1.0;0.996;0.736;0.719;0.724;0.865;0.912;0.919;0.822;0.826;0.819;0.829;0.816
transcript49_MGP-SPRETEiJ-G0021131;0.193;0.996;1.0;0.731;0.712;0.717;0.756;0.793;0.825;0.719;0.722;0.708;0.721;0.712
transcript60_ENSMSIG00000000513;0.223;0.736;0.731;1.0;0.981;0.968;0.778;0.736;0.738;0.8;0.805;0.782;0.796;0.789
transcript61_ENSMSIG00000000513;0.225;0.719;0.712;0.981;1.0;0.986;0.76;0.716;0.719;0.781;0.784;0.762;0.779;0.774
transcript62_ENSMSIG00000000513;0.229;0.724;0.717;0.968;0.986;1.0;0.748;0.721;0.723;0.768;0.772;0.752;0.768;0.765
transcript40_MGP-SPRETEiJ-G0021131;0.149;0.865;0.756;0.778;0.76;0.748;1.0;0.897;0.919;0.958;0.961;0.945;0.958;0.952
transcript65_MGP-SPRETEiJ-G0021131;0.164;0.912;0.793;0.736;0.716;0.721;0.897;1.0;0.961;0.879;0.882;0.875;0.886;0.879
transcript66_MGP-SPRETEiJ-G0021131;0.165;0.919;0.825;0.738;0.719;0.723;0.919;0.961;1.0;0.875;0.879;0.871;0.882;0.876
transcript7_ENSMUSG00000054036;0.169;0.822;0.719;0.8;0.781;0.768;0.958;0.879;0.875;1.0;0.996;0.932;0.945;0.948
transcript46_ENSMUSG00000054036;0.169;0.826;0.722;0.805;0.784;0.772;0.961;0.882;0.879;0.996;1.0;0.936;0.948;0.952
transcript38_MGP-CAROLIEiJ-G0020234;0.148;0.819;0.708;0.782;0.762;0.752;0.945;0.875;0.871;0.932;0.936;1.0;0.986;0.968
transcript38_MGP-PahariEiJ-G0020237;0.16;0.829;0.721;0.796;0.779;0.768;0.958;0.886;0.882;0.945;0.948;0.986;1.0;0.955
transcript47_MGP-CAROLIEiJ-G0020234;0.153;0.816;0.712;0.789;0.774;0.765;0.952;0.879;0.876;0.948;0.952;0.968;0.955;1.0
