;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript24_ENSPEMG00000024651;1.0;1.0;0.955;0.953;0.932;0.922;0.297;0.131;0.874;0.943;0.943;0.943;0.93;0.879;0.924;0.953;0.953;0.953;0.881;0.716;0.971;0.873;0.877;0.716;0.716;0.337;0.911
transcript15_ENSPEMG00000024651;1.0;1.0;0.955;0.953;0.932;0.922;0.297;0.131;0.874;0.943;0.943;0.943;0.93;0.879;0.924;0.953;0.953;0.953;0.881;0.716;0.971;0.873;0.877;0.716;0.716;0.337;0.911
transcript22_ENSPEMG00000024651;0.955;0.955;1.0;0.998;0.931;0.954;0.297;0.131;0.873;0.974;0.974;0.974;0.974;0.91;0.957;0.952;0.952;0.952;0.88;0.708;0.971;0.879;0.875;0.708;0.708;0.331;0.909
transcript31_ENSPEMG00000024651;0.953;0.953;0.998;1.0;0.929;0.952;0.298;0.131;0.871;0.972;0.972;0.972;0.972;0.907;0.954;0.95;0.95;0.95;0.878;0.708;0.971;0.877;0.872;0.708;0.708;0.331;0.906
transcript29_ENSCGRG00001010245;0.932;0.932;0.931;0.929;1.0;0.989;0.293;0.128;0.924;0.964;0.964;0.964;0.952;0.885;0.946;0.976;0.976;0.976;0.899;0.716;1.0;0.883;0.888;0.716;0.716;0.334;0.918
transcript43_ENSCGRG00000018457;0.922;0.922;0.954;0.952;0.989;1.0;0.301;0.131;0.912;0.975;0.975;0.975;0.975;0.894;0.956;0.964;0.964;0.964;0.887;0.716;1.0;0.88;0.88;0.716;0.716;0.334;0.909
transcript37_ENSCGRG00001010245;0.297;0.297;0.297;0.298;0.293;0.301;1.0;0.508;0.32;0.293;0.293;0.293;0.293;0.32;0.299;0.285;0.285;0.285;0.203;0.996;1.0;0.24;0.239;0.996;0.996;0.701;0.271
transcript38_ENSCGRG00001010245;0.131;0.131;0.131;0.131;0.128;0.131;0.508;1.0;0.141;0.128;0.128;0.128;0.128;0.14;0.131;0.124;0.124;0.124;0.038;0.51;0.525;0.084;0.083;0.51;0.51;0.992;0.116
transcript7_ENSCGRG00001010245;0.874;0.874;0.873;0.871;0.924;0.912;0.32;0.141;1.0;0.89;0.89;0.89;0.879;0.961;0.871;0.902;0.902;0.902;0.825;0.716;1.0;0.795;0.8;0.716;0.716;0.334;0.83
transcript32_ENSCGRG00015005362;0.943;0.943;0.974;0.972;0.964;0.975;0.293;0.128;0.89;1.0;1.0;1.0;1.0;0.919;0.981;0.99;0.99;0.99;0.911;0.716;1.0;0.909;0.908;0.716;0.716;0.334;0.938
