;ENSCAFT00000048684_90_90;ENST00000335135_90_90;ENST00000526716_90_90;ENST00000526974_90_90;ENST00000528027_90_90;ENST00000528712_90_90;ENST00000532059_90_90;ENST00000532977_90_90;ENST00000622443_90_90;ENSMUST00000067417_90_90;ENSMUST00000118022_90_90;ENSMUST00000121312_90_90;ENSMUST00000132122_90_90;ENSMUST00000137244_90_90;ENSMUST00000156782_90_90
ENSCAFT00000048684_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.157;0.159;0.0;0.134;0.08;0.08
ENST00000335135_90_90;0.0;1.0;0.263;0.142;0.466;0.369;0.986;0.095;0.961;0.553;0.558;0.335;0.0;0.0;0.0
ENST00000526716_90_90;0.0;0.263;1.0;0.0;0.0;0.684;0.261;0.0;0.269;0.238;0.239;0.591;0.0;0.0;0.0
ENST00000526974_90_90;0.0;0.142;0.0;1.0;0.271;0.0;0.139;0.681;0.134;0.081;0.082;0.0;0.0;0.0;0.0
ENST00000528027_90_90;0.0;0.466;0.0;0.271;1.0;0.0;0.457;0.184;0.426;0.284;0.287;0.0;0.0;0.0;0.0
ENST00000528712_90_90;0.0;0.369;0.684;0.0;0.0;1.0;0.367;0.0;0.379;0.322;0.324;0.787;0.0;0.0;0.0
ENST00000532059_90_90;0.0;0.986;0.261;0.139;0.457;0.367;1.0;0.093;0.948;0.563;0.553;0.333;0.0;0.0;0.0
ENST00000532977_90_90;0.0;0.095;0.0;0.681;0.184;0.0;0.093;1.0;0.085;0.058;0.059;0.0;0.0;0.0;0.0
ENST00000622443_90_90;0.0;0.961;0.269;0.134;0.426;0.379;0.948;0.085;1.0;0.528;0.532;0.342;0.0;0.0;0.0
ENSMUST00000067417_90_90;0.157;0.553;0.238;0.081;0.284;0.322;0.563;0.058;0.528;1.0;0.988;0.351;0.09;0.054;0.054
ENSMUST00000118022_90_90;0.159;0.558;0.239;0.082;0.287;0.324;0.553;0.059;0.532;0.988;1.0;0.353;0.092;0.056;0.056
ENSMUST00000121312_90_90;0.0;0.335;0.591;0.0;0.0;0.787;0.333;0.0;0.342;0.351;0.353;1.0;0.0;0.0;0.0
ENSMUST00000132122_90_90;0.134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09;0.092;0.0;1.0;0.647;0.647
ENSMUST00000137244_90_90;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054;0.056;0.0;0.647;1.0;1.0
ENSMUST00000156782_90_90;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054;0.056;0.0;0.647;1.0;1.0
