;ENSCAFT00000012285_90_90;ENST00000361618_90_90;ENST00000393702_90_90;ENST00000393704_90_90;ENST00000502832_90_90;ENST00000504999_90_90;ENST00000506110_90_90;ENST00000506764_90_90;ENST00000507601_90_90;ENST00000510306_90_90;ENST00000512698_90_90;ENSMUST00000034066_90_90;ENSMUST00000160719_90_90;ENSMUST00000161421_90_90;ENSMUST00000161702_90_90
ENSCAFT00000012285_90_90;1.0;1.0;0.444;0.444;0.222;0.333;0.444;0.222;0.111;0.111;0.333;1.0;1.0;0.444;1.0
ENST00000361618_90_90;1.0;1.0;0.455;0.4;0.2;0.4;0.455;0.2;0.1;0.1;0.3;1.0;1.0;0.4;1.0
ENST00000393702_90_90;0.444;0.455;1.0;0.0;0.0;0.667;1.0;0.333;0.0;0.167;0.0;0.5;0.5;0.0;0.5
ENST00000393704_90_90;0.444;0.4;0.0;1.0;0.5;0.0;0.0;0.0;0.25;0.0;0.75;0.4;0.4;1.0;0.4
ENST00000502832_90_90;0.222;0.2;0.0;0.5;1.0;0.0;0.0;0.0;0.5;0.0;0.667;0.2;0.2;0.5;0.2
ENST00000504999_90_90;0.333;0.4;0.667;0.0;0.0;1.0;0.667;0.5;0.0;0.25;0.0;0.4;0.4;0.0;0.4
ENST00000506110_90_90;0.444;0.455;1.0;0.0;0.0;0.667;1.0;0.333;0.0;0.167;0.0;0.5;0.5;0.0;0.5
ENST00000506764_90_90;0.222;0.2;0.333;0.0;0.0;0.5;0.333;1.0;0.0;0.5;0.0;0.2;0.2;0.0;0.2
ENST00000507601_90_90;0.111;0.1;0.0;0.25;0.5;0.0;0.0;0.0;1.0;0.0;0.333;0.1;0.1;0.25;0.1
ENST00000510306_90_90;0.111;0.1;0.167;0.0;0.0;0.25;0.167;0.5;0.0;1.0;0.0;0.1;0.1;0.0;0.1
ENST00000512698_90_90;0.333;0.3;0.0;0.75;0.667;0.0;0.0;0.0;0.333;0.0;1.0;0.3;0.3;0.75;0.3
ENSMUST00000034066_90_90;1.0;1.0;0.5;0.4;0.2;0.4;0.5;0.2;0.1;0.1;0.3;1.0;1.0;0.4;1.0
ENSMUST00000160719_90_90;1.0;1.0;0.5;0.4;0.2;0.4;0.5;0.2;0.1;0.1;0.3;1.0;1.0;0.4;1.0
ENSMUST00000161421_90_90;0.444;0.4;0.0;1.0;0.5;0.0;0.0;0.0;0.25;0.0;0.75;0.4;0.4;1.0;0.4
ENSMUST00000161702_90_90;1.0;1.0;0.5;0.4;0.2;0.4;0.5;0.2;0.1;0.1;0.3;1.0;1.0;0.4;1.0
