;ENSCAFT00000016446_90_90;ENST00000290246_90_90;ENST00000352077_90_90;ENST00000372176_90_90;ENST00000396391_90_90;ENST00000425546_90_90;ENST00000450812_90_90;ENST00000452857_90_90;ENST00000467800_90_90;ENSMUST00000071699_90_90;ENSMUST00000074046_90_90;ENSMUST00000094329_90_90;ENSMUST00000103088_90_90;ENSMUST00000103091_90_90;ENSMUST00000126318_90_90;ENSMUST00000128690_90_90;ENSMUST00000133205_90_90;ENSMUST00000137188_90_90;ENSMUST00000148643_90_90
ENSCAFT00000016446_90_90;1.0;0.821;0.786;0.643;0.821;0.321;0.536;0.179;0.429;0.929;1.0;0.964;0.929;0.964;0.071;0.107;0.286;0.214;0.357
ENST00000290246_90_90;0.821;1.0;0.962;0.769;1.0;0.286;0.615;0.269;0.265;0.741;0.815;0.778;0.741;0.778;0.091;0.091;0.318;0.273;0.185
ENST00000352077_90_90;0.786;0.962;1.0;0.731;0.962;0.296;0.577;0.28;0.273;0.704;0.778;0.741;0.704;0.741;0.095;0.095;0.333;0.286;0.192
ENST00000372176_90_90;0.643;0.769;0.731;1.0;0.769;0.364;0.385;0.35;0.321;0.556;0.63;0.593;0.556;0.593;0.0;0.0;0.091;0.353;0.227
ENST00000396391_90_90;0.821;1.0;0.962;0.769;1.0;0.286;0.615;0.269;0.265;0.741;0.815;0.778;0.741;0.778;0.091;0.091;0.318;0.273;0.185
ENST00000425546_90_90;0.321;0.286;0.296;0.364;0.286;1.0;0.238;0.062;0.227;0.308;0.333;0.296;0.308;0.296;0.0;0.0;0.0;0.25;0.188
ENST00000450812_90_90;0.536;0.615;0.577;0.385;0.615;0.238;1.0;0.0;0.065;0.538;0.556;0.519;0.538;0.519;0.133;0.133;0.467;0.4;0.0
ENST00000452857_90_90;0.179;0.269;0.28;0.35;0.269;0.062;0.0;1.0;0.2;0.115;0.148;0.154;0.115;0.154;0.0;0.0;0.0;0.0;0.4
ENST00000467800_90_90;0.429;0.265;0.273;0.321;0.265;0.227;0.065;0.2;1.0;0.48;0.444;0.462;0.48;0.462;0.0;0.0;0.0;0.059;0.571
ENSMUST00000071699_90_90;0.929;0.741;0.704;0.556;0.741;0.308;0.538;0.115;0.48;1.0;0.875;0.933;1.0;0.933;0.069;0.103;0.276;0.241;0.333
ENSMUST00000074046_90_90;1.0;0.815;0.778;0.63;0.815;0.333;0.556;0.148;0.444;0.875;1.0;0.935;0.875;0.935;0.065;0.097;0.258;0.226;0.355
ENSMUST00000094329_90_90;0.964;0.778;0.741;0.593;0.778;0.296;0.519;0.154;0.462;0.933;0.935;1.0;0.933;1.0;0.069;0.103;0.276;0.241;0.379
ENSMUST00000103088_90_90;0.929;0.741;0.704;0.556;0.741;0.308;0.538;0.115;0.48;1.0;0.875;0.933;1.0;0.933;0.069;0.103;0.276;0.241;0.333
ENSMUST00000103091_90_90;0.964;0.778;0.741;0.593;0.778;0.296;0.519;0.154;0.462;0.933;0.935;1.0;0.933;1.0;0.069;0.103;0.276;0.241;0.379
ENSMUST00000126318_90_90;0.071;0.091;0.095;0.0;0.091;0.0;0.133;0.0;0.0;0.069;0.065;0.069;0.069;0.069;1.0;0.25;0.25;0.0;0.0
ENSMUST00000128690_90_90;0.107;0.091;0.095;0.0;0.091;0.0;0.133;0.0;0.0;0.103;0.097;0.103;0.103;0.103;0.25;1.0;0.375;0.0;0.0
ENSMUST00000133205_90_90;0.286;0.318;0.333;0.091;0.318;0.0;0.467;0.0;0.0;0.276;0.258;0.276;0.276;0.276;0.25;0.375;1.0;0.071;0.0
ENSMUST00000137188_90_90;0.214;0.273;0.286;0.353;0.273;0.25;0.4;0.0;0.059;0.241;0.226;0.241;0.241;0.241;0.0;0.0;0.071;1.0;0.0
ENSMUST00000148643_90_90;0.357;0.185;0.192;0.227;0.185;0.188;0.0;0.4;0.571;0.333;0.355;0.379;0.333;0.379;0.0;0.0;0.0;0.0;1.0
