;ENSCAFT00000039734_90_90;ENST00000360057_90_90;ENST00000378098_90_90;ENST00000378099_90_90;ENST00000482940_90_90;ENST00000489798_90_90;ENST00000538212_90_90;ENST00000552881_90_90;ENST00000639328_90_90;ENSMUST00000067888_90_90;ENSMUST00000114644_90_90
ENSCAFT00000039734_90_90;1.0;0.333;0.319;0.333;0.311;0.256;0.373;0.333;0.048;0.842;0.5
ENST00000360057_90_90;0.333;1.0;0.771;0.882;0.113;0.4;0.556;0.882;0.257;0.321;0.326
ENST00000378098_90_90;0.319;0.771;1.0;0.871;0.128;0.483;0.524;0.871;0.118;0.391;0.417
ENST00000378099_90_90;0.333;0.882;0.871;1.0;0.122;0.452;0.61;0.818;0.143;0.347;0.359
ENST00000482940_90_90;0.311;0.113;0.128;0.122;1.0;0.176;0.386;0.122;0.0;0.298;0.091
ENST00000489798_90_90;0.256;0.4;0.483;0.452;0.176;1.0;0.378;0.452;0.0;0.244;0.226
ENST00000538212_90_90;0.373;0.556;0.524;0.61;0.386;0.378;1.0;0.5;0.122;0.385;0.229
ENST00000552881_90_90;0.333;0.882;0.871;0.818;0.122;0.452;0.5;1.0;0.212;0.347;0.359
ENST00000639328_90_90;0.048;0.257;0.118;0.143;0.0;0.0;0.122;0.212;1.0;0.07;0.1
ENSMUST00000067888_90_90;0.842;0.321;0.391;0.347;0.298;0.244;0.385;0.347;0.07;1.0;0.639
ENSMUST00000114644_90_90;0.5;0.326;0.417;0.359;0.091;0.226;0.229;0.359;0.1;0.639;1.0
