;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;1.0;0.571;0.7;0.429;0.429;0.385;0.231;0.467;0.429;0.467;0.231
ENSCAFT00000047065_90_90;0.571;1.0;0.4;0.412;0.5;0.375;0.333;0.529;0.412;0.529;0.333
ENSCAFT00000050191_90_90;0.7;0.4;1.0;0.462;0.357;0.417;0.154;0.4;0.462;0.4;0.154
ENST00000260506_90_90;0.429;0.412;0.462;1.0;0.571;0.667;0.286;0.846;1.0;0.846;0.286
ENST00000271234_90_90;0.429;0.5;0.357;0.571;1.0;0.818;0.636;0.714;0.571;0.714;0.5
ENST00000370253_90_90;0.385;0.375;0.417;0.667;0.818;1.0;0.455;0.571;0.667;0.571;0.333
ENST00000424449_90_90;0.231;0.333;0.154;0.286;0.636;0.455;1.0;0.429;0.286;0.429;0.75
ENST00000604705_90_90;0.467;0.529;0.4;0.846;0.714;0.571;0.429;1.0;0.846;1.0;0.429
ENSMUST00000162409_90_90;0.429;0.412;0.462;1.0;0.571;0.667;0.286;0.846;1.0;0.846;0.286
ENSMUST00000162947_90_90;0.467;0.529;0.4;0.846;0.714;0.571;0.429;1.0;0.846;1.0;0.429
ENSMUST00000197259_90_90;0.231;0.333;0.154;0.286;0.5;0.333;0.75;0.429;0.286;0.429;1.0
