;transcript8_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript26_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.405;1.0;1.0;1.0;1.0;1.0;0.913;0.913;1.0;1.0;0.705;1.0
transcript36_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.405;1.0;1.0;1.0;1.0;1.0;0.913;0.913;1.0;1.0;0.705;1.0
transcript37_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.405;1.0;1.0;1.0;1.0;1.0;0.913;0.913;1.0;1.0;0.705;1.0
transcript38_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.405;1.0;1.0;1.0;1.0;1.0;0.913;0.913;1.0;1.0;0.705;1.0
transcript8_ENSRNOG00000031503;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.423;1.0;1.0;1.0;1.0;1.0;0.901;0.901;1.0;1.0;0.697;1.0
transcript32_ENSCGRG00015005362;1.0;1.0;1.0;1.0;1.0;1.0;0.955;1.0;1.0;0.981;0.983;0.937;1.0;0.983;0.937;0.797;0.972;1.0;0.972;0.998;1.0;0.974;0.974;1.0;1.0;0.908;1.0
transcript33_ENSCGRG00015005362;1.0;1.0;1.0;1.0;1.0;0.955;1.0;0.955;0.955;0.936;0.937;0.982;0.955;0.937;0.982;0.751;0.944;0.972;0.944;0.97;0.932;0.906;0.906;0.955;0.955;0.862;0.955
transcript22_ENSCGRG00000018457;1.0;1.0;1.0;1.0;1.0;1.0;0.955;1.0;1.0;0.981;0.983;0.937;1.0;0.983;0.937;0.797;0.972;1.0;0.972;0.998;1.0;0.974;0.974;1.0;1.0;0.908;1.0
transcript26_ENSCGRG00000018457;1.0;1.0;1.0;1.0;1.0;1.0;0.955;1.0;1.0;0.981;0.983;0.937;1.0;0.983;0.937;0.797;0.972;1.0;0.972;0.998;1.0;0.974;0.974;1.0;1.0;0.908;1.0
transcript42_ENSCGRG00000018457;1.0;1.0;1.0;1.0;1.0;0.981;0.936;0.981;0.981;1.0;0.964;0.919;0.981;0.964;0.919;0.778;0.953;0.981;0.953;0.979;0.981;0.955;0.955;0.981;0.981;0.889;0.981
transcript43_ENSCGRG00000018457;1.0;1.0;1.0;1.0;1.0;0.983;0.937;0.983;0.983;0.964;1.0;0.954;0.983;1.0;0.954;0.811;0.961;0.989;0.961;0.987;0.974;0.948;0.948;0.983;0.983;0.89;0.983
transcript7_ENSCGRG00001010245;1.0;1.0;1.0;1.0;1.0;0.937;0.982;0.937;0.937;0.919;0.954;1.0;0.912;0.955;1.0;0.771;0.934;0.933;0.934;0.931;0.908;0.883;0.874;0.939;0.939;0.849;0.939
transcript26_ENSCGRG00001010245;1.0;1.0;1.0;1.0;1.0;1.0;0.955;1.0;1.0;0.981;0.983;0.912;1.0;0.956;0.912;0.775;0.944;1.0;0.944;0.998;0.975;0.949;0.958;0.973;0.973;0.883;0.973
transcript29_ENSCGRG00001010245;1.0;1.0;1.0;1.0;1.0;0.983;0.937;0.983;0.983;0.964;1.0;0.955;0.956;1.0;0.955;0.816;0.962;0.96;0.962;0.958;0.975;0.949;0.94;0.983;0.983;0.893;0.983
