;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;1.0;0.769;0.538;0.692;0.077;0.231;0.308;0.154;0.692;0.917;0.917;0.917;0.417;0.083
ENST00000339582_90_90;0.769;1.0;0.533;0.667;0.077;0.286;0.385;0.067;0.667;0.818;0.615;0.615;0.4;0.111
ENST00000341617_90_90;0.538;0.533;1.0;0.571;0.1;0.0;0.5;0.083;0.571;0.636;0.583;0.583;0.5;0.143
ENST00000358373_90_90;0.692;0.667;0.571;1.0;0.083;0.062;0.417;0.071;1.0;0.615;0.833;0.833;0.364;0.1
ENST00000412160_90_90;0.077;0.077;0.1;0.083;1.0;0.0;0.2;0.0;0.083;0.091;0.083;0.083;0.2;1.0
ENST00000444921_90_90;0.231;0.286;0.0;0.062;0.0;1.0;0.0;0.0;0.062;0.182;0.077;0.077;0.0;0.0
ENST00000457830_90_90;0.308;0.385;0.5;0.417;0.2;0.0;1.0;0.143;0.417;0.364;0.333;0.333;0.8;0.25
ENST00000465844_90_90;0.154;0.067;0.083;0.071;0.0;0.0;0.143;1.0;0.071;0.182;0.167;0.167;0.4;0.0
ENST00000472701_90_90;0.692;0.667;0.571;1.0;0.083;0.062;0.417;0.071;1.0;0.615;0.833;0.833;0.364;0.1
ENSMUST00000090512_90_90;0.917;0.818;0.636;0.615;0.091;0.182;0.364;0.182;0.615;1.0;0.714;0.714;0.417;0.083
ENSMUST00000115323_90_90;0.917;0.615;0.583;0.833;0.083;0.077;0.333;0.167;0.833;0.714;1.0;1.0;0.417;0.083
ENSMUST00000115324_90_90;0.917;0.615;0.583;0.833;0.083;0.077;0.333;0.167;0.833;0.714;1.0;1.0;0.417;0.083
ENSMUST00000131897_90_90;0.417;0.4;0.5;0.364;0.2;0.0;0.8;0.4;0.364;0.417;0.417;0.417;1.0;0.2
ENSMUST00000132755_90_90;0.083;0.111;0.143;0.1;1.0;0.0;0.25;0.0;0.1;0.083;0.083;0.083;0.2;1.0
