;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;1.0;1.0;1.0;1.0;0.079;1.0;1.0;1.0;0.947;0.974;1.0
transcript33_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;0.086;1.0;1.0;1.0;0.943;0.971;1.0
transcript27_ENSRNOG00000031503;1.0;1.0;1.0;1.0;1.0;0.148;0.963;1.0;0.963;0.889;0.926;1.0
transcript27_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;0.1;0.975;1.0;0.975;0.925;0.95;1.0
transcript34_ENSRNOG00000031503;1.0;1.0;1.0;1.0;1.0;0.148;0.963;1.0;0.963;0.889;0.926;1.0
transcript37_ENSMUGG00000013649;0.079;0.086;0.148;0.1;0.148;1.0;0.075;0.1;0.075;0.025;0.05;0.1
transcript38_ENSMUGG00000013649;1.0;1.0;0.963;0.975;0.963;0.075;1.0;0.975;1.0;0.949;0.974;0.975
transcript40_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;0.1;0.975;1.0;0.975;0.925;0.95;1.0
transcript45_ENSMUGG00000013649;1.0;1.0;0.963;0.975;0.963;0.075;1.0;0.975;1.0;0.949;0.974;0.975
transcript46_ENSMUGG00000013649;0.947;0.943;0.889;0.925;0.889;0.025;0.949;0.925;0.949;1.0;0.974;0.925
transcript49_ENSMUGG00000013649;0.974;0.971;0.926;0.95;0.926;0.05;0.974;0.95;0.974;0.974;1.0;0.95
transcript39_ENSMUGG00000013592;1.0;1.0;1.0;1.0;1.0;0.1;0.975;1.0;0.975;0.925;0.95;1.0
