;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.83;0.981;0.868;0.849;0.963;0.926;0.907;0.564;0.558;0.558
transcript9_MGP-PahariEiJ-G0020237;0.83;1.0;0.815;0.957;0.978;0.796;0.759;0.741;0.468;0.463;0.463
transcript37_MGP-PahariEiJ-G0020237;0.981;0.815;1.0;0.852;0.833;0.981;0.944;0.926;0.558;0.568;0.568
transcript39_MGP-PahariEiJ-G0020237;0.868;0.957;0.852;1.0;0.978;0.833;0.796;0.778;0.489;0.484;0.484
transcript49_MGP-PahariEiJ-G0020237;0.849;0.978;0.833;0.978;1.0;0.815;0.778;0.759;0.479;0.474;0.474
transcript50_MGP-PahariEiJ-G0020237;0.963;0.796;0.981;0.833;0.815;1.0;0.926;0.907;0.547;0.558;0.558
transcript51_MGP-PahariEiJ-G0020237;0.926;0.759;0.944;0.796;0.778;0.926;1.0;0.98;0.526;0.537;0.537
transcript52_MGP-PahariEiJ-G0020237;0.907;0.741;0.926;0.778;0.759;0.907;0.98;1.0;0.516;0.526;0.526
transcript36_ENSRNOG00000031503;0.564;0.468;0.558;0.489;0.479;0.547;0.526;0.516;1.0;0.989;0.989
transcript37_ENSRNOG00000031503;0.558;0.463;0.568;0.484;0.474;0.558;0.537;0.526;0.989;1.0;1.0
transcript44_ENSRNOG00000031503;0.558;0.463;0.568;0.484;0.474;0.558;0.537;0.526;0.989;1.0;1.0
