;ENSCAFT00000017733_90_90;ENST00000283256_90_90;ENST00000375427_90_90;ENST00000375437_90_90;ENST00000424833_90_90;ENST00000486878_90_90;ENST00000631182_90_90;ENST00000636071_90_90;ENST00000636135_90_90;ENST00000636384_90_90;ENST00000636662_90_90;ENST00000636769_90_90;ENST00000636985_90_90;ENST00000637266_90_90;ENST00000637367_90_90;ENSMUST00000028377_90_90;ENSMUST00000100067_90_90;ENSMUST00000144254_90_90;ENSMUST00000200829_90_90;ENSMUST00000202162_90_90;ENSMUST00000202508_90_90
ENSCAFT00000017733_90_90;1.0;0.895;0.895;0.895;0.474;0.263;0.895;0.895;0.526;0.684;0.053;0.684;0.789;0.895;0.053;0.952;0.952;0.429;0.952;0.048;0.095
ENST00000283256_90_90;0.895;1.0;0.818;1.0;0.55;0.227;0.818;0.818;0.571;0.762;0.048;0.762;0.9;1.0;0.048;0.762;0.762;0.474;0.947;0.056;0.111
ENST00000375427_90_90;0.895;0.818;1.0;0.818;0.409;0.125;1.0;1.0;0.435;0.609;0.048;0.609;0.727;0.818;0.048;0.947;0.947;0.333;0.762;0.056;0.111
ENST00000375437_90_90;0.895;1.0;0.818;1.0;0.55;0.227;0.818;0.818;0.571;0.762;0.048;0.762;0.9;1.0;0.048;0.762;0.762;0.474;0.947;0.056;0.111
ENST00000424833_90_90;0.474;0.55;0.409;0.55;1.0;0.385;0.409;0.409;0.714;0.647;0.083;0.647;0.45;0.55;0.083;0.381;0.381;0.818;0.526;0.0;0.0
ENST00000486878_90_90;0.263;0.227;0.125;0.227;0.385;1.0;0.125;0.125;0.25;0.263;0.0;0.263;0.25;0.227;0.0;0.19;0.19;0.6;0.316;0.0;0.0
ENST00000631182_90_90;0.895;0.818;1.0;0.818;0.409;0.125;1.0;1.0;0.435;0.609;0.048;0.609;0.727;0.818;0.048;0.947;0.947;0.333;0.762;0.056;0.111
ENST00000636071_90_90;0.895;0.818;1.0;0.818;0.409;0.125;1.0;1.0;0.435;0.609;0.048;0.609;0.727;0.818;0.048;0.947;0.947;0.333;0.762;0.056;0.111
ENST00000636135_90_90;0.526;0.571;0.435;0.571;0.714;0.25;0.435;0.435;1.0;0.667;0.071;0.667;0.476;0.571;0.071;0.429;0.429;0.615;0.579;0.0;0.0
ENST00000636384_90_90;0.684;0.762;0.609;0.762;0.647;0.263;0.609;0.609;0.667;1.0;0.056;0.889;0.667;0.762;0.056;0.571;0.571;0.6;0.737;0.0;0.0
ENST00000636662_90_90;0.053;0.048;0.048;0.048;0.083;0.0;0.048;0.048;0.071;0.056;1.0;0.056;0.0;0.048;1.0;0.053;0.053;0.1;0.053;0.0;0.0
ENST00000636769_90_90;0.684;0.762;0.609;0.762;0.647;0.263;0.609;0.609;0.667;0.889;0.056;1.0;0.667;0.762;0.056;0.571;0.571;0.6;0.737;0.0;0.0
ENST00000636985_90_90;0.789;0.9;0.727;0.9;0.45;0.25;0.727;0.727;0.476;0.667;0.0;0.667;1.0;0.9;0.0;0.667;0.667;0.368;0.842;0.062;0.125
ENST00000637266_90_90;0.895;1.0;0.818;1.0;0.55;0.227;0.818;0.818;0.571;0.762;0.048;0.762;0.9;1.0;0.048;0.762;0.762;0.474;0.947;0.056;0.111
ENST00000637367_90_90;0.053;0.048;0.048;0.048;0.083;0.0;0.048;0.048;0.071;0.056;1.0;0.056;0.0;0.048;1.0;0.053;0.053;0.1;0.053;0.0;0.0
ENSMUST00000028377_90_90;0.952;0.762;0.947;0.762;0.381;0.19;0.947;0.947;0.429;0.571;0.053;0.571;0.667;0.762;0.053;1.0;1.0;0.348;0.826;0.045;0.091
ENSMUST00000100067_90_90;0.952;0.762;0.947;0.762;0.381;0.19;0.947;0.947;0.429;0.571;0.053;0.571;0.667;0.762;0.053;1.0;1.0;0.348;0.826;0.045;0.091
ENSMUST00000144254_90_90;0.429;0.474;0.333;0.474;0.818;0.6;0.333;0.333;0.615;0.6;0.1;0.6;0.368;0.474;0.1;0.348;0.348;1.0;0.476;0.0;0.0
ENSMUST00000200829_90_90;0.952;0.947;0.762;0.947;0.526;0.316;0.762;0.762;0.579;0.737;0.053;0.737;0.842;0.947;0.053;0.826;0.826;0.476;1.0;0.045;0.091
ENSMUST00000202162_90_90;0.048;0.056;0.056;0.056;0.0;0.0;0.056;0.056;0.0;0.0;0.0;0.0;0.062;0.056;0.0;0.045;0.045;0.0;0.045;1.0;0.667
ENSMUST00000202508_90_90;0.095;0.111;0.111;0.111;0.0;0.0;0.111;0.111;0.0;0.0;0.0;0.0;0.125;0.111;0.0;0.091;0.091;0.0;0.091;0.667;1.0
