;nº dataset;# of genes;# of transcripts
1;1;5;16(1-6-3)
2;2;5;10(1-3-2)
3;3;5;5(1-1-1)
4;4;4;12(1-5-3)
5;5;8;28(1-5-3)
6;6;6;14(1-5-2)
7;7;7;25(1-7-3)
8;8;4;25(1-9-6)
9;9;3;21(4-9-7)
10;10;4;11(1-6-2)
11;11;3;14(4-5-4)
12;12;9;36(1-9-4)
13;13;5;18(1-6-3)
14;14;5;22(2-8-4)
17;15;3;5(1-2-1)
18;16;5;24(4-6-4)
19;17;4;8(1-4-2)
20;18;3;7(1-4-2)
21;19;2;4(1-3-2)
22;20;4;18(2-7-4)
23;21;6;12(1-4-2)
24;22;5;25(2-7-5)
25;23;3;5(1-2-1)
26;24;4;15(2-5-3)
27;25;6;9(1-3-1)
28;26;2;8(3-5-4)
29;27;6;13(1-4-2)
30;28;5;14(1-8-2)
31;29;6;17(1-5-2)
32;30;8;23(1-5-2)
33;31;4;7(1-3-1)
34;32;6;13(1-6-2)
35;33;2;16(4-12-8)
36;34;8;27(1-5-3)
37;35;1;3(3-3-3)
38;36;7;31(1-8-4)
39;37;4;7(1-3-1)
40;38;6;31(3-8-5)
41;39;4;6(1-2-1)
42;40;7;19(1-5-2)
43;41;5;12(1-7-2)
44;42;3;11(2-5-3)
45;43;4;8(1-4-2)
46;44;5;17(1-7-3)
47;45;2;7(3-4-3)
48;46;4;11(1-5-2)
49;47;2;11(3-8-5)
50;48;5;14(1-5-2)
51;49;5;7(1-3-1)
52;50;9;15(1-5-1)
