nº dataset;homogeneity;completeness;v_measure
1;0.6474095375270769;0.6711985764535869;0.6590894676946015
2;1.0;1.0;1.0
3;1.0;1.0;1.0
4;0.49931915936140964;0.7747199911055349;0.6072537638384464
5;0.2455725794956411;0.648069302388337;0.35617858452186285
6;0.2885054984878304;0.5193533002096921;0.3709467124944902
7;0.0;1.0;0.0
8;0.9491132589845684;0.7885967787924981;0.8614413710839169
9;0.5018265434906489;0.5978467249425142;0.545644536658738
10;1.0;1.0;1.0
11;0.0;1.0;0.0
12;0.6193736174910125;0.7106183543059323;0.661866041442802
13;0.0;1.0;0.0
14;0.3538864818770184;0.6718555092427256;0.4635874996909332
15;0.43253806776631243;0.43253806776631243;0.43253806776631243
16;0.7319129530159788;0.7637816001978969;0.7475077652170544
17;1.0;1.0;1.0
18;1.0;1.0;1.0
20;0.8278195311147832;0.7680502228963819;0.7968156220676633
21;0.0;1.0;0.0
22;0.8464798294962845;0.6741793221851995;0.750568195459468
23;1.0;0.0;0.0
24;0.1873836381134316;0.33795046458279543;0.24108995487112675
25;1.0;1.0;1.0
27;0.17606518336876079;0.23679725954056519;0.20196437645642723
28;0.5544707220472659;0.9999999999999998;0.7133884404294446
29;0.1962110047417729;0.5735567610147995;0.29239506604837295
30;0.15052814616794744;0.6260644691130188;0.24270208617193034
31;1.0;1.0;1.0
32;0.0;1.0;0.0
33;0.9999999999999999;0.6666666666666666;0.7999999999999999
34;0.09561074234849316;0.5972453356010594;0.164833857184262
36;0.44705392106792174;0.7612079009349016;0.5632901258052574
37;0.0;1.0;0.0
38;0.4528999152301092;0.7391438000601566;0.5616541744169026
39;0.0;1.0;0.0
40;0.10780903163246963;0.5972453356010596;0.18264815954776645
41;0.0;1.0;0.0
42;1.0;0.7082316448032829;0.829198600737597
43;1.0;0.0;0.0
44;0.0;1.0;0.0
45;1.0;1.0;1.0
46;0.19980856844936554;0.48719717623270153;0.2833925948630292
47;1.0;1.0;1.0
48;0.0;1.0;0.0
49;0.0;1.0;0.0
50;0.19577296995409904;0.5584331011203426;0.2899104393876365
