nº dataset;true_oos;comp_oos;true_pos;comp_pos;true_orthologs_genes;comp_orthologs_genes;true_paralogs;comp_paralogs;%true_ortho-isoorthologs;%true_para-isoortholgs;%comp_ortho-isoorthologs;%comp_para-isoortholgs
1;[('transcript12_ppan', 'transcript12_ptro'), ('transcript12_ppan', 'transcript12_hsap'), ('transcript12_ppan', 'transcript12_ggor'), ('transcript12_ptro', 'transcript12_hsap'), ('transcript12_ptro', 'transcript12_ggor'), ('transcript12_hsap', 'transcript12_ggor'), ('transcript19_ppan', 'transcript19_hsap'), ('transcript19_ppan', 'transcript19_ggor'), ('transcript19_hsap', 'transcript19_ggor'), ('transcript20_ppan', 'transcript20_hsap'), ('transcript18_hsap', 'transcript18_ggor')];[('transcript12_ppan', 'transcript12_ptro'), ('transcript12_ppan', 'transcript12_hsap'), ('transcript12_ppan', 'transcript12_ggor'), ('transcript12_ppan', 'transcript19_ppan'), ('transcript12_ppan', 'transcript19_hsap'), ('transcript12_ppan', 'transcript18_ggor'), ('transcript12_ptro', 'transcript12_hsap'), ('transcript12_ptro', 'transcript12_ggor'), ('transcript12_ptro', 'transcript19_ppan'), ('transcript12_ptro', 'transcript19_hsap'), ('transcript12_ptro', 'transcript18_ggor'), ('transcript12_hsap', 'transcript12_ggor'), ('transcript12_hsap', 'transcript19_ppan'), ('transcript12_hsap', 'transcript19_hsap'), ('transcript12_hsap', 'transcript18_ggor'), ('transcript12_ggor', 'transcript19_ppan'), ('transcript12_ggor', 'transcript19_hsap'), ('transcript12_ggor', 'transcript18_ggor'), ('transcript19_ppan', 'transcript19_hsap'), ('transcript19_ppan', 'transcript18_ggor'), ('transcript19_hsap', 'transcript18_ggor'), ('transcript19_ggor', 'transcript20_ppan')];[];[];6;6;0;0;1.0;0.0;1.0;0.0
2;[('transcript11_hsap', 'transcript11_ggor')];[('transcript11_hsap', 'transcript11_ggor')];[];[];1;1;0;0;1.0;0.0;1.0;0.0
3;[('transcript0_ppan', 'transcript0_ptro'), ('transcript0_ppan', 'transcript0_hsap'), ('transcript0_ppan', 'transcript0_ggor'), ('transcript0_ppan', 'transcript0_pabe'), ('transcript0_ptro', 'transcript0_hsap'), ('transcript0_ptro', 'transcript0_ggor'), ('transcript0_ptro', 'transcript0_pabe'), ('transcript0_hsap', 'transcript0_ggor'), ('transcript0_hsap', 'transcript0_pabe'), ('transcript0_ggor', 'transcript0_pabe')];[('transcript0_ppan', 'transcript0_ptro'), ('transcript0_ppan', 'transcript0_hsap'), ('transcript0_ppan', 'transcript0_ggor'), ('transcript0_ppan', 'transcript0_pabe'), ('transcript0_ptro', 'transcript0_hsap'), ('transcript0_ptro', 'transcript0_ggor'), ('transcript0_ptro', 'transcript0_pabe'), ('transcript0_hsap', 'transcript0_ggor'), ('transcript0_hsap', 'transcript0_pabe'), ('transcript0_ggor', 'transcript0_pabe')];[];[];10;10;0;0;1.0;0.0;1.0;0.0
4;[('transcript10_ppan', 'transcript10_ptro'), ('transcript10_ppan', 'transcript10_hsap'), ('transcript10_ppan', 'transcript10_ggor'), ('transcript10_ptro', 'transcript10_hsap'), ('transcript10_ptro', 'transcript10_ggor'), ('transcript10_hsap', 'transcript10_ggor'), ('transcript17_ggor', 'transcript17_ptro'), ('transcript9_ggor', 'transcript9_ppan'), ('transcript9_ggor', 'transcript9_ptro'), ('transcript9_ppan', 'transcript9_ptro')];[('transcript10_ppan', 'transcript10_ptro'), ('transcript10_ppan', 'transcript10_hsap'), ('transcript10_ppan', 'transcript10_ggor'), ('transcript10_ppan', 'transcript9_ggor'), ('transcript10_ppan', 'transcript9_ppan'), ('transcript10_ppan', 'transcript9_ptro'), ('transcript10_ptro', 'transcript10_hsap'), ('transcript10_ptro', 'transcript10_ggor'), ('transcript10_ptro', 'transcript9_ggor'), ('transcript10_ptro', 'transcript9_ppan'), ('transcript10_ptro', 'transcript9_ptro'), ('transcript10_hsap', 'transcript10_ggor'), ('transcript10_hsap', 'transcript9_ggor'), ('transcript10_hsap', 'transcript9_ppan'), ('transcript10_hsap', 'transcript9_ptro'), ('transcript10_ggor', 'transcript9_ggor'), ('transcript10_ggor', 'transcript9_ppan'), ('transcript10_ggor', 'transcript9_ptro'), ('transcript9_ggor', 'transcript9_ppan'), ('transcript9_ggor', 'transcript9_ptro'), ('transcript9_ppan', 'transcript9_ptro')];[];[];6;6;0;0;1.0;0.0;1.0;0.0
5;[('transcript21_ENSHGLG00100006079', 'transcript21_ENSMUNG00000002391'), ('transcript22_ENSHGLG00100006079', 'transcript22_ENSMUNG00000002391'), ('transcript22_ENSHGLG00100006079', 'transcript22_ENSAPOG00000023408'), ('transcript22_ENSMUNG00000002391', 'transcript22_ENSAPOG00000023408'), ('transcript10_ENSHGLG00100003156', 'transcript10_ENSAPOG00000016134'), ('transcript17_ENSHGLG00100003156', 'transcript17_ENSHGLG00000019563'), ('transcript17_ENSHGLG00100003156', 'transcript17_ENSAPOG00000016134'), ('transcript17_ENSHGLG00000019563', 'transcript17_ENSAPOG00000016134'), ('transcript20_ENSHGLG00100003156', 'transcript20_ENSAPOG00000016134'), ('transcript20_ENSHGLG00100006079', 'transcript20_ENSAPOG00000016134'), ('transcript0_ENSHGLG00100006079', 'transcript0_ENSMUNG00000002391'), ('transcript0_ENSHGLG00100006079', 'transcript0_ENSPNYG00000024266'), ('transcript0_ENSHGLG00100006079', 'transcript0_ENSXMAG00000026005'), ('transcript0_ENSMUNG00000002391', 'transcript0_ENSPNYG00000024266'), ('transcript0_ENSMUNG00000002391', 'transcript0_ENSXMAG00000026005'), ('transcript0_ENSPNYG00000024266', 'transcript0_ENSXMAG00000026005')];[('transcript21_ENSHGLG00100006079', 'transcript21_ENSMUNG00000002391'), ('transcript21_ENSHGLG00100006079', 'transcript22_ENSHGLG00100006079'), ('transcript21_ENSHGLG00100006079', 'transcript22_ENSAPOG00000023408'), ('transcript21_ENSHGLG00100006079', 'transcript20_ENSHGLG00100006079'), ('transcript21_ENSHGLG00100006079', 'transcript13_ENSHGLG00100006079'), ('transcript21_ENSMUNG00000002391', 'transcript22_ENSHGLG00100006079'), ('transcript21_ENSMUNG00000002391', 'transcript22_ENSAPOG00000023408'), ('transcript21_ENSMUNG00000002391', 'transcript10_ENSHGLG00100003156'), ('transcript21_ENSMUNG00000002391', 'transcript17_ENSHGLG00100003156'), ('transcript21_ENSMUNG00000002391', 'transcript17_ENSHGLG00000019563'), ('transcript21_ENSMUNG00000002391', 'transcript20_ENSHGLG00100003156'), ('transcript21_ENSMUNG00000002391', 'transcript20_ENSHGLG00100006079'), ('transcript21_ENSMUNG00000002391', 'transcript13_ENSHGLG00000019563'), ('transcript21_ENSMUNG00000002391', 'transcript13_ENSHGLG00100006079'), ('transcript22_ENSHGLG00100006079', 'transcript22_ENSAPOG00000023408'), ('transcript22_ENSHGLG00100006079', 'transcript20_ENSHGLG00100006079'), ('transcript22_ENSHGLG00100006079', 'transcript13_ENSHGLG00100006079'), ('transcript22_ENSAPOG00000023408', 'transcript10_ENSHGLG00100003156'), ('transcript22_ENSAPOG00000023408', 'transcript17_ENSHGLG00100003156'), ('transcript22_ENSAPOG00000023408', 'transcript17_ENSHGLG00000019563'), ('transcript22_ENSAPOG00000023408', 'transcript20_ENSHGLG00100003156'), ('transcript22_ENSAPOG00000023408', 'transcript20_ENSHGLG00100006079'), ('transcript22_ENSAPOG00000023408', 'transcript13_ENSHGLG00000019563'), ('transcript22_ENSAPOG00000023408', 'transcript13_ENSHGLG00100006079'), ('transcript10_ENSHGLG00100003156', 'transcript17_ENSHGLG00100003156'), ('transcript10_ENSHGLG00100003156', 'transcript17_ENSHGLG00000019563'), ('transcript10_ENSHGLG00100003156', 'transcript20_ENSHGLG00100003156'), ('transcript10_ENSHGLG00100003156', 'transcript13_ENSHGLG00000019563'), ('transcript17_ENSHGLG00100003156', 'transcript17_ENSHGLG00000019563'), ('transcript17_ENSHGLG00100003156', 'transcript20_ENSHGLG00100003156'), ('transcript17_ENSHGLG00100003156', 'transcript13_ENSHGLG00000019563'), ('transcript17_ENSHGLG00000019563', 'transcript20_ENSHGLG00100003156'), ('transcript17_ENSHGLG00000019563', 'transcript13_ENSHGLG00000019563'), ('transcript20_ENSHGLG00100003156', 'transcript13_ENSHGLG00000019563'), ('transcript20_ENSHGLG00100006079', 'transcript13_ENSHGLG00100006079'), ('transcript10_ENSAPOG00000016134', 'transcript0_ENSHGLG00100006079'), ('transcript10_ENSAPOG00000016134', 'transcript0_ENSMUNG00000002391'), ('transcript10_ENSAPOG00000016134', 'transcript0_ENSPNYG00000024266'), ('transcript10_ENSAPOG00000016134', 'transcript0_ENSXMAG00000026005'), ('transcript0_ENSHGLG00100006079', 'transcript0_ENSMUNG00000002391'), ('transcript0_ENSHGLG00100006079', 'transcript0_ENSPNYG00000024266'), ('transcript0_ENSHGLG00100006079', 'transcript0_ENSXMAG00000026005'), ('transcript0_ENSMUNG00000002391', 'transcript0_ENSPNYG00000024266'), ('transcript0_ENSMUNG00000002391', 'transcript0_ENSXMAG00000026005'), ('transcript0_ENSPNYG00000024266', 'transcript0_ENSXMAG00000026005'), ('transcript22_ENSMUNG00000002391', 'transcript12_ENSAPOG00000016134'), ('transcript22_ENSMUNG00000002391', 'transcript12_ENSAPOG00000023408')];[('transcript12_ENSAPOG00000016134', 'transcript12_ENSAPOG00000023408'), ('transcript20_ENSHGLG00100003156', 'transcript20_ENSHGLG00100006079'), ('transcript13_ENSHGLG00000019563', 'transcript13_ENSHGLG00100006079')];[('transcript21_ENSHGLG00100006079', 'transcript10_ENSHGLG00100003156'), ('transcript21_ENSHGLG00100006079', 'transcript17_ENSHGLG00100003156'), ('transcript21_ENSHGLG00100006079', 'transcript17_ENSHGLG00000019563'), ('transcript21_ENSHGLG00100006079', 'transcript20_ENSHGLG00100003156'), ('transcript21_ENSHGLG00100006079', 'transcript13_ENSHGLG00000019563'), ('transcript22_ENSHGLG00100006079', 'transcript10_ENSHGLG00100003156'), ('transcript22_ENSHGLG00100006079', 'transcript17_ENSHGLG00100003156'), ('transcript22_ENSHGLG00100006079', 'transcript17_ENSHGLG00000019563'), ('transcript22_ENSHGLG00100006079', 'transcript20_ENSHGLG00100003156'), ('transcript22_ENSHGLG00100006079', 'transcript13_ENSHGLG00000019563'), ('transcript10_ENSHGLG00100003156', 'transcript20_ENSHGLG00100006079'), ('transcript10_ENSHGLG00100003156', 'transcript13_ENSHGLG00100006079'), ('transcript17_ENSHGLG00100003156', 'transcript20_ENSHGLG00100006079'), ('transcript17_ENSHGLG00100003156', 'transcript13_ENSHGLG00100006079'), ('transcript17_ENSHGLG00000019563', 'transcript20_ENSHGLG00100006079'), ('transcript17_ENSHGLG00000019563', 'transcript13_ENSHGLG00100006079'), ('transcript20_ENSHGLG00100003156', 'transcript20_ENSHGLG00100006079'), ('transcript20_ENSHGLG00100003156', 'transcript13_ENSHGLG00100006079'), ('transcript20_ENSHGLG00100006079', 'transcript13_ENSHGLG00000019563'), ('transcript13_ENSHGLG00000019563', 'transcript13_ENSHGLG00100006079'), ('transcript12_ENSAPOG00000016134', 'transcript12_ENSAPOG00000023408')];25;25;3;3;0.943;1.477;0.774;2.888
6;[('transcript10_ENSMUNG00000002391', 'transcript10_ENSXMAG00000026005'), ('transcript8_ENSHGLG00100006079', 'transcript8_ENSXMAG00000026005'), ('transcript7_ENSPCIG00000036398', 'transcript7_ENSMUNG00000007775'), ('transcript7_ENSPCIG00000036398', 'transcript7_ENSXMAG00000026005'), ('transcript7_ENSMUNG00000007775', 'transcript7_ENSXMAG00000026005'), ('transcript2_ENSHGLG00100006079', 'transcript2_ENSXMAG00000026005')];[('transcript10_ENSMUNG00000002391', 'transcript10_ENSXMAG00000026005'), ('transcript10_ENSMUNG00000002391', 'transcript8_ENSXMAG00000026005'), ('transcript10_ENSMUNG00000002391', 'transcript2_ENSHGLG00100006079'), ('transcript10_ENSMUNG00000002391', 'transcript2_ENSXMAG00000026005'), ('transcript10_ENSXMAG00000026005', 'transcript8_ENSXMAG00000026005'), ('transcript10_ENSXMAG00000026005', 'transcript16_ENSMUNG00000007775'), ('transcript10_ENSXMAG00000026005', 'transcript16_ENSMUNG00000002377'), ('transcript10_ENSXMAG00000026005', 'transcript7_ENSMUNG00000007775'), ('transcript10_ENSXMAG00000026005', 'transcript2_ENSHGLG00100006079'), ('transcript10_ENSXMAG00000026005', 'transcript2_ENSXMAG00000026005'), ('transcript8_ENSXMAG00000026005', 'transcript16_ENSMUNG00000007775'), ('transcript8_ENSXMAG00000026005', 'transcript16_ENSMUNG00000002377'), ('transcript8_ENSXMAG00000026005', 'transcript7_ENSMUNG00000007775'), ('transcript8_ENSXMAG00000026005', 'transcript2_ENSHGLG00100006079'), ('transcript8_ENSXMAG00000026005', 'transcript2_ENSXMAG00000026005'), ('transcript16_ENSMUNG00000007775', 'transcript7_ENSMUNG00000007775'), ('transcript16_ENSMUNG00000007775', 'transcript2_ENSHGLG00100006079'), ('transcript16_ENSMUNG00000007775', 'transcript2_ENSXMAG00000026005'), ('transcript16_ENSMUNG00000002377', 'transcript2_ENSHGLG00100006079'), ('transcript16_ENSMUNG00000002377', 'transcript2_ENSXMAG00000026005'), ('transcript7_ENSMUNG00000007775', 'transcript2_ENSHGLG00100006079'), ('transcript7_ENSMUNG00000007775', 'transcript2_ENSXMAG00000026005'), ('transcript2_ENSHGLG00100006079', 'transcript2_ENSXMAG00000026005')];[('transcript16_ENSMUNG00000007775', 'transcript16_ENSMUNG00000002377')];[('transcript10_ENSMUNG00000002391', 'transcript16_ENSMUNG00000007775'), ('transcript10_ENSMUNG00000002391', 'transcript16_ENSMUNG00000002377'), ('transcript10_ENSMUNG00000002391', 'transcript7_ENSMUNG00000007775'), ('transcript16_ENSMUNG00000007775', 'transcript16_ENSMUNG00000002377'), ('transcript16_ENSMUNG00000002377', 'transcript7_ENSMUNG00000007775')];12;12;3;3;1.071;0.715;1.026;0.895
7;[('transcript10_ENSHGLG00100003156', 'transcript10_ENSHGLG00000019563'), ('transcript10_ENSHGLG00100003156', 'transcript10_ENSMUNG00000002391'), ('transcript10_ENSHGLG00000019563', 'transcript10_ENSMUNG00000002391'), ('transcript10_ENSHGLG00100006079', 'transcript10_ENSMUNG00000002391'), ('transcript8_ENSHGLG00100003156', 'transcript8_ENSHGLG00000019563'), ('transcript8_ENSHGLG00100003156', 'transcript8_ENSPCIG00000036398'), ('transcript8_ENSHGLG00100003156', 'transcript8_ENSMUNG00000002377'), ('transcript8_ENSHGLG00000019563', 'transcript8_ENSPCIG00000036398'), ('transcript8_ENSHGLG00000019563', 'transcript8_ENSMUNG00000002377'), ('transcript8_ENSPCIG00000036398', 'transcript8_ENSMUNG00000002377'), ('transcript15_ENSPCIG00000036398', 'transcript15_ENSMUNG00000002377'), ('transcript3_ENSPCIG00000036398', 'transcript3_ENSMUNG00000007775'), ('transcript3_ENSPCIG00000036398', 'transcript3_ENSMUNG00000002391'), ('transcript7_ENSPCIG00000036398', 'transcript7_ENSHGLG00100006079')];[('transcript10_ENSHGLG00100003156', 'transcript10_ENSHGLG00000019563'), ('transcript10_ENSHGLG00100003156', 'transcript10_ENSMUNG00000002391'), ('transcript10_ENSHGLG00100003156', 'transcript8_ENSHGLG00100003156'), ('transcript10_ENSHGLG00100003156', 'transcript8_ENSHGLG00000019563'), ('transcript10_ENSHGLG00100003156', 'transcript8_ENSPCIG00000036398'), ('transcript10_ENSHGLG00100003156', 'transcript8_ENSMUNG00000002377'), ('transcript10_ENSHGLG00100003156', 'transcript15_ENSPCIG00000036398'), ('transcript10_ENSHGLG00100003156', 'transcript15_ENSMUNG00000002377'), ('transcript10_ENSHGLG00100003156', 'transcript3_ENSPCIG00000036398'), ('transcript10_ENSHGLG00100003156', 'transcript3_ENSMUNG00000007775'), ('transcript10_ENSHGLG00100003156', 'transcript3_ENSMUNG00000002391'), ('transcript10_ENSHGLG00100003156', 'transcript7_ENSPCIG00000036398'), ('transcript10_ENSHGLG00000019563', 'transcript10_ENSMUNG00000002391'), ('transcript10_ENSHGLG00000019563', 'transcript8_ENSHGLG00100003156'), ('transcript10_ENSHGLG00000019563', 'transcript8_ENSHGLG00000019563'), ('transcript10_ENSHGLG00000019563', 'transcript8_ENSPCIG00000036398'), ('transcript10_ENSHGLG00000019563', 'transcript8_ENSMUNG00000002377'), ('transcript10_ENSHGLG00000019563', 'transcript15_ENSPCIG00000036398'), ('transcript10_ENSHGLG00000019563', 'transcript15_ENSMUNG00000002377'), ('transcript10_ENSHGLG00000019563', 'transcript3_ENSPCIG00000036398'), ('transcript10_ENSHGLG00000019563', 'transcript3_ENSMUNG00000007775'), ('transcript10_ENSHGLG00000019563', 'transcript3_ENSMUNG00000002391'), ('transcript10_ENSHGLG00000019563', 'transcript7_ENSPCIG00000036398'), ('transcript10_ENSHGLG00100006079', 'transcript10_ENSMUNG00000002391'), ('transcript10_ENSHGLG00100006079', 'transcript8_ENSPCIG00000036398'), ('transcript10_ENSHGLG00100006079', 'transcript8_ENSMUNG00000002377'), ('transcript10_ENSHGLG00100006079', 'transcript15_ENSPCIG00000036398'), ('transcript10_ENSHGLG00100006079', 'transcript15_ENSMUNG00000002377'), ('transcript10_ENSHGLG00100006079', 'transcript3_ENSPCIG00000036398'), ('transcript10_ENSHGLG00100006079', 'transcript3_ENSMUNG00000007775'), ('transcript10_ENSHGLG00100006079', 'transcript3_ENSMUNG00000002391'), ('transcript10_ENSHGLG00100006079', 'transcript7_ENSPCIG00000036398'), ('transcript10_ENSHGLG00100006079', 'transcript7_ENSHGLG00100006079'), ('transcript10_ENSMUNG00000002391', 'transcript8_ENSHGLG00100003156'), ('transcript10_ENSMUNG00000002391', 'transcript8_ENSHGLG00000019563'), ('transcript10_ENSMUNG00000002391', 'transcript8_ENSPCIG00000036398'), ('transcript10_ENSMUNG00000002391', 'transcript15_ENSPCIG00000036398'), ('transcript10_ENSMUNG00000002391', 'transcript3_ENSPCIG00000036398'), ('transcript10_ENSMUNG00000002391', 'transcript3_ENSMUNG00000002391'), ('transcript10_ENSMUNG00000002391', 'transcript7_ENSPCIG00000036398'), ('transcript10_ENSMUNG00000002391', 'transcript7_ENSHGLG00100006079'), ('transcript8_ENSHGLG00100003156', 'transcript8_ENSHGLG00000019563'), ('transcript8_ENSHGLG00100003156', 'transcript8_ENSPCIG00000036398'), ('transcript8_ENSHGLG00100003156', 'transcript8_ENSMUNG00000002377'), ('transcript8_ENSHGLG00100003156', 'transcript15_ENSPCIG00000036398'), ('transcript8_ENSHGLG00100003156', 'transcript15_ENSMUNG00000002377'), ('transcript8_ENSHGLG00100003156', 'transcript3_ENSPCIG00000036398'), ('transcript8_ENSHGLG00100003156', 'transcript3_ENSMUNG00000007775'), ('transcript8_ENSHGLG00100003156', 'transcript3_ENSMUNG00000002391'), ('transcript8_ENSHGLG00100003156', 'transcript7_ENSPCIG00000036398'), ('transcript8_ENSHGLG00000019563', 'transcript8_ENSPCIG00000036398'), ('transcript8_ENSHGLG00000019563', 'transcript8_ENSMUNG00000002377'), ('transcript8_ENSHGLG00000019563', 'transcript15_ENSPCIG00000036398'), ('transcript8_ENSHGLG00000019563', 'transcript15_ENSMUNG00000002377'), ('transcript8_ENSHGLG00000019563', 'transcript3_ENSPCIG00000036398'), ('transcript8_ENSHGLG00000019563', 'transcript3_ENSMUNG00000007775'), ('transcript8_ENSHGLG00000019563', 'transcript3_ENSMUNG00000002391'), ('transcript8_ENSHGLG00000019563', 'transcript7_ENSPCIG00000036398'), ('transcript8_ENSPCIG00000036398', 'transcript8_ENSMUNG00000002377'), ('transcript8_ENSPCIG00000036398', 'transcript15_ENSPCIG00000036398'), ('transcript8_ENSPCIG00000036398', 'transcript15_ENSMUNG00000002377'), ('transcript8_ENSPCIG00000036398', 'transcript3_ENSPCIG00000036398'), ('transcript8_ENSPCIG00000036398', 'transcript3_ENSMUNG00000007775'), ('transcript8_ENSPCIG00000036398', 'transcript3_ENSMUNG00000002391'), ('transcript8_ENSPCIG00000036398', 'transcript7_ENSPCIG00000036398'), ('transcript8_ENSPCIG00000036398', 'transcript7_ENSHGLG00100006079'), ('transcript8_ENSMUNG00000002377', 'transcript15_ENSPCIG00000036398'), ('transcript8_ENSMUNG00000002377', 'transcript15_ENSMUNG00000002377'), ('transcript8_ENSMUNG00000002377', 'transcript3_ENSPCIG00000036398'), ('transcript8_ENSMUNG00000002377', 'transcript7_ENSPCIG00000036398'), ('transcript8_ENSMUNG00000002377', 'transcript7_ENSHGLG00100006079'), ('transcript15_ENSPCIG00000036398', 'transcript15_ENSMUNG00000002377'), ('transcript15_ENSPCIG00000036398', 'transcript3_ENSPCIG00000036398'), ('transcript15_ENSPCIG00000036398', 'transcript3_ENSMUNG00000007775'), ('transcript15_ENSPCIG00000036398', 'transcript3_ENSMUNG00000002391'), ('transcript15_ENSPCIG00000036398', 'transcript7_ENSPCIG00000036398'), ('transcript15_ENSPCIG00000036398', 'transcript7_ENSHGLG00100006079'), ('transcript15_ENSMUNG00000002377', 'transcript3_ENSPCIG00000036398'), ('transcript15_ENSMUNG00000002377', 'transcript7_ENSPCIG00000036398'), ('transcript15_ENSMUNG00000002377', 'transcript7_ENSHGLG00100006079'), ('transcript3_ENSPCIG00000036398', 'transcript3_ENSMUNG00000007775'), ('transcript3_ENSPCIG00000036398', 'transcript3_ENSMUNG00000002391'), ('transcript3_ENSPCIG00000036398', 'transcript7_ENSPCIG00000036398'), ('transcript3_ENSPCIG00000036398', 'transcript7_ENSHGLG00100006079'), ('transcript3_ENSMUNG00000007775', 'transcript7_ENSPCIG00000036398'), ('transcript3_ENSMUNG00000007775', 'transcript7_ENSHGLG00100006079'), ('transcript3_ENSMUNG00000002391', 'transcript7_ENSPCIG00000036398'), ('transcript3_ENSMUNG00000002391', 'transcript7_ENSHGLG00100006079'), ('transcript7_ENSPCIG00000036398', 'transcript7_ENSHGLG00100006079')];[('transcript10_ENSHGLG00100003156', 'transcript10_ENSHGLG00100006079'), ('transcript10_ENSHGLG00000019563', 'transcript10_ENSHGLG00100006079'), ('transcript3_ENSMUNG00000007775', 'transcript3_ENSMUNG00000002391')];[('transcript10_ENSHGLG00100003156', 'transcript10_ENSHGLG00100006079'), ('transcript10_ENSHGLG00100003156', 'transcript7_ENSHGLG00100006079'), ('transcript10_ENSHGLG00000019563', 'transcript10_ENSHGLG00100006079'), ('transcript10_ENSHGLG00000019563', 'transcript7_ENSHGLG00100006079'), ('transcript10_ENSHGLG00100006079', 'transcript8_ENSHGLG00100003156'), ('transcript10_ENSHGLG00100006079', 'transcript8_ENSHGLG00000019563'), ('transcript10_ENSMUNG00000002391', 'transcript8_ENSMUNG00000002377'), ('transcript10_ENSMUNG00000002391', 'transcript15_ENSMUNG00000002377'), ('transcript10_ENSMUNG00000002391', 'transcript3_ENSMUNG00000007775'), ('transcript8_ENSHGLG00100003156', 'transcript7_ENSHGLG00100006079'), ('transcript8_ENSHGLG00000019563', 'transcript7_ENSHGLG00100006079'), ('transcript8_ENSMUNG00000002377', 'transcript3_ENSMUNG00000007775'), ('transcript8_ENSMUNG00000002377', 'transcript3_ENSMUNG00000002391'), ('transcript15_ENSMUNG00000002377', 'transcript3_ENSMUNG00000007775'), ('transcript15_ENSMUNG00000002377', 'transcript3_ENSMUNG00000002391'), ('transcript3_ENSMUNG00000007775', 'transcript3_ENSMUNG00000002391')];16;16;5;5;1.081;0.739;1.113;0.639
8;[('transcript37_ENSAPOG00000016134', 'transcript37_ENSAOCG00000015695'), ('transcript8_ENSAPOG00000023408', 'transcript8_ENSAOCG00000015695'), ('transcript38_ENSAPOG00000016134', 'transcript38_ENSAOCG00000015695'), ('transcript36_ENSAPOG00000016134', 'transcript36_ENSAOCG00000015695')];[('transcript37_ENSAOCG00000015695', 'transcript36_ENSAPOG00000016134')];[('transcript27_ENSAPOG00000016134', 'transcript27_ENSAPOG00000023408'), ('transcript32_ENSAPOG00000016134', 'transcript32_ENSAPOG00000023408'), ('transcript7_ENSAPOG00000016134', 'transcript7_ENSAPOG00000023408')];[('transcript27_ENSAPOG00000016134', 'transcript27_ENSAPOG00000023408'), ('transcript32_ENSAPOG00000016134', 'transcript32_ENSAPOG00000023408')];2;2;1;1;0.856;1.288;0.499;2.003
9;[];[('transcript9_ENSMUNG00000007775', 'transcript33_ENSMUNG00000007775'), ('transcript23_ENSMUNG00000002391', 'transcript30_ENSMUNG00000002391'), ('transcript23_ENSMUNG00000002391', 'transcript33_ENSMUNG00000002391'), ('transcript30_ENSMUNG00000002391', 'transcript33_ENSMUNG00000002391')];[('transcript9_ENSMUNG00000002377', 'transcript9_ENSMUNG00000007775'), ('transcript23_ENSMUNG00000007775', 'transcript23_ENSMUNG00000002377'), ('transcript23_ENSMUNG00000007775', 'transcript23_ENSMUNG00000002391'), ('transcript23_ENSMUNG00000002377', 'transcript23_ENSMUNG00000002391'), ('transcript30_ENSMUNG00000002391', 'transcript30_ENSMUNG00000007775'), ('transcript33_ENSMUNG00000002391', 'transcript33_ENSMUNG00000007775')];[('transcript23_ENSMUNG00000007775', 'transcript23_ENSMUNG00000002377'), ('transcript23_ENSMUNG00000007775', 'transcript23_ENSMUNG00000002391'), ('transcript23_ENSMUNG00000007775', 'transcript30_ENSMUNG00000002391'), ('transcript23_ENSMUNG00000007775', 'transcript33_ENSMUNG00000002391'), ('transcript23_ENSMUNG00000002377', 'transcript23_ENSMUNG00000002391'), ('transcript23_ENSMUNG00000002377', 'transcript30_ENSMUNG00000002391'), ('transcript23_ENSMUNG00000002377', 'transcript33_ENSMUNG00000002391')];0;0;3;3;0.0;1.0;0.0;0.636
10;[('transcript5_ENSXMAG00000026005', 'transcript5_ENSHGLG00100006079'), ('transcript5_ENSXMAG00000026005', 'transcript5_ENSHGLG00100003156'), ('transcript5_ENSXMAG00000026005', 'transcript5_ENSPCIG00000036398'), ('transcript5_ENSHGLG00100006079', 'transcript5_ENSPCIG00000036398'), ('transcript5_ENSHGLG00100003156', 'transcript5_ENSPCIG00000036398')];[('transcript5_ENSXMAG00000026005', 'transcript5_ENSHGLG00100006079'), ('transcript5_ENSXMAG00000026005', 'transcript5_ENSHGLG00100003156'), ('transcript5_ENSXMAG00000026005', 'transcript5_ENSPCIG00000036398'), ('transcript5_ENSHGLG00100006079', 'transcript5_ENSPCIG00000036398'), ('transcript5_ENSHGLG00100003156', 'transcript5_ENSPCIG00000036398')];[('transcript5_ENSHGLG00100006079', 'transcript5_ENSHGLG00100003156')];[('transcript5_ENSHGLG00100006079', 'transcript5_ENSHGLG00100003156')];5;5;1;1;1.0;1.0;1.0;1.0
