;transcript42_ENSMUGG00000013649;transcript37_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript31_ENSCGRG00001010245;transcript49_ENSCGRG00001010245;transcript51_ENSCGRG00001010245;transcript50_ENSCGRG00001010245;transcript42_ENSPEMG00000024651;transcript43_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript7_ENSPEMG00000024651
transcript42_ENSMUGG00000013649;1.0;0.933;0.933;0.991;0.927;0.983;0.931;0.988;0.991;0.991;0.981
transcript37_ENSCGRG00000018457;0.933;1.0;1.0;0.941;0.995;0.932;0.881;0.938;0.941;0.941;0.951
transcript37_ENSCGRG00001010245;0.933;1.0;1.0;0.941;0.995;0.932;0.881;0.938;0.941;0.941;0.951
transcript31_ENSCGRG00001010245;0.991;0.941;0.941;1.0;0.936;0.991;0.94;0.997;1.0;1.0;0.989
transcript49_ENSCGRG00001010245;0.927;0.995;0.995;0.936;1.0;0.927;0.876;0.933;0.936;0.936;0.945
transcript51_ENSCGRG00001010245;0.983;0.932;0.932;0.991;0.927;1.0;0.931;0.988;0.991;0.991;0.981
transcript50_ENSCGRG00001010245;0.931;0.881;0.881;0.94;0.876;0.931;1.0;0.937;0.94;0.94;0.929
transcript42_ENSPEMG00000024651;0.988;0.938;0.938;0.997;0.933;0.988;0.937;1.0;0.997;0.997;0.986
transcript43_ENSPEMG00000024651;0.991;0.941;0.941;1.0;0.936;0.991;0.94;0.997;1.0;1.0;0.989
transcript31_ENSPEMG00000024651;0.991;0.941;0.941;1.0;0.936;0.991;0.94;0.997;1.0;1.0;0.989
transcript7_ENSPEMG00000024651;0.981;0.951;0.951;0.989;0.945;0.981;0.929;0.986;0.989;0.989;1.0
