;ENSCAFT00000020196_90_90;ENSCAFT00000020210_90_90;ENST00000340296_90_90;ENST00000397119_90_90;ENST00000409197_90_90;ENST00000409317_90_90;ENST00000409453_90_90;ENST00000409773_90_90;ENST00000410079_90_90;ENST00000411953_90_90;ENST00000412370_90_90;ENST00000422646_90_90;ENST00000423910_90_90;ENST00000425485_90_90;ENST00000430778_90_90;ENST00000435234_90_90;ENST00000438879_90_90;ENST00000443458_90_90;ENST00000445378_90_90;ENST00000452242_90_90;ENST00000456808_90_90;ENST00000508530_90_90;ENSMUST00000081710_90_90;ENSMUST00000100028_90_90;ENSMUST00000112136_90_90;ENSMUST00000112138_90_90;ENSMUST00000112139_90_90;ENSMUST00000112140_90_90;ENSMUST00000112142_90_90;ENSMUST00000112144_90_90
ENSCAFT00000020196_90_90;1.0;0.903;0.903;0.943;0.903;0.934;0.941;0.943;0.903;0.153;0.131;0.232;0.188;0.235;0.116;0.422;0.252;0.162;0.133;0.336;0.21;0.901;0.903;0.934;0.942;0.903;0.901;0.944;0.934;0.944
ENSCAFT00000020210_90_90;0.903;1.0;1.0;0.96;1.0;0.968;0.958;0.96;0.999;0.179;0.195;0.26;0.254;0.303;0.171;0.498;0.279;0.178;0.198;0.365;0.277;0.998;1.0;0.968;0.958;1.0;0.998;0.959;0.968;0.959
ENST00000340296_90_90;0.903;1.0;1.0;0.959;1.0;0.968;0.958;0.959;0.971;0.174;0.189;0.26;0.247;0.303;0.171;0.498;0.271;0.178;0.198;0.365;0.269;0.998;1.0;0.968;0.958;1.0;0.998;0.959;0.968;0.959
ENST00000397119_90_90;0.943;0.96;0.959;1.0;0.959;0.991;0.998;1.0;0.933;0.203;0.182;0.289;0.237;0.291;0.172;0.478;0.299;0.219;0.19;0.393;0.259;0.958;0.96;0.991;0.998;0.96;0.958;0.999;0.991;0.999
ENST00000409197_90_90;0.903;1.0;1.0;0.959;1.0;0.968;0.958;0.959;0.971;0.174;0.189;0.26;0.247;0.303;0.171;0.498;0.271;0.178;0.198;0.365;0.269;0.998;1.0;0.968;0.958;1.0;0.998;0.959;0.968;0.959
ENST00000409317_90_90;0.934;0.968;0.968;0.991;0.968;1.0;0.989;0.991;0.942;0.205;0.184;0.292;0.239;0.294;0.174;0.483;0.302;0.21;0.191;0.397;0.261;0.967;0.968;1.0;0.989;0.968;0.967;0.991;1.0;0.991
ENST00000409453_90_90;0.941;0.958;0.958;0.998;0.958;0.989;1.0;0.998;0.931;0.204;0.182;0.289;0.237;0.291;0.173;0.479;0.3;0.219;0.19;0.394;0.259;0.959;0.958;0.99;0.999;0.958;0.96;0.998;0.99;0.998
ENST00000409773_90_90;0.943;0.96;0.959;1.0;0.959;0.991;0.998;1.0;0.933;0.203;0.182;0.289;0.237;0.291;0.172;0.478;0.299;0.219;0.19;0.393;0.259;0.958;0.96;0.991;0.998;0.96;0.958;0.999;0.991;0.999
ENST00000410079_90_90;0.903;0.999;0.971;0.933;0.971;0.942;0.931;0.933;1.0;0.202;0.218;0.253;0.275;0.295;0.167;0.484;0.299;0.173;0.192;0.355;0.298;0.97;0.999;0.968;0.958;0.999;0.998;0.96;0.968;0.96
ENST00000411953_90_90;0.153;0.179;0.174;0.203;0.174;0.205;0.204;0.203;0.202;1.0;0.835;0.659;0.679;0.507;0.727;0.33;0.706;0.846;0.438;0.496;0.632;0.175;0.179;0.211;0.21;0.179;0.18;0.21;0.211;0.21
ENST00000412370_90_90;0.131;0.195;0.189;0.182;0.189;0.184;0.182;0.182;0.218;0.835;1.0;0.59;0.792;0.586;0.746;0.369;0.641;0.696;0.526;0.444;0.732;0.19;0.195;0.189;0.188;0.195;0.195;0.188;0.189;0.188
ENST00000422646_90_90;0.232;0.26;0.26;0.289;0.26;0.292;0.289;0.289;0.253;0.659;0.59;1.0;0.768;0.799;0.597;0.506;0.86;0.702;0.656;0.735;0.791;0.26;0.26;0.292;0.289;0.26;0.26;0.289;0.292;0.289
ENST00000423910_90_90;0.188;0.254;0.247;0.237;0.247;0.239;0.237;0.237;0.275;0.679;0.792;0.768;1.0;0.763;0.595;0.481;0.809;0.57;0.698;0.578;0.924;0.247;0.254;0.246;0.244;0.254;0.254;0.244;0.246;0.244
ENST00000425485_90_90;0.235;0.303;0.303;0.291;0.303;0.294;0.291;0.291;0.295;0.507;0.586;0.799;0.763;1.0;0.556;0.609;0.788;0.537;0.652;0.741;0.833;0.304;0.303;0.294;0.291;0.303;0.304;0.291;0.294;0.291
ENST00000430778_90_90;0.116;0.171;0.171;0.172;0.171;0.174;0.173;0.172;0.167;0.727;0.746;0.597;0.595;0.556;1.0;0.342;0.513;0.788;0.484;0.439;0.55;0.172;0.171;0.174;0.173;0.171;0.172;0.172;0.174;0.172
ENST00000435234_90_90;0.422;0.498;0.498;0.478;0.498;0.483;0.479;0.478;0.484;0.33;0.369;0.506;0.481;0.609;0.342;1.0;0.514;0.343;0.397;0.71;0.525;0.499;0.498;0.483;0.479;0.498;0.499;0.478;0.483;0.478
ENST00000438879_90_90;0.252;0.279;0.271;0.299;0.271;0.302;0.3;0.299;0.299;0.706;0.641;0.86;0.809;0.788;0.513;0.514;1.0;0.607;0.565;0.731;0.876;0.272;0.279;0.31;0.309;0.279;0.279;0.308;0.31;0.308
ENST00000443458_90_90;0.162;0.178;0.178;0.219;0.178;0.21;0.219;0.219;0.173;0.846;0.696;0.702;0.57;0.537;0.788;0.343;0.607;1.0;0.47;0.521;0.532;0.178;0.178;0.21;0.219;0.178;0.179;0.218;0.21;0.218
ENST00000445378_90_90;0.133;0.198;0.198;0.19;0.198;0.191;0.19;0.19;0.192;0.438;0.526;0.656;0.698;0.652;0.484;0.397;0.565;0.47;1.0;0.483;0.645;0.198;0.198;0.191;0.19;0.198;0.198;0.19;0.191;0.19
ENST00000452242_90_90;0.336;0.365;0.365;0.393;0.365;0.397;0.394;0.393;0.355;0.496;0.444;0.735;0.578;0.741;0.439;0.71;0.731;0.521;0.483;1.0;0.632;0.366;0.365;0.397;0.394;0.365;0.366;0.393;0.397;0.393
ENST00000456808_90_90;0.21;0.277;0.269;0.259;0.269;0.261;0.259;0.259;0.298;0.632;0.732;0.791;0.924;0.833;0.55;0.525;0.876;0.532;0.645;0.632;1.0;0.27;0.277;0.268;0.267;0.277;0.278;0.266;0.268;0.266
ENST00000508530_90_90;0.901;0.998;0.998;0.958;0.998;0.967;0.959;0.958;0.97;0.175;0.19;0.26;0.247;0.304;0.172;0.499;0.272;0.178;0.198;0.366;0.27;1.0;0.998;0.967;0.959;0.998;1.0;0.958;0.967;0.958
ENSMUST00000081710_90_90;0.903;1.0;1.0;0.96;1.0;0.968;0.958;0.96;0.999;0.179;0.195;0.26;0.254;0.303;0.171;0.498;0.279;0.178;0.198;0.365;0.277;0.998;1.0;0.968;0.958;1.0;0.998;0.959;0.968;0.959
ENSMUST00000100028_90_90;0.934;0.968;0.968;0.991;0.968;1.0;0.99;0.991;0.968;0.211;0.189;0.292;0.246;0.294;0.174;0.483;0.31;0.21;0.191;0.397;0.268;0.967;0.968;1.0;0.989;0.968;0.967;0.991;1.0;0.991
