;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.334;0.329;0.356;0.356;0.362;0.249;0.276;0.278;0.266;0.266;0.233;0.248;0.242
transcript49_ENSMSIG00000000513;0.334;1.0;0.998;0.845;0.84;0.848;0.838;0.895;0.899;0.803;0.806;0.784;0.81;0.797
transcript49_MGP-SPRETEiJ-G0021131;0.329;0.998;1.0;0.801;0.795;0.803;0.803;0.884;0.889;0.757;0.759;0.711;0.734;0.734
transcript60_ENSMSIG00000000513;0.356;0.845;0.801;1.0;1.0;0.989;0.792;0.756;0.759;0.822;0.825;0.781;0.805;0.799
transcript61_ENSMSIG00000000513;0.356;0.84;0.795;1.0;1.0;0.989;0.786;0.749;0.752;0.818;0.82;0.775;0.8;0.794
transcript62_ENSMSIG00000000513;0.362;0.848;0.803;0.989;0.989;1.0;0.778;0.756;0.759;0.809;0.812;0.767;0.791;0.786
transcript40_MGP-SPRETEiJ-G0021131;0.249;0.838;0.803;0.792;0.786;0.778;1.0;0.903;0.905;0.919;0.922;0.889;0.916;0.919
transcript65_MGP-SPRETEiJ-G0021131;0.276;0.895;0.884;0.756;0.749;0.756;0.903;1.0;0.995;0.825;0.828;0.802;0.83;0.828
transcript66_MGP-SPRETEiJ-G0021131;0.278;0.899;0.889;0.759;0.752;0.759;0.905;0.995;1.0;0.827;0.829;0.804;0.829;0.83
transcript7_ENSMUSG00000054036;0.266;0.803;0.757;0.822;0.818;0.809;0.919;0.825;0.827;1.0;0.997;0.869;0.893;0.909
transcript46_ENSMUSG00000054036;0.266;0.806;0.759;0.825;0.82;0.812;0.922;0.828;0.829;0.997;1.0;0.872;0.895;0.912
transcript38_MGP-CAROLIEiJ-G0020234;0.233;0.784;0.711;0.781;0.775;0.767;0.889;0.802;0.804;0.869;0.872;1.0;0.972;0.955
transcript38_MGP-PahariEiJ-G0020237;0.248;0.81;0.734;0.805;0.8;0.791;0.916;0.83;0.829;0.893;0.895;0.972;1.0;0.928
transcript47_MGP-CAROLIEiJ-G0020234;0.242;0.797;0.734;0.799;0.794;0.786;0.919;0.828;0.83;0.909;0.912;0.955;0.928;1.0
