;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript48_ENSMUGG00000013649;transcript8_ENSRNOG00000031503;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript25_ENSPEMG00000024651;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSMUGG00000013592;transcript47_ENSMUGG00000013649;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.816;0.816;0.558;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;1.0;1.0;0.579;0.567;0.255;0.255;0.248;0.6;0.562;0.541;0.523;0.413;0.248;0.255;0.255;0.265;1.0;0.257;0.248
transcript55_ENSMUSG00000054036;1.0;0.579;1.0;0.888;0.667;0.667;0.655;0.675;0.844;0.717;0.865;0.796;0.655;0.667;0.667;0.677;0.554;0.664;0.655
transcript42_ENSRNOG00000031503;1.0;0.567;0.888;1.0;0.711;0.711;0.71;0.794;0.984;0.818;0.984;0.908;0.71;0.711;0.762;0.77;0.487;0.77;0.71
transcript54_ENSMUGG00000013592;1.0;0.255;0.667;0.711;1.0;0.836;0.83;0.543;0.997;0.591;0.746;0.698;0.877;0.883;0.815;0.8;0.116;0.813;0.853
transcript53_ENSMUGG00000013592;1.0;0.255;0.667;0.711;0.836;1.0;0.899;0.543;0.997;0.591;0.746;0.698;0.945;0.952;0.883;0.868;0.106;0.883;0.922
transcript48_ENSMUGG00000013649;1.0;0.248;0.655;0.71;0.83;0.899;1.0;0.518;1.0;0.583;0.749;0.703;0.931;0.949;0.878;0.863;0.101;0.883;0.972
transcript8_ENSRNOG00000031503;1.0;0.6;0.675;0.794;0.543;0.543;0.518;1.0;0.984;0.984;0.778;0.698;0.518;0.543;0.591;0.599;0.534;0.573;0.518
transcript8_ENSMSIG00000000513;1.0;0.562;0.844;0.984;0.997;0.997;1.0;0.984;1.0;1.0;1.0;0.919;1.0;0.997;0.997;0.997;0.492;1.0;1.0
transcript8_ENSMUSG00000054036;0.816;0.541;0.717;0.818;0.591;0.591;0.583;0.984;1.0;1.0;0.848;0.776;0.583;0.591;0.591;0.601;0.475;0.593;0.583
transcript42_ENSMUSG00000054036;0.816;0.523;0.865;0.984;0.746;0.746;0.749;0.778;1.0;0.848;1.0;0.937;0.749;0.746;0.746;0.756;0.446;0.758;0.749
transcript54_ENSMUSG00000054036;0.558;0.413;0.796;0.908;0.698;0.698;0.703;0.698;0.919;0.776;0.937;1.0;0.703;0.698;0.698;0.706;0.347;0.712;0.703
transcript25_ENSPEMG00000024651;1.0;0.248;0.655;0.71;0.877;0.945;0.931;0.518;1.0;0.583;0.749;0.703;1.0;0.992;0.924;0.909;0.086;0.911;0.958
transcript28_ENSMUGG00000013592;1.0;0.255;0.667;0.711;0.883;0.952;0.949;0.543;0.997;0.591;0.746;0.698;0.992;1.0;0.931;0.917;0.101;0.932;0.97
transcript52_ENSMUGG00000013592;1.0;0.255;0.667;0.762;0.815;0.883;0.878;0.591;0.997;0.591;0.746;0.698;0.924;0.931;1.0;0.984;0.109;0.981;0.901
transcript7_ENSMUGG00000013592;1.0;0.265;0.677;0.77;0.8;0.868;0.863;0.599;0.997;0.601;0.756;0.706;0.909;0.917;0.984;1.0;0.11;0.994;0.887
transcript47_ENSMUGG00000013649;1.0;1.0;0.554;0.487;0.116;0.106;0.101;0.534;0.492;0.475;0.446;0.347;0.086;0.101;0.109;0.11;1.0;0.101;0.097
transcript7_ENSMUGG00000013649;1.0;0.257;0.664;0.77;0.813;0.883;0.883;0.573;1.0;0.593;0.758;0.712;0.911;0.932;0.981;0.994;0.101;1.0;0.911
transcript44_ENSMUGG00000013649;1.0;0.248;0.655;0.71;0.853;0.922;0.972;0.518;1.0;0.583;0.749;0.703;0.958;0.97;0.901;0.887;0.097;0.911;1.0
