;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.884;0.936;0.3;0.105;0.11;0.061;0.229;0.108;0.131;0.29;0.028;0.217;0.162;0.154;0.832;0.76;0.943;0.901;0.832;0.76;0.943;0.879;0.829;0.05;0.074;0.345;0.211;0.694;0.274;0.182;0.116;0.039
ENST00000323180_90_90;0.884;1.0;0.904;0.334;0.105;0.113;0.061;0.246;0.122;0.135;0.324;0.028;0.201;0.148;0.154;0.762;0.826;0.871;0.831;0.762;0.826;0.871;0.952;0.898;0.05;0.074;0.35;0.218;0.629;0.318;0.169;0.115;0.038
ENST00000418153_90_90;0.936;0.904;1.0;0.332;0.105;0.11;0.061;0.244;0.12;0.131;0.321;0.028;0.217;0.148;0.154;0.831;0.76;0.942;0.9;0.831;0.76;0.942;0.86;0.809;0.05;0.074;0.345;0.198;0.71;0.274;0.169;0.116;0.039
ENST00000524497_90_90;0.3;0.334;0.332;1.0;0.266;0.0;0.146;0.712;0.38;0.0;0.978;0.075;0.0;0.366;0.419;0.294;0.306;0.31;0.324;0.294;0.306;0.31;0.317;0.32;0.122;0.178;0.676;0.081;0.166;0.0;0.522;0.288;0.098
ENST00000525438_90_90;0.105;0.105;0.105;0.266;1.0;0.0;0.525;0.382;0.057;0.0;0.274;0.294;0.0;0.47;0.625;0.115;0.119;0.103;0.107;0.115;0.119;0.103;0.105;0.111;0.444;0.643;0.209;0.0;0.0;0.0;0.471;0.939;0.362
ENST00000525676_90_90;0.11;0.113;0.11;0.0;0.0;1.0;0.0;0.0;0.0;0.339;0.0;0.0;0.474;0.0;0.0;0.122;0.129;0.108;0.112;0.122;0.129;0.108;0.112;0.118;0.0;0.0;0.0;0.0;0.142;0.102;0.0;0.0;0.0
ENST00000527782_90_90;0.061;0.061;0.061;0.146;0.525;0.0;1.0;0.212;0.0;0.0;0.151;0.597;0.0;0.262;0.339;0.068;0.069;0.06;0.063;0.068;0.069;0.06;0.061;0.065;0.856;0.812;0.106;0.0;0.0;0.0;0.258;0.488;0.712
ENST00000529734_90_90;0.229;0.246;0.244;0.712;0.382;0.0;0.212;1.0;0.528;0.0;0.727;0.107;0.0;0.498;0.595;0.254;0.264;0.226;0.235;0.254;0.264;0.226;0.231;0.245;0.176;0.258;0.534;0.0;0.116;0.0;0.625;0.414;0.14
ENST00000529782_90_90;0.108;0.122;0.12;0.38;0.057;0.0;0.0;0.528;1.0;0.0;0.386;0.0;0.0;0.245;0.306;0.119;0.126;0.106;0.111;0.119;0.126;0.106;0.109;0.116;0.0;0.0;0.288;0.0;0.088;0.0;0.373;0.095;0.0
ENST00000530587_90_90;0.131;0.135;0.131;0.0;0.0;0.339;0.0;0.0;0.0;1.0;0.0;0.0;0.354;0.0;0.0;0.145;0.154;0.129;0.135;0.145;0.154;0.129;0.134;0.141;0.0;0.0;0.0;0.0;0.168;0.28;0.0;0.0;0.0
