;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237;transcript47_MGP-CAROLIEiJ-G0020234
transcript8_ENSMSIG00000000513;1.0;0.22;0.221;0.245;0.244;0.248;0.178;0.197;0.202;0.207;0.206;0.177;0.189;0.183
transcript49_ENSMSIG00000000513;0.22;1.0;1.0;0.916;0.921;0.904;0.916;0.82;0.844;0.835;0.844;0.836;0.85;0.835
transcript49_MGP-SPRETEiJ-G0021131;0.221;1.0;1.0;0.943;0.949;0.93;0.761;0.702;0.732;0.697;0.704;0.718;0.726;0.724
transcript60_ENSMSIG00000000513;0.245;0.916;0.943;1.0;0.982;0.965;0.869;0.774;0.796;0.864;0.873;0.875;0.891;0.891
transcript61_ENSMSIG00000000513;0.244;0.921;0.949;0.982;1.0;0.982;0.873;0.777;0.799;0.849;0.857;0.871;0.888;0.869
transcript62_ENSMSIG00000000513;0.248;0.904;0.93;0.965;0.982;1.0;0.855;0.759;0.815;0.829;0.838;0.859;0.872;0.857
transcript40_MGP-SPRETEiJ-G0021131;0.178;0.916;0.761;0.869;0.873;0.855;1.0;0.896;0.879;0.956;0.963;0.945;0.958;0.954
transcript65_MGP-SPRETEiJ-G0021131;0.197;0.82;0.702;0.774;0.777;0.759;0.896;1.0;0.799;0.847;0.855;0.845;0.857;0.851
transcript66_MGP-SPRETEiJ-G0021131;0.202;0.844;0.732;0.796;0.799;0.815;0.879;0.799;1.0;0.829;0.835;0.83;0.841;0.837
transcript7_ENSMUSG00000054036;0.207;0.835;0.697;0.864;0.849;0.829;0.956;0.847;0.829;1.0;0.994;0.928;0.943;0.949
transcript46_ENSMUSG00000054036;0.206;0.844;0.704;0.873;0.857;0.838;0.963;0.855;0.835;0.994;1.0;0.936;0.949;0.957
transcript38_MGP-CAROLIEiJ-G0020234;0.177;0.836;0.718;0.875;0.871;0.859;0.945;0.845;0.83;0.928;0.936;1.0;0.986;0.966
transcript38_MGP-PahariEiJ-G0020237;0.189;0.85;0.726;0.891;0.888;0.872;0.958;0.857;0.841;0.943;0.949;0.986;1.0;0.953
transcript47_MGP-CAROLIEiJ-G0020234;0.183;0.835;0.724;0.891;0.869;0.857;0.954;0.851;0.837;0.949;0.957;0.966;0.953;1.0
