;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.756;0.24;0.257;0.24;0.0;0.242;0.259;0.262;0.0;0.01;0.044;0.0
ENSCAFT00000043849_90_90;0.756;1.0;0.218;0.235;0.218;0.0;0.22;0.237;0.24;0.0;0.0;0.0;0.0
ENST00000242480_90_90;0.24;0.218;1.0;0.895;1.0;0.293;0.866;0.767;0.751;0.076;0.32;0.403;0.081
ENST00000411732_90_90;0.257;0.235;0.895;1.0;0.895;0.188;0.767;0.851;0.834;0.007;0.274;0.361;0.09
ENST00000439032_90_90;0.24;0.218;1.0;0.895;1.0;0.293;0.866;0.767;0.751;0.076;0.32;0.403;0.081
ENST00000637191_90_90;0.0;0.0;0.293;0.188;0.293;1.0;0.216;0.116;0.1;0.261;0.307;0.266;0.241
ENSMUST00000048289_90_90;0.242;0.22;0.866;0.767;0.866;0.216;1.0;0.894;0.877;0.077;0.405;0.494;0.153
ENSMUST00000105438_90_90;0.259;0.237;0.767;0.851;0.767;0.116;0.894;1.0;0.981;0.007;0.36;0.453;0.171
ENSMUST00000127820_90_90;0.262;0.24;0.751;0.834;0.751;0.1;0.877;0.981;1.0;0.0;0.343;0.436;0.152
ENSMUST00000130933_90_90;0.0;0.0;0.076;0.007;0.076;0.261;0.077;0.007;0.0;1.0;0.139;0.117;0.032
ENSMUST00000145754_90_90;0.01;0.0;0.32;0.274;0.32;0.307;0.405;0.36;0.343;0.139;1.0;0.84;0.304
ENSMUST00000145936_90_90;0.044;0.0;0.403;0.361;0.403;0.266;0.494;0.453;0.436;0.117;0.84;1.0;0.256
ENSMUST00000146986_90_90;0.0;0.0;0.081;0.09;0.081;0.241;0.153;0.171;0.152;0.032;0.304;0.256;1.0
