;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.765;0.94;0.404;0.902;0.999;0.026;0.358;0.237;0.06;0.012;0.063;0.06;1.0;0.914
ENSCAFT00000025875_90_90;0.765;1.0;0.815;0.362;0.858;0.769;0.0;0.303;0.281;0.0;0.015;0.0;0.0;0.778;0.858
ENST00000315266_90_90;0.94;0.815;1.0;0.397;0.957;0.941;0.028;0.346;0.246;0.065;0.013;0.068;0.065;0.956;0.956
ENST00000459628_90_90;0.404;0.362;0.397;1.0;0.439;0.397;0.054;0.536;0.0;0.125;0.0;0.125;0.125;0.395;0.455
ENST00000478722_90_90;0.902;0.858;0.957;0.439;1.0;0.903;0.027;0.332;0.236;0.062;0.013;0.065;0.062;0.916;0.999
ENST00000543237_90_90;0.999;0.769;0.941;0.397;0.903;1.0;0.027;0.358;0.232;0.061;0.012;0.064;0.061;0.999;0.917
ENST00000553936_90_90;0.026;0.0;0.028;0.054;0.027;0.027;1.0;0.0;0.0;0.32;0.0;0.315;0.32;0.027;0.027
ENST00000555456_90_90;0.358;0.303;0.346;0.536;0.332;0.358;0.0;1.0;0.0;0.0;0.0;0.007;0.0;0.364;0.331
ENST00000555503_90_90;0.237;0.281;0.246;0.0;0.236;0.232;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.241;0.241
ENST00000555668_90_90;0.06;0.0;0.065;0.125;0.062;0.061;0.32;0.0;0.0;1.0;0.0;0.929;1.0;0.061;0.061
ENST00000556240_90_90;0.012;0.015;0.013;0.0;0.013;0.012;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.013;0.013
ENST00000556633_90_90;0.063;0.0;0.068;0.125;0.065;0.064;0.315;0.007;0.0;0.929;0.0;1.0;0.929;0.064;0.064
ENST00000557654_90_90;0.06;0.0;0.065;0.125;0.062;0.061;0.32;0.0;0.0;1.0;0.0;0.929;1.0;0.061;0.061
ENSMUST00000052472_90_90;1.0;0.778;0.956;0.395;0.916;0.999;0.027;0.364;0.241;0.061;0.013;0.064;0.061;1.0;0.914
ENSMUST00000110388_90_90;0.914;0.858;0.956;0.455;0.999;0.917;0.027;0.331;0.241;0.061;0.013;0.064;0.061;0.914;1.0
