;ENSCAFT00000003036_90_90;ENST00000297620_90_90;ENST00000379078_90_90;ENST00000379080_90_90;ENST00000379081_90_90;ENST00000379084_90_90;ENST00000379087_90_90;ENST00000379089_90_90;ENST00000422409_90_90;ENST00000445726_90_90;ENSMUST00000108049_90_90;ENSMUST00000108050_90_90;ENSMUST00000108052_90_90
ENSCAFT00000003036_90_90;1.0;0.846;0.593;0.821;0.742;0.681;0.769;0.887;0.848;0.964;0.926;0.881;1.0
ENST00000297620_90_90;0.846;1.0;0.368;0.74;0.881;0.742;0.91;0.805;0.767;0.883;0.841;0.796;0.914
ENST00000379078_90_90;0.593;0.368;1.0;0.443;0.323;0.395;0.393;0.502;0.52;0.469;0.465;0.485;0.538
ENST00000379080_90_90;0.821;0.74;0.443;1.0;0.823;0.585;0.798;0.928;0.81;0.858;0.856;0.895;0.794
ENST00000379081_90_90;0.742;0.881;0.323;0.823;1.0;0.702;0.873;0.767;0.728;0.778;0.858;0.809;0.796
ENST00000379084_90_90;0.681;0.742;0.395;0.585;0.702;1.0;0.729;0.647;0.74;0.662;0.614;0.57;0.685
ENST00000379087_90_90;0.769;0.91;0.393;0.798;0.873;0.729;1.0;0.87;0.755;0.805;0.751;0.78;0.826
ENST00000379089_90_90;0.887;0.805;0.502;0.928;0.767;0.647;0.87;1.0;0.879;0.923;0.794;0.827;0.868
ENST00000422409_90_90;0.848;0.767;0.52;0.81;0.728;0.74;0.755;0.879;1.0;0.885;0.751;0.706;0.826
ENST00000445726_90_90;0.964;0.883;0.469;0.858;0.778;0.662;0.805;0.923;0.885;1.0;0.883;0.839;0.958
ENSMUST00000108049_90_90;0.926;0.841;0.465;0.856;0.858;0.614;0.751;0.794;0.751;0.883;1.0;0.952;0.926
ENSMUST00000108050_90_90;0.881;0.796;0.485;0.895;0.809;0.57;0.78;0.827;0.706;0.839;0.952;1.0;0.881
ENSMUST00000108052_90_90;1.0;0.914;0.538;0.794;0.796;0.685;0.826;0.868;0.826;0.958;0.926;0.881;1.0
