;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.513;0.364;0.513;0.563;0.513;0.561;0.396;0.558;0.03;0.521;0.514;0.0;0.254;0.0;0.513;0.0;0.168
ENST00000367378_90_90;0.513;1.0;0.761;0.959;0.538;1.0;0.525;0.206;0.543;0.346;0.906;0.676;0.0;0.199;0.336;0.631;0.134;0.588
ENST00000367380_90_90;0.364;0.761;1.0;0.726;0.312;0.761;0.304;0.274;0.313;0.21;0.667;0.413;0.0;0.0;0.559;0.378;0.223;0.45
ENST00000367384_90_90;0.513;0.959;0.726;1.0;0.537;0.959;0.524;0.206;0.542;0.346;0.867;0.631;0.0;0.198;0.336;0.677;0.133;0.544
ENST00000460828_90_90;0.563;0.538;0.312;0.537;1.0;0.538;0.83;0.324;0.844;0.178;0.586;0.324;0.0;0.406;0.0;0.323;0.0;0.234
ENST00000464889_90_90;0.513;1.0;0.761;0.959;0.538;1.0;0.525;0.206;0.543;0.346;0.906;0.676;0.0;0.199;0.336;0.631;0.134;0.588
ENST00000484601_90_90;0.561;0.525;0.304;0.524;0.83;0.525;1.0;0.314;0.816;0.173;0.572;0.352;0.0;0.452;0.0;0.352;0.0;0.264
ENST00000486585_90_90;0.396;0.206;0.274;0.206;0.324;0.206;0.314;1.0;0.318;0.0;0.224;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000494411_90_90;0.558;0.543;0.313;0.542;0.844;0.543;0.816;0.318;1.0;0.18;0.591;0.261;0.0;0.305;0.0;0.261;0.0;0.173
ENST00000495487_90_90;0.03;0.346;0.21;0.346;0.178;0.346;0.173;0.0;0.18;1.0;0.252;0.388;0.0;0.218;0.417;0.387;0.296;0.431
ENST00000544496_90_90;0.521;0.906;0.667;0.867;0.586;0.906;0.572;0.224;0.591;0.252;1.0;0.579;0.0;0.219;0.219;0.535;0.051;0.49
ENSMUST00000159917_90_90;0.514;0.676;0.413;0.631;0.324;0.676;0.352;0.0;0.261;0.388;0.579;1.0;0.054;0.459;0.361;0.96;0.162;0.897
ENSMUST00000159977_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.054;1.0;0.15;0.113;0.054;0.292;0.059
ENSMUST00000161123_90_90;0.254;0.199;0.0;0.198;0.406;0.199;0.452;0.0;0.305;0.218;0.219;0.459;0.15;1.0;0.104;0.459;0.093;0.488
ENSMUST00000161428_90_90;0.0;0.336;0.559;0.336;0.0;0.336;0.0;0.0;0.0;0.417;0.219;0.361;0.113;0.104;1.0;0.36;0.353;0.394
ENSMUST00000162606_90_90;0.513;0.631;0.378;0.677;0.323;0.631;0.352;0.0;0.261;0.387;0.535;0.96;0.054;0.459;0.36;1.0;0.162;0.86
ENSMUST00000162682_90_90;0.0;0.134;0.223;0.133;0.0;0.134;0.0;0.0;0.0;0.296;0.051;0.162;0.292;0.093;0.353;0.162;1.0;0.176
ENSMUST00000163085_90_90;0.168;0.588;0.45;0.544;0.234;0.588;0.264;0.0;0.173;0.431;0.49;0.897;0.059;0.488;0.394;0.86;0.176;1.0
