;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENSCAFT00000006204_90_90;1.0;0.752;0.949;0.978;0.159;0.949;0.947;0.67;0.082;0.67;0.341;0.128;0.06;0.166;0.06;0.204;0.701;0.22;0.06;0.053;0.129;1.0;0.797;0.132;0.767;0.966;0.828;0.969;0.969
ENST00000361556_90_90;0.752;1.0;0.742;0.722;0.0;0.716;0.744;0.835;0.062;0.835;0.166;0.0;0.132;0.167;0.036;0.259;0.805;0.282;0.132;0.065;0.159;0.738;0.956;0.0;0.994;0.762;0.87;0.759;0.732
ENST00000371714_90_90;0.949;0.742;1.0;0.97;0.133;0.964;0.938;0.691;0.051;0.691;0.374;0.15;0.058;0.137;0.029;0.211;0.67;0.227;0.058;0.052;0.133;0.97;0.734;0.155;0.755;0.938;0.85;1.0;0.964
ENST00000428468_90_90;0.978;0.722;0.97;1.0;0.129;0.936;0.968;0.67;0.08;0.67;0.362;0.145;0.057;0.166;0.058;0.204;0.701;0.22;0.057;0.051;0.129;1.0;0.763;0.149;0.734;0.968;0.826;0.97;0.936
ENST00000435274_90_90;0.159;0.0;0.133;0.129;1.0;0.129;0.099;0.0;0.0;0.0;0.278;0.366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.137;0.0;0.491;0.0;0.105;0.0;0.141;0.136
ENST00000447887_90_90;0.949;0.716;0.964;0.936;0.129;1.0;0.905;0.665;0.049;0.665;0.361;0.145;0.056;0.132;0.028;0.203;0.647;0.219;0.056;0.051;0.128;0.936;0.709;0.149;0.728;0.905;0.82;0.964;1.0
ENST00000453295_90_90;0.947;0.744;0.938;0.968;0.099;0.905;1.0;0.693;0.083;0.693;0.33;0.114;0.058;0.172;0.06;0.211;0.723;0.228;0.058;0.053;0.133;0.968;0.786;0.118;0.758;1.0;0.853;0.938;0.905
ENST00000462759_90_90;0.67;0.835;0.691;0.67;0.0;0.665;0.693;1.0;0.076;1.0;0.09;0.0;0.0;0.203;0.043;0.318;0.955;0.348;0.0;0.08;0.187;0.67;0.826;0.0;0.857;0.693;0.794;0.691;0.665
ENST00000481937_90_90;0.082;0.062;0.051;0.08;0.0;0.049;0.083;0.076;1.0;0.076;0.114;0.0;0.0;0.401;0.54;0.0;0.119;0.174;0.0;0.339;0.0;0.082;0.106;0.0;0.068;0.085;0.062;0.053;0.051
ENST00000486942_90_90;0.67;0.835;0.691;0.67;0.0;0.665;0.693;1.0;0.076;1.0;0.09;0.0;0.0;0.203;0.043;0.318;0.955;0.348;0.0;0.08;0.187;0.67;0.826;0.0;0.857;0.693;0.794;0.691;0.665
ENST00000489990_90_90;0.341;0.166;0.374;0.362;0.278;0.361;0.33;0.09;0.114;0.09;1.0;0.317;0.169;0.101;0.071;0.058;0.087;0.159;0.169;0.119;0.0;0.362;0.165;0.334;0.17;0.33;0.262;0.374;0.361
ENST00000495776_90_90;0.128;0.0;0.15;0.145;0.366;0.145;0.114;0.0;0.0;0.0;0.317;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.149;0.0;0.957;0.0;0.117;0.054;0.154;0.148
ENST00000526917_90_90;0.06;0.132;0.058;0.057;0.0;0.056;0.058;0.0;0.0;0.0;0.169;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.059;0.102;0.0;0.106;0.061;0.069;0.061;0.059
ENST00000527631_90_90;0.166;0.167;0.137;0.166;0.0;0.132;0.172;0.203;0.401;0.203;0.101;0.0;0.0;1.0;0.303;0.242;0.247;0.573;0.0;0.235;0.0;0.166;0.211;0.0;0.173;0.172;0.159;0.137;0.132
ENST00000528603_90_90;0.06;0.036;0.029;0.058;0.0;0.028;0.06;0.043;0.54;0.043;0.071;0.0;0.0;0.303;1.0;0.0;0.086;0.11;0.0;0.215;0.0;0.06;0.076;0.0;0.039;0.062;0.036;0.03;0.029
ENST00000531061_90_90;0.204;0.259;0.211;0.204;0.0;0.203;0.211;0.318;0.0;0.318;0.058;0.0;0.0;0.242;0.0;1.0;0.301;0.543;0.0;0.0;0.0;0.204;0.257;0.0;0.269;0.211;0.246;0.211;0.203
ENST00000531828_90_90;0.701;0.805;0.67;0.701;0.0;0.647;0.723;0.955;0.119;0.955;0.087;0.0;0.0;0.247;0.086;0.301;1.0;0.329;0.0;0.076;0.179;0.701;0.863;0.0;0.826;0.723;0.767;0.67;0.647
ENST00000532975_90_90;0.22;0.282;0.227;0.22;0.0;0.219;0.228;0.348;0.174;0.348;0.159;0.0;0.0;0.573;0.11;0.543;0.329;1.0;0.0;0.184;0.0;0.22;0.28;0.0;0.293;0.228;0.268;0.227;0.219
ENST00000533884_90_90;0.06;0.132;0.058;0.057;0.0;0.056;0.058;0.0;0.0;0.0;0.169;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.059;0.102;0.0;0.106;0.061;0.069;0.061;0.059
ENST00000534040_90_90;0.053;0.065;0.052;0.051;0.0;0.051;0.053;0.08;0.339;0.08;0.119;0.0;0.0;0.235;0.215;0.0;0.076;0.184;0.0;1.0;0.0;0.053;0.068;0.0;0.072;0.054;0.065;0.054;0.052
ENST00000625138_90_90;0.129;0.159;0.133;0.129;0.0;0.128;0.133;0.187;0.0;0.187;0.0;0.0;0.0;0.0;0.0;0.0;0.179;0.0;0.0;0.0;1.0;0.129;0.157;0.0;0.162;0.133;0.151;0.133;0.128
ENSMUST00000030288_90_90;1.0;0.738;0.97;1.0;0.137;0.936;0.968;0.67;0.082;0.67;0.362;0.149;0.059;0.166;0.06;0.204;0.701;0.22;0.059;0.053;0.129;1.0;0.75;0.149;0.722;0.968;0.809;0.97;0.936
