;transcript49_ENSCGRG00015005362;transcript44_ENSCGRG00000018457;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript50_ENSCGRG00015005362;transcript50_ENSCGRG00000018457;transcript8_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript45_ENSCGRG00001010245;transcript22_ENSCGRG00001010245;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSSTOG00000019743;transcript22_ENSNGAG00000018584
transcript49_ENSCGRG00015005362;1.0;1.0;0.894;0.894;0.557;0.557;0.61;0.616;0.616;0.616;0.419;0.546;0.616;0.54
transcript44_ENSCGRG00000018457;1.0;1.0;0.894;0.894;0.557;0.557;0.61;0.616;0.616;0.616;0.419;0.546;0.616;0.54
transcript57_ENSCGRG00000018457;0.894;0.894;1.0;1.0;0.59;0.59;0.555;0.551;0.551;0.551;0.449;0.579;0.551;0.487
transcript58_ENSCGRG00000018457;0.894;0.894;1.0;1.0;0.59;0.59;0.555;0.551;0.551;0.551;0.449;0.579;0.551;0.487
transcript50_ENSCGRG00015005362;0.557;0.557;0.59;0.59;1.0;1.0;0.941;0.935;0.935;0.935;0.853;0.989;0.935;0.782
transcript50_ENSCGRG00000018457;0.557;0.557;0.59;0.59;1.0;1.0;0.941;0.935;0.935;0.935;0.853;0.989;0.935;0.782
transcript8_ENSCGRG00000018457;0.61;0.61;0.555;0.555;0.941;0.941;1.0;0.993;0.993;0.993;0.803;0.931;0.993;0.828
transcript45_ENSCGRG00000018457;0.616;0.616;0.551;0.551;0.935;0.935;0.993;1.0;1.0;1.0;0.798;0.925;1.0;0.829
transcript45_ENSCGRG00001010245;0.616;0.616;0.551;0.551;0.935;0.935;0.993;1.0;1.0;1.0;0.798;0.925;1.0;0.829
transcript22_ENSCGRG00001010245;0.616;0.616;0.551;0.551;0.935;0.935;0.993;1.0;1.0;1.0;0.798;0.925;1.0;0.829
transcript59_ENSCGRG00000018457;0.419;0.419;0.449;0.449;0.853;0.853;0.803;0.798;0.798;0.798;1.0;0.863;0.798;0.69
transcript60_ENSCGRG00000018457;0.546;0.546;0.579;0.579;0.989;0.989;0.931;0.925;0.925;0.925;0.863;1.0;0.925;0.772
transcript22_ENSSTOG00000019743;0.616;0.616;0.551;0.551;0.935;0.935;0.993;1.0;1.0;1.0;0.798;0.925;1.0;0.829
transcript22_ENSNGAG00000018584;0.54;0.54;0.487;0.487;0.782;0.782;0.828;0.829;0.829;0.829;0.69;0.772;0.829;1.0
