;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.762;0.529;0.734;0.788;0.91;0.719;0.719;0.916;0.91;0.341;0.882;0.946;0.238;0.228;0.167;0.765;0.22;0.553;0.77;0.972;0.792;0.942;0.942;0.972
ENSCAFT00000048577_90_90;0.762;1.0;0.513;0.669;0.941;0.752;0.585;0.585;0.814;0.752;0.306;0.782;0.784;0.217;0.206;0.147;0.972;0.198;0.468;0.974;0.77;0.944;0.798;0.798;0.77
ENSCAFT00000049950_90_90;0.529;0.513;1.0;0.704;0.506;0.518;0.389;0.389;0.536;0.518;0.562;0.503;0.553;0.296;0.378;0.278;0.49;0.409;0.246;0.56;0.611;0.579;0.593;0.593;0.611
ENST00000314177_90_90;0.734;0.669;0.704;1.0;0.734;0.721;0.509;0.509;0.756;0.721;0.406;0.701;0.779;0.321;0.279;0.208;0.713;0.236;0.392;0.656;0.692;0.677;0.671;0.701;0.723
ENST00000338564_90_90;0.788;0.941;0.506;0.734;1.0;0.77;0.581;0.581;0.801;0.77;0.29;0.75;0.824;0.235;0.199;0.144;0.972;0.174;0.481;0.923;0.746;0.951;0.725;0.752;0.774
ENST00000340545_90_90;0.91;0.752;0.518;0.721;0.77;1.0;0.768;0.768;0.915;1.0;0.334;0.97;0.942;0.192;0.229;0.169;0.75;0.198;0.546;0.712;0.887;0.734;0.861;0.842;0.867
ENST00000397620_90_90;0.719;0.585;0.389;0.509;0.581;0.768;1.0;1.0;0.706;0.768;0.451;0.746;0.726;0.042;0.283;0.209;0.566;0.238;0.668;0.549;0.695;0.565;0.674;0.66;0.68
ENST00000397624_90_90;0.719;0.585;0.389;0.509;0.581;0.768;1.0;1.0;0.706;0.768;0.451;0.746;0.726;0.042;0.283;0.209;0.566;0.238;0.668;0.549;0.695;0.565;0.674;0.66;0.68
ENST00000424352_90_90;0.916;0.814;0.536;0.756;0.801;0.915;0.706;0.706;1.0;0.915;0.309;0.944;0.972;0.242;0.211;0.158;0.828;0.184;0.504;0.798;0.871;0.77;0.902;0.932;0.902
ENST00000557796_90_90;0.91;0.752;0.518;0.721;0.77;1.0;0.768;0.768;0.915;1.0;0.334;0.97;0.942;0.192;0.229;0.169;0.75;0.198;0.546;0.712;0.887;0.734;0.861;0.842;0.867
ENST00000558313_90_90;0.341;0.306;0.562;0.406;0.29;0.334;0.451;0.451;0.309;0.334;1.0;0.325;0.317;0.076;0.491;0.444;0.282;0.314;0.253;0.299;0.341;0.308;0.331;0.325;0.334
ENST00000559085_90_90;0.882;0.782;0.503;0.701;0.75;0.97;0.746;0.746;0.944;0.97;0.325;1.0;0.915;0.186;0.223;0.165;0.776;0.193;0.531;0.741;0.861;0.712;0.891;0.873;0.842
ENST00000559561_90_90;0.946;0.784;0.553;0.779;0.824;0.942;0.726;0.726;0.972;0.942;0.317;0.915;1.0;0.249;0.217;0.161;0.801;0.189;0.518;0.77;0.897;0.792;0.871;0.902;0.929
ENST00000560570_90_90;0.238;0.217;0.296;0.321;0.235;0.192;0.042;0.042;0.242;0.192;0.076;0.186;0.249;1.0;0.0;0.0;0.227;0.0;0.0;0.239;0.232;0.247;0.225;0.253;0.261
ENST00000560617_90_90;0.228;0.206;0.378;0.279;0.199;0.229;0.283;0.283;0.211;0.229;0.491;0.223;0.217;0.0;1.0;0.699;0.194;0.519;0.366;0.201;0.229;0.207;0.223;0.218;0.224
ENST00000560697_90_90;0.167;0.147;0.278;0.208;0.144;0.169;0.209;0.209;0.158;0.169;0.444;0.165;0.161;0.0;0.699;1.0;0.141;0.371;0.272;0.145;0.167;0.148;0.163;0.161;0.165
ENST00000561208_90_90;0.765;0.972;0.49;0.713;0.972;0.75;0.566;0.566;0.828;0.75;0.282;0.776;0.801;0.227;0.194;0.141;1.0;0.17;0.469;0.953;0.725;0.923;0.753;0.78;0.752
ENST00000606653_90_90;0.22;0.198;0.409;0.236;0.174;0.198;0.238;0.238;0.184;0.198;0.314;0.193;0.189;0.0;0.519;0.371;0.17;1.0;0.297;0.221;0.249;0.227;0.241;0.235;0.243
ENST00000607277_90_90;0.553;0.468;0.246;0.392;0.481;0.546;0.668;0.668;0.504;0.546;0.253;0.531;0.518;0.0;0.366;0.272;0.469;0.297;1.0;0.434;0.529;0.447;0.514;0.503;0.518
ENSMUST00000028639_90_90;0.77;0.974;0.56;0.656;0.923;0.712;0.549;0.549;0.798;0.712;0.299;0.741;0.77;0.239;0.201;0.145;0.953;0.221;0.434;1.0;0.757;0.971;0.784;0.826;0.798
ENSMUST00000074285_90_90;0.972;0.77;0.611;0.692;0.746;0.887;0.695;0.695;0.871;0.887;0.341;0.861;0.897;0.232;0.229;0.167;0.725;0.249;0.529;0.757;1.0;0.778;0.97;0.922;0.95
ENSMUST00000102538_90_90;0.792;0.944;0.579;0.677;0.951;0.734;0.565;0.565;0.77;0.734;0.308;0.712;0.792;0.247;0.207;0.148;0.923;0.227;0.447;0.971;0.778;1.0;0.757;0.798;0.822
ENSMUST00000110906_90_90;0.942;0.798;0.593;0.671;0.725;0.861;0.674;0.674;0.902;0.861;0.331;0.891;0.871;0.225;0.223;0.163;0.753;0.241;0.514;0.784;0.97;0.757;1.0;0.952;0.922
ENSMUST00000110907_90_90;0.942;0.798;0.593;0.701;0.752;0.842;0.66;0.66;0.932;0.842;0.325;0.873;0.902;0.253;0.218;0.161;0.78;0.235;0.503;0.826;0.922;0.798;0.952;1.0;0.97
ENSMUST00000110908_90_90;0.972;0.77;0.611;0.723;0.774;0.867;0.68;0.68;0.902;0.867;0.334;0.842;0.929;0.261;0.224;0.165;0.752;0.243;0.518;0.798;0.95;0.822;0.922;0.97;1.0
