;ENSCAFT00000025873_90_90;ENSCAFT00000025875_90_90;ENST00000315266_90_90;ENST00000459628_90_90;ENST00000478722_90_90;ENST00000543237_90_90;ENST00000553936_90_90;ENST00000555456_90_90;ENST00000555503_90_90;ENST00000555668_90_90;ENST00000556240_90_90;ENST00000556633_90_90;ENST00000557654_90_90;ENSMUST00000052472_90_90;ENSMUST00000110388_90_90
ENSCAFT00000025873_90_90;1.0;0.568;0.781;0.348;0.709;0.873;0.059;0.346;0.139;0.095;0.028;0.1;0.095;0.968;0.784
ENSCAFT00000025875_90_90;0.568;1.0;0.585;0.355;0.707;0.543;0.0;0.226;0.166;0.0;0.037;0.0;0.0;0.582;0.728
ENST00000315266_90_90;0.781;0.585;1.0;0.418;0.87;0.899;0.039;0.331;0.149;0.107;0.033;0.145;0.107;0.803;0.753
ENST00000459628_90_90;0.348;0.355;0.418;1.0;0.539;0.42;0.052;0.363;0.0;0.138;0.0;0.142;0.138;0.323;0.416
ENST00000478722_90_90;0.709;0.707;0.87;0.539;1.0;0.797;0.034;0.291;0.139;0.091;0.028;0.119;0.091;0.726;0.835
ENST00000543237_90_90;0.873;0.543;0.899;0.42;0.797;1.0;0.035;0.346;0.139;0.096;0.028;0.127;0.096;0.844;0.699
ENST00000553936_90_90;0.059;0.0;0.039;0.052;0.034;0.035;1.0;0.0;0.0;0.231;0.0;0.241;0.231;0.061;0.054
ENST00000555456_90_90;0.346;0.226;0.331;0.363;0.291;0.346;0.0;1.0;0.0;0.0;0.0;0.054;0.0;0.357;0.285
ENST00000555503_90_90;0.139;0.166;0.149;0.0;0.139;0.139;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.142;0.137
ENST00000555668_90_90;0.095;0.0;0.107;0.138;0.091;0.096;0.231;0.0;0.0;1.0;0.0;0.715;1.0;0.099;0.088
ENST00000556240_90_90;0.028;0.037;0.033;0.0;0.028;0.028;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.03;0.026
ENST00000556633_90_90;0.1;0.0;0.145;0.142;0.119;0.127;0.241;0.054;0.0;0.715;0.0;1.0;0.715;0.103;0.092
ENST00000557654_90_90;0.095;0.0;0.107;0.138;0.091;0.096;0.231;0.0;0.0;1.0;0.0;0.715;1.0;0.099;0.088
ENSMUST00000052472_90_90;0.968;0.582;0.803;0.323;0.726;0.844;0.061;0.357;0.142;0.099;0.03;0.103;0.099;1.0;0.803
ENSMUST00000110388_90_90;0.784;0.728;0.753;0.416;0.835;0.699;0.054;0.285;0.137;0.088;0.026;0.092;0.088;0.803;1.0
