;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.371;0.394;0.449;0.488;0.49;0.491;0.492;0.493;0.488;0.491;0.634;0.479;0.515;0.542;0.512;0.492;0.488;0.492;0.071;0.059;0.069;0.075;0.496;0.505;0.474;0.447;0.398;0.49;0.495;0.488
transcript7_ENSSTOG00000019743;0.371;1.0;0.958;0.399;0.449;0.475;0.45;0.475;0.46;0.461;0.45;0.308;0.389;0.458;0.408;0.468;0.343;0.46;0.475;0.078;0.08;0.076;0.075;0.466;0.481;0.517;0.508;0.615;0.279;0.277;0.461
transcript7_ENSCCNG00000000226;0.394;0.958;1.0;0.441;0.477;0.499;0.48;0.502;0.475;0.477;0.48;0.329;0.386;0.491;0.436;0.486;0.368;0.489;0.502;0.074;0.074;0.079;0.075;0.482;0.499;0.532;0.525;0.638;0.314;0.311;0.477
transcript7_ENSCPOG00000024843;0.449;0.399;0.441;1.0;0.435;0.459;0.434;0.459;0.43;0.434;0.434;0.472;0.418;0.447;0.474;0.475;0.49;0.416;0.459;0.092;0.075;0.084;0.091;0.426;0.426;0.483;0.416;0.336;0.608;0.581;0.434
transcript10_ENSMPUG00000020072;0.488;0.449;0.477;0.435;1.0;1.0;0.994;0.995;1.0;1.0;0.994;0.766;0.719;0.947;0.896;0.901;0.867;0.976;0.995;0.035;0.034;0.033;0.037;1.0;0.97;0.895;0.904;0.742;0.729;0.745;1.0
transcript10_ENSECAG00000007947;0.49;0.475;0.499;0.459;1.0;1.0;0.993;0.994;1.0;1.0;0.993;0.759;0.717;0.942;0.896;0.897;0.886;0.972;0.994;0.042;0.04;0.04;0.044;1.0;0.967;0.905;0.907;0.755;0.736;0.755;1.0
transcript17_ENSMPUG00000020072;0.491;0.45;0.48;0.434;0.994;0.993;1.0;0.998;0.998;0.994;1.0;0.77;0.721;0.953;0.902;0.908;0.861;0.982;0.998;0.035;0.034;0.033;0.037;0.998;0.967;0.892;0.897;0.735;0.73;0.746;0.994
transcript17_ENSECAG00000007947;0.492;0.475;0.502;0.459;0.995;0.994;0.998;1.0;1.0;0.994;0.998;0.762;0.717;0.946;0.9;0.904;0.879;0.977;1.0;0.042;0.04;0.04;0.044;1.0;0.967;0.905;0.9;0.748;0.737;0.756;0.994
transcript17_ENSSTOG00000019743;0.493;0.46;0.475;0.43;1.0;1.0;0.998;1.0;1.0;1.0;0.998;0.77;0.724;0.949;0.904;0.905;0.883;0.975;1.0;0.037;0.037;0.035;0.035;1.0;0.968;0.889;0.905;0.748;0.743;0.752;1.0
transcript17_ENSCPOG00000024843;0.488;0.461;0.477;0.434;1.0;1.0;0.994;0.994;1.0;1.0;0.994;0.767;0.711;0.947;0.898;0.901;0.885;0.976;0.994;0.039;0.037;0.038;0.041;1.0;0.971;0.891;0.901;0.746;0.719;0.745;1.0
