;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.509;0.509;0.234;0.93;0.977;0.163;0.509;0.234;0.509;0.509;0.822;0.535;0.581;0.349;0.711
ENSCAFT00000021179_90_90;0.509;1.0;1.0;0.39;0.491;0.5;0.043;1.0;0.39;1.0;1.0;0.473;0.327;0.34;0.239;0.49
ENST00000359842_90_90;0.509;1.0;1.0;0.39;0.491;0.5;0.043;1.0;0.39;1.0;1.0;0.473;0.327;0.34;0.239;0.49
ENST00000619224_90_90;0.234;0.39;0.39;1.0;0.213;0.229;0.0;0.39;1.0;0.39;0.39;0.217;0.29;0.312;0.143;0.214
ENST00000374680_90_90;0.93;0.491;0.491;0.213;1.0;0.953;0.195;0.491;0.213;0.491;0.491;0.761;0.548;0.523;0.357;0.727
ENST00000374685_90_90;0.977;0.5;0.5;0.229;0.953;1.0;0.186;0.5;0.229;0.5;0.5;0.804;0.523;0.568;0.341;0.696
ENST00000483281_90_90;0.163;0.043;0.043;0.0;0.195;0.186;1.0;0.043;0.0;0.043;0.043;0.143;0.0;0.0;0.0;0.075
ENSMUST00000015987_90_90;0.509;1.0;1.0;0.39;0.491;0.5;0.043;1.0;0.39;1.0;1.0;0.473;0.327;0.34;0.239;0.49
ENSMUST00000111380_90_90;0.234;0.39;0.39;1.0;0.213;0.229;0.0;0.39;1.0;0.39;0.39;0.217;0.29;0.312;0.143;0.214
ENSMUST00000111384_90_90;0.509;1.0;1.0;0.39;0.491;0.5;0.043;1.0;0.39;1.0;1.0;0.473;0.327;0.34;0.239;0.49
ENSMUST00000111386_90_90;0.509;1.0;1.0;0.39;0.491;0.5;0.043;1.0;0.39;1.0;1.0;0.473;0.327;0.34;0.239;0.49
ENSMUST00000044858_90_90;0.822;0.473;0.473;0.217;0.761;0.804;0.143;0.473;0.217;0.473;0.473;1.0;0.6;0.65;0.366;0.875
ENSMUST00000116612_90_90;0.535;0.327;0.327;0.29;0.548;0.523;0.0;0.327;0.29;0.327;0.327;0.6;1.0;0.923;0.6;0.686
ENSMUST00000173354_90_90;0.581;0.34;0.34;0.312;0.523;0.568;0.0;0.34;0.312;0.34;0.34;0.65;0.923;1.0;0.556;0.649
ENSMUST00000173554_90_90;0.349;0.239;0.239;0.143;0.357;0.341;0.0;0.239;0.143;0.239;0.239;0.366;0.6;0.556;1.0;0.417
ENSMUST00000174299_90_90;0.711;0.49;0.49;0.214;0.727;0.696;0.075;0.49;0.214;0.49;0.49;0.875;0.686;0.649;0.417;1.0
