;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;0.823;0.823;0.533;0.562;0.562;0.537;0.562;0.942;0.876;0.882;0.889;0.889;0.889;0.949;0.949
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;0.823;0.823;0.533;0.562;0.562;0.537;0.562;0.942;0.876;0.882;0.889;0.889;0.889;0.949;0.949
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;0.823;0.823;0.533;0.562;0.562;0.537;0.562;0.942;0.876;0.882;0.889;0.889;0.889;0.949;0.949
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;0.823;0.823;0.533;0.562;0.562;0.537;0.562;0.942;0.876;0.882;0.889;0.889;0.889;0.949;0.949
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;0.823;0.823;0.533;0.562;0.562;0.537;0.562;0.942;0.876;0.882;0.889;0.889;0.889;0.949;0.949
transcript11_ENSHGLG00000019563;0.031;0.031;0.031;0.031;0.031;1.0;0.031;0.75;1.0;0.023;0.037;0.037;0.05;0.055;0.055;0.051;0.055;0.029;0.031;0.032;0.032;0.032;0.032;0.029;0.029
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.031;1.0;0.023;0.031;0.992;0.823;0.823;0.533;0.562;0.562;0.537;0.562;0.942;0.876;0.882;0.889;0.889;0.889;0.949;0.949
transcript26_ENSHGLG00000019563;0.023;0.023;0.023;0.023;0.023;0.75;0.023;1.0;0.75;0.015;0.028;0.028;0.037;0.041;0.041;0.038;0.041;0.022;0.024;0.024;0.024;0.024;0.024;0.022;0.022
transcript27_ENSHGLG00000019563;0.031;0.031;0.031;0.031;0.031;1.0;0.031;0.75;1.0;0.023;0.037;0.037;0.05;0.055;0.055;0.051;0.055;0.029;0.031;0.032;0.032;0.032;0.032;0.029;0.029
transcript28_ENSHGLG00000019563;0.992;0.992;0.992;0.992;0.992;0.023;0.992;0.015;0.023;1.0;0.815;0.815;0.526;0.554;0.554;0.529;0.554;0.934;0.869;0.875;0.881;0.881;0.881;0.942;0.942
transcript7_ENSHGLG00100006079;0.823;0.823;0.823;0.823;0.823;0.037;0.823;0.028;0.037;0.815;1.0;1.0;0.508;0.538;0.538;0.512;0.538;0.774;0.733;0.739;0.744;0.744;0.744;0.781;0.781
transcript10_ENSHGLG00100006079;0.823;0.823;0.823;0.823;0.823;0.037;0.823;0.028;0.037;0.815;1.0;1.0;0.508;0.538;0.538;0.512;0.538;0.774;0.733;0.739;0.744;0.744;0.744;0.781;0.781
transcript3_ENSPCIG00000036398;0.533;0.533;0.533;0.533;0.533;0.05;0.533;0.037;0.05;0.526;0.508;0.508;1.0;0.912;0.912;0.988;0.912;0.577;0.533;0.526;0.519;0.519;0.519;0.584;0.584
transcript7_ENSPCIG00000036398;0.562;0.562;0.562;0.562;0.562;0.055;0.562;0.041;0.055;0.554;0.538;0.538;0.912;1.0;1.0;0.924;1.0;0.526;0.481;0.485;0.489;0.489;0.489;0.533;0.533
transcript8_ENSPCIG00000036398;0.562;0.562;0.562;0.562;0.562;0.055;0.562;0.041;0.055;0.554;0.538;0.538;0.912;1.0;1.0;0.924;1.0;0.526;0.481;0.485;0.489;0.489;0.489;0.533;0.533
transcript15_ENSPCIG00000036398;0.537;0.537;0.537;0.537;0.537;0.051;0.537;0.038;0.051;0.529;0.512;0.512;0.988;0.924;0.924;1.0;0.924;0.569;0.526;0.519;0.511;0.511;0.522;0.577;0.577
transcript18_ENSPCIG00000036398;0.562;0.562;0.562;0.562;0.562;0.055;0.562;0.041;0.055;0.554;0.538;0.538;0.912;1.0;1.0;0.924;1.0;0.526;0.481;0.485;0.489;0.489;0.489;0.533;0.533
transcript3_ENSMUNG00000007775;0.942;0.942;0.942;0.942;0.942;0.029;0.942;0.022;0.029;0.934;0.774;0.774;0.577;0.526;0.526;0.569;0.526;1.0;0.92;0.912;0.905;0.905;0.905;0.993;0.993
transcript8_ENSMUNG00000002377;0.876;0.876;0.876;0.876;0.876;0.031;0.876;0.024;0.031;0.869;0.733;0.733;0.533;0.481;0.481;0.526;0.481;0.92;1.0;0.992;0.984;0.984;0.984;0.927;0.927
transcript15_ENSMUNG00000002377;0.882;0.882;0.882;0.882;0.882;0.032;0.882;0.024;0.032;0.875;0.739;0.739;0.526;0.485;0.485;0.519;0.485;0.912;0.992;1.0;0.992;0.992;0.992;0.92;0.92
transcript16_ENSMUNG00000002377;0.889;0.889;0.889;0.889;0.889;0.032;0.889;0.024;0.032;0.881;0.744;0.744;0.519;0.489;0.489;0.511;0.489;0.905;0.984;0.992;1.0;0.984;0.984;0.912;0.912
transcript22_ENSMUNG00000002377;0.889;0.889;0.889;0.889;0.889;0.032;0.889;0.024;0.032;0.881;0.744;0.744;0.519;0.489;0.489;0.511;0.489;0.905;0.984;0.992;0.984;1.0;0.984;0.912;0.912
