;ENSCAFT00000047985_90_90;ENST00000320280_90_90;ENST00000510030_90_90;ENST00000511551_90_90;ENST00000614488_90_90;ENST00000618166_90_90;ENST00000621999_90_90;ENSMUST00000022197_90_90;ENSMUST00000138255_90_90;ENSMUST00000152555_90_90;ENSMUST00000153558_90_90
ENSCAFT00000047985_90_90;1.0;0.455;0.091;0.417;0.636;0.909;1.0;1.0;0.455;0.727;0.727
ENST00000320280_90_90;0.455;1.0;0.0;0.1;0.2;0.5;0.455;0.455;0.429;0.625;0.625
ENST00000510030_90_90;0.091;0.0;1.0;0.167;0.143;0.1;0.091;0.091;0.2;0.125;0.125
ENST00000511551_90_90;0.417;0.1;0.167;1.0;0.625;0.333;0.417;0.417;0.375;0.273;0.273
ENST00000614488_90_90;0.636;0.2;0.143;0.625;1.0;0.545;0.636;0.636;0.5;0.364;0.364
ENST00000618166_90_90;0.909;0.5;0.1;0.333;0.545;1.0;0.909;0.909;0.5;0.8;0.8
ENST00000621999_90_90;1.0;0.455;0.091;0.417;0.636;0.909;1.0;1.0;0.455;0.727;0.727
ENSMUST00000022197_90_90;1.0;0.455;0.091;0.417;0.636;0.909;1.0;1.0;0.455;0.727;0.727
ENSMUST00000138255_90_90;0.455;0.429;0.2;0.375;0.5;0.5;0.455;0.455;1.0;0.625;0.625
ENSMUST00000152555_90_90;0.727;0.625;0.125;0.273;0.364;0.8;0.727;0.727;0.625;1.0;1.0
ENSMUST00000153558_90_90;0.727;0.625;0.125;0.273;0.364;0.8;0.727;0.727;0.625;1.0;1.0
