;ENSCAFT00000027066_90_90;ENST00000316856_90_90;ENST00000586375_90_90;ENST00000586534_90_90;ENST00000590881_90_90;ENST00000591499_90_90;ENST00000592268_90_90;ENST00000593114_90_90;ENSMUST00000003911_90_90;ENSMUST00000109761_90_90;ENSMUST00000128035_90_90;ENSMUST00000144675_90_90
ENSCAFT00000027066_90_90;1.0;0.94;0.231;0.943;0.412;0.29;0.784;0.223;0.94;0.943;0.804;0.424
ENST00000316856_90_90;0.94;1.0;0.195;0.943;0.457;0.29;0.784;0.223;1.0;0.943;0.804;0.424
ENST00000586375_90_90;0.231;0.195;1.0;0.252;0.088;0.069;0.3;0.0;0.195;0.252;0.295;0.239
ENST00000586534_90_90;0.943;0.943;0.252;1.0;0.428;0.279;0.841;0.219;0.943;1.0;0.861;0.478
ENST00000590881_90_90;0.412;0.457;0.088;0.428;1.0;0.0;0.327;0.0;0.457;0.428;0.348;0.522
ENST00000591499_90_90;0.29;0.29;0.069;0.279;0.0;1.0;0.331;0.655;0.29;0.279;0.32;0.0
ENST00000592268_90_90;0.784;0.784;0.3;0.841;0.327;0.331;1.0;0.259;0.784;0.841;0.861;0.325
ENST00000593114_90_90;0.223;0.223;0.0;0.219;0.0;0.655;0.259;1.0;0.223;0.219;0.248;0.0
ENSMUST00000003911_90_90;0.94;1.0;0.195;0.943;0.457;0.29;0.784;0.223;1.0;0.943;0.804;0.424
ENSMUST00000109761_90_90;0.943;0.943;0.252;1.0;0.428;0.279;0.841;0.219;0.943;1.0;0.861;0.478
ENSMUST00000128035_90_90;0.804;0.804;0.295;0.861;0.348;0.32;0.861;0.248;0.804;0.861;1.0;0.418
ENSMUST00000144675_90_90;0.424;0.424;0.239;0.478;0.522;0.0;0.325;0.0;0.424;0.478;0.418;1.0
