;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript24_ENSPEMG00000024651;1.0;1.0;0.947;0.945;0.793;0.775;0.332;0.142;0.786;0.778;0.778;0.778;0.778;0.77;0.764;0.796;0.796;0.796;0.732;0.317;0.287;0.503;0.506;0.317;0.317;0.137;0.53
transcript15_ENSPEMG00000024651;1.0;1.0;0.947;0.945;0.793;0.775;0.332;0.142;0.786;0.778;0.778;0.778;0.778;0.77;0.764;0.796;0.796;0.796;0.732;0.317;0.287;0.503;0.506;0.317;0.317;0.137;0.53
transcript22_ENSPEMG00000024651;0.947;0.947;1.0;0.998;0.795;0.815;0.331;0.141;0.788;0.818;0.818;0.818;0.818;0.811;0.804;0.798;0.798;0.798;0.734;0.316;0.286;0.508;0.505;0.316;0.316;0.137;0.529
transcript31_ENSPEMG00000024651;0.945;0.945;0.998;1.0;0.793;0.813;0.332;0.142;0.786;0.816;0.816;0.816;0.816;0.809;0.802;0.796;0.796;0.796;0.732;0.317;0.287;0.506;0.503;0.317;0.317;0.137;0.527
transcript29_ENSCGRG00001010245;0.793;0.793;0.795;0.793;1.0;0.975;0.331;0.136;0.948;0.962;0.962;0.962;0.962;0.911;0.941;0.987;0.987;0.987;0.89;0.316;0.285;0.62;0.626;0.316;0.316;0.132;0.648
transcript43_ENSCGRG00000018457;0.775;0.775;0.815;0.813;0.975;1.0;0.34;0.139;0.923;0.986;0.986;0.986;0.986;0.934;0.965;0.962;0.962;0.962;0.866;0.324;0.293;0.617;0.613;0.324;0.324;0.136;0.636
transcript37_ENSCGRG00001010245;0.332;0.332;0.331;0.332;0.331;0.34;1.0;0.41;0.349;0.335;0.335;0.335;0.335;0.354;0.343;0.327;0.327;0.327;0.231;0.954;0.861;0.251;0.249;0.954;0.954;0.399;0.276
transcript38_ENSCGRG00001010245;0.142;0.142;0.141;0.142;0.136;0.139;0.41;1.0;0.143;0.138;0.138;0.138;0.138;0.145;0.141;0.134;0.134;0.134;0.038;0.413;0.419;0.091;0.091;0.413;0.413;0.972;0.12
transcript7_ENSCGRG00001010245;0.786;0.786;0.788;0.786;0.948;0.923;0.349;0.143;1.0;0.911;0.911;0.911;0.911;0.96;0.89;0.936;0.936;0.936;0.839;0.333;0.301;0.569;0.575;0.333;0.333;0.139;0.597
transcript32_ENSCGRG00015005362;0.778;0.778;0.818;0.816;0.962;0.986;0.335;0.138;0.911;1.0;1.0;1.0;1.0;0.948;0.979;0.975;0.975;0.975;0.879;0.32;0.289;0.63;0.627;0.32;0.32;0.134;0.65
transcript22_ENSCGRG00000018457;0.778;0.778;0.818;0.816;0.962;0.986;0.335;0.138;0.911;1.0;1.0;1.0;1.0;0.948;0.979;0.975;0.975;0.975;0.879;0.32;0.289;0.63;0.627;0.32;0.32;0.134;0.65
transcript26_ENSCGRG00000018457;0.778;0.778;0.818;0.816;0.962;0.986;0.335;0.138;0.911;1.0;1.0;1.0;1.0;0.948;0.979;0.975;0.975;0.975;0.879;0.32;0.289;0.63;0.627;0.32;0.32;0.134;0.65
transcript26_ENSCGRG00001010245;0.778;0.778;0.818;0.816;0.962;0.986;0.335;0.138;0.911;1.0;1.0;1.0;1.0;0.948;0.979;0.975;0.975;0.975;0.879;0.32;0.289;0.63;0.627;0.32;0.32;0.134;0.65
transcript33_ENSCGRG00015005362;0.77;0.77;0.811;0.809;0.911;0.934;0.354;0.145;0.96;0.948;0.948;0.948;0.948;1.0;0.926;0.924;0.924;0.924;0.828;0.337;0.305;0.579;0.575;0.337;0.337;0.141;0.598
transcript42_ENSCGRG00000018457;0.764;0.764;0.804;0.802;0.941;0.965;0.343;0.141;0.89;0.979;0.979;0.979;0.979;0.926;1.0;0.955;0.955;0.955;0.858;0.327;0.295;0.622;0.618;0.327;0.327;0.137;0.641
transcript14_ENSSTOG00000019743;0.796;0.796;0.798;0.796;0.987;0.962;0.327;0.134;0.936;0.975;0.975;0.975;0.975;0.924;0.955;1.0;1.0;1.0;0.904;0.312;0.282;0.633;0.639;0.312;0.312;0.13;0.662
transcript12_ENSSTOG00000019743;0.796;0.796;0.798;0.796;0.987;0.962;0.327;0.134;0.936;0.975;0.975;0.975;0.975;0.924;0.955;1.0;1.0;1.0;0.904;0.312;0.282;0.633;0.639;0.312;0.312;0.13;0.662
transcript5_ENSSTOG00000019743;0.796;0.796;0.798;0.796;0.987;0.962;0.327;0.134;0.936;0.975;0.975;0.975;0.975;0.924;0.955;1.0;1.0;1.0;0.904;0.312;0.282;0.633;0.639;0.312;0.312;0.13;0.662
transcript13_ENSSTOG00000019743;0.732;0.732;0.734;0.732;0.89;0.866;0.231;0.038;0.839;0.879;0.879;0.879;0.879;0.828;0.858;0.904;0.904;0.904;1.0;0.22;0.199;0.591;0.597;0.22;0.22;0.038;0.617
transcript8_MGP-PahariEiJ-G0020237;0.317;0.317;0.316;0.317;0.316;0.324;0.954;0.413;0.333;0.32;0.32;0.32;0.32;0.337;0.327;0.312;0.312;0.312;0.22;1.0;0.836;0.244;0.242;1.0;1.0;0.418;0.268
transcript8_ENSRNOG00000031503;0.287;0.287;0.286;0.287;0.285;0.293;0.861;0.419;0.301;0.289;0.289;0.289;0.289;0.305;0.295;0.282;0.282;0.282;0.199;0.836;1.0;0.204;0.202;0.836;0.836;0.406;0.229
transcript20_ENSNGAG00000018584;0.503;0.503;0.508;0.506;0.62;0.617;0.251;0.091;0.569;0.63;0.63;0.63;0.63;0.579;0.622;0.633;0.633;0.633;0.591;0.244;0.204;1.0;0.991;0.244;0.244;0.092;0.957
transcript17_ENSNGAG00000018584;0.506;0.506;0.505;0.503;0.626;0.613;0.249;0.091;0.575;0.627;0.627;0.627;0.627;0.575;0.618;0.639;0.639;0.639;0.597;0.242;0.202;0.991;1.0;0.242;0.242;0.091;0.966
transcript37_MGP-PahariEiJ-G0020237;0.317;0.317;0.316;0.317;0.316;0.324;0.954;0.413;0.333;0.32;0.32;0.32;0.32;0.337;0.327;0.312;0.312;0.312;0.22;1.0;0.836;0.244;0.242;1.0;1.0;0.418;0.268
transcript36_MGP-PahariEiJ-G0020237;0.317;0.317;0.316;0.317;0.316;0.324;0.954;0.413;0.333;0.32;0.32;0.32;0.32;0.337;0.327;0.312;0.312;0.312;0.22;1.0;0.836;0.244;0.242;1.0;1.0;0.418;0.268
transcript38_MGP-PahariEiJ-G0020237;0.137;0.137;0.137;0.137;0.132;0.136;0.399;0.972;0.139;0.134;0.134;0.134;0.134;0.141;0.137;0.13;0.13;0.13;0.038;0.418;0.406;0.092;0.091;0.418;0.418;1.0;0.12
transcript5_ENSNGAG00000018584;0.53;0.53;0.529;0.527;0.648;0.636;0.276;0.12;0.597;0.65;0.65;0.65;0.65;0.598;0.641;0.662;0.662;0.662;0.617;0.268;0.229;0.957;0.966;0.268;0.268;0.12;1.0
