;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.815;0.102;0.111;0.164;0.165;0.185;0.276;0.0;0.045;0.05;0.0;0.0;0.0;0.05;0.062;0.051
ENSCAFT00000048830_90_90;0.815;1.0;0.119;0.125;0.184;0.185;0.21;0.337;0.0;0.05;0.057;0.0;0.0;0.0;0.056;0.071;0.058
ENST00000368686_90_90;0.102;0.119;1.0;0.411;0.374;0.37;0.452;0.229;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000368687_90_90;0.111;0.125;0.411;1.0;0.896;0.899;0.714;0.206;0.178;0.198;0.225;0.204;0.203;0.178;0.224;0.031;0.025
ENST00000368690_90_90;0.164;0.184;0.374;0.896;1.0;0.996;0.811;0.305;0.167;0.194;0.219;0.189;0.188;0.167;0.218;0.037;0.031
ENST00000368694_90_90;0.165;0.185;0.37;0.899;0.996;1.0;0.815;0.306;0.167;0.195;0.22;0.189;0.189;0.167;0.219;0.037;0.031
ENST00000403433_90_90;0.185;0.21;0.452;0.714;0.811;0.815;1.0;0.376;0.189;0.219;0.251;0.217;0.217;0.189;0.25;0.043;0.035
ENST00000614256_90_90;0.276;0.337;0.229;0.206;0.305;0.306;0.376;1.0;0.01;0.053;0.062;0.012;0.012;0.01;0.062;0.072;0.052
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.178;0.167;0.167;0.189;0.01;1.0;0.9;0.711;0.79;0.795;1.0;0.715;0.396;0.514
ENSMUST00000049937_90_90;0.045;0.05;0.0;0.198;0.194;0.195;0.219;0.053;0.9;1.0;0.811;0.711;0.715;0.9;0.815;0.497;0.604
ENSMUST00000076639_90_90;0.05;0.057;0.0;0.225;0.219;0.22;0.251;0.062;0.711;0.811;1.0;0.876;0.872;0.711;0.995;0.604;0.511
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.204;0.189;0.189;0.217;0.012;0.79;0.711;0.876;1.0;0.994;0.79;0.872;0.481;0.416
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.203;0.188;0.189;0.217;0.012;0.795;0.715;0.872;0.994;1.0;0.795;0.877;0.486;0.42
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.178;0.167;0.167;0.189;0.01;1.0;0.9;0.711;0.79;0.795;1.0;0.715;0.396;0.514
ENSMUST00000107346_90_90;0.05;0.056;0.0;0.224;0.218;0.219;0.25;0.062;0.715;0.815;0.995;0.872;0.877;0.715;1.0;0.609;0.515
ENSMUST00000131868_90_90;0.062;0.071;0.0;0.031;0.037;0.037;0.043;0.072;0.396;0.497;0.604;0.481;0.486;0.396;0.609;1.0;0.633
ENSMUST00000146740_90_90;0.051;0.058;0.0;0.025;0.031;0.031;0.035;0.052;0.514;0.604;0.511;0.416;0.42;0.514;0.515;0.633;1.0
