;transcript52_ENSMUSG00000054036;transcript57_ENSMUSG00000054036;transcript64_ENSMUSG00000054036;transcript67_ENSMUSG00000054036;transcript9_MGP-CAROLIEiJ-G0020234;transcript52_MGP-CAROLIEiJ-G0020234;transcript62_MGP-CAROLIEiJ-G0020234;transcript63_MGP-CAROLIEiJ-G0020234;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript48_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript40_ENSRNOG00000031503;transcript49_ENSRNOG00000031503;transcript53_ENSRNOG00000031503;transcript54_ENSRNOG00000031503;transcript55_ENSRNOG00000031503;transcript41_ENSMUGG00000013649
transcript52_ENSMUSG00000054036;1.0;0.714;1.0;0.803;0.614;0.803;0.678;0.582;0.661;0.621;0.707;0.637;0.615;0.777;0.353;0.689;0.689;0.629
transcript57_ENSMUSG00000054036;0.714;1.0;0.714;0.883;0.584;0.58;0.495;0.558;0.895;0.823;0.94;0.824;0.796;0.591;0.548;0.887;0.887;0.873
transcript64_ENSMUSG00000054036;1.0;0.714;1.0;0.803;0.614;0.803;0.678;0.582;0.661;0.621;0.707;0.637;0.615;0.777;0.353;0.689;0.689;0.629
transcript67_ENSMUSG00000054036;0.803;0.883;0.803;1.0;0.644;0.649;0.55;0.615;0.836;0.771;0.882;0.758;0.732;0.649;0.478;0.817;0.817;0.775
transcript9_MGP-CAROLIEiJ-G0020234;0.614;0.584;0.614;0.644;1.0;0.712;0.608;0.963;0.571;0.746;0.612;0.592;0.627;0.679;0.566;0.522;0.522;0.71
transcript52_MGP-CAROLIEiJ-G0020234;0.803;0.58;0.803;0.649;0.712;1.0;0.841;0.675;0.564;0.535;0.612;0.506;0.489;0.613;0.399;0.545;0.545;0.512
transcript62_MGP-CAROLIEiJ-G0020234;0.678;0.495;0.678;0.55;0.608;0.841;1.0;0.571;0.546;0.457;0.521;0.423;0.409;0.508;0.308;0.455;0.455;0.439
transcript63_MGP-CAROLIEiJ-G0020234;0.582;0.558;0.582;0.615;0.963;0.675;0.571;1.0;0.544;0.72;0.585;0.566;0.601;0.648;0.58;0.495;0.495;0.684
transcript7_MGP-PahariEiJ-G0020237;0.661;0.895;0.661;0.836;0.571;0.564;0.546;0.544;1.0;0.825;0.952;0.728;0.704;0.54;0.489;0.783;0.783;0.784
transcript9_MGP-PahariEiJ-G0020237;0.621;0.823;0.621;0.771;0.746;0.535;0.457;0.72;0.825;1.0;0.865;0.798;0.831;0.676;0.626;0.728;0.728;0.95
transcript48_MGP-PahariEiJ-G0020237;0.707;0.94;0.707;0.882;0.612;0.612;0.521;0.585;0.952;0.865;1.0;0.769;0.744;0.581;0.529;0.828;0.828;0.823
transcript8_ENSRNOG00000031503;0.637;0.824;0.637;0.758;0.592;0.506;0.423;0.566;0.728;0.798;0.769;1.0;0.96;0.726;0.678;0.916;0.916;0.848
transcript40_ENSRNOG00000031503;0.615;0.796;0.615;0.732;0.627;0.489;0.409;0.601;0.704;0.831;0.744;0.96;1.0;0.766;0.719;0.879;0.879;0.883
transcript49_ENSRNOG00000031503;0.777;0.591;0.777;0.649;0.679;0.613;0.508;0.648;0.54;0.676;0.581;0.726;0.766;1.0;0.485;0.645;0.645;0.683
transcript53_ENSRNOG00000031503;0.353;0.548;0.353;0.478;0.566;0.399;0.308;0.58;0.489;0.626;0.529;0.678;0.719;0.485;1.0;0.598;0.598;0.642
transcript54_ENSRNOG00000031503;0.689;0.887;0.689;0.817;0.522;0.545;0.455;0.495;0.783;0.728;0.828;0.916;0.879;0.645;0.598;1.0;1.0;0.78
transcript55_ENSRNOG00000031503;0.689;0.887;0.689;0.817;0.522;0.545;0.455;0.495;0.783;0.728;0.828;0.916;0.879;0.645;0.598;1.0;1.0;0.78
transcript41_ENSMUGG00000013649;0.629;0.873;0.629;0.775;0.71;0.512;0.439;0.684;0.784;0.95;0.823;0.848;0.883;0.683;0.642;0.78;0.78;1.0
