;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript47_ENSMUGG00000013649;transcript47_ENSPEMG00000024651;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584;transcript7_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript32_ENSSTOG00000019743
transcript40_ENSRNOG00000031503;1.0;0.906;0.967;0.906;1.0;1.0;1.0;1.0;1.0;1.0;0.922;1.0;1.0
transcript47_ENSRNOG00000031503;0.906;1.0;1.0;1.0;0.967;0.966;0.906;0.906;0.977;0.906;0.983;0.906;0.906
transcript47_ENSMUGG00000013649;0.967;1.0;1.0;1.0;0.971;0.971;0.966;0.966;0.98;0.971;0.986;0.971;0.971
transcript47_ENSPEMG00000024651;0.906;1.0;1.0;1.0;0.966;0.965;0.919;0.919;0.974;0.919;0.983;0.919;0.919
transcript20_ENSMUGG00000013649;1.0;0.967;0.971;0.966;1.0;1.0;1.0;1.0;1.0;1.0;0.986;1.0;1.0
transcript20_ENSMUGG00000013592;1.0;0.966;0.971;0.965;1.0;1.0;1.0;1.0;1.0;1.0;0.985;1.0;1.0
transcript19_ENSPEMG00000024651;1.0;0.906;0.966;0.919;1.0;1.0;1.0;1.0;1.0;1.0;0.935;1.0;1.0
transcript38_ENSPEMG00000024651;1.0;0.906;0.966;0.919;1.0;1.0;1.0;1.0;1.0;1.0;0.935;1.0;1.0
transcript27_ENSNGAG00000018584;1.0;0.977;0.98;0.974;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;1.0;0.906;0.971;0.919;1.0;1.0;1.0;1.0;1.0;1.0;0.92;1.0;1.0
transcript24_ENSSTOG00000019743;0.922;0.983;0.986;0.983;0.986;0.985;0.935;0.935;1.0;0.92;1.0;0.92;0.92
transcript25_ENSSTOG00000019743;1.0;0.906;0.971;0.919;1.0;1.0;1.0;1.0;1.0;1.0;0.92;1.0;1.0
transcript32_ENSSTOG00000019743;1.0;0.906;0.971;0.919;1.0;1.0;1.0;1.0;1.0;1.0;0.92;1.0;1.0
