;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;0.923;0.76;0.883;0.76;0.238;0.939;0.883;0.939;0.916;0.924;0.883
transcript33_MGP-PahariEiJ-G0020237;0.923;1.0;0.718;0.843;0.718;0.246;0.895;0.843;0.895;0.871;0.881;0.843
transcript27_ENSRNOG00000031503;0.76;0.718;1.0;0.835;1.0;0.318;0.787;0.835;0.787;0.742;0.773;0.835
transcript27_ENSMUGG00000013649;0.883;0.843;0.835;1.0;0.835;0.292;0.909;1.0;0.909;0.865;0.895;1.0
transcript34_ENSRNOG00000031503;0.76;0.718;1.0;0.835;1.0;0.318;0.787;0.835;0.787;0.742;0.773;0.835
transcript37_ENSMUGG00000013649;0.238;0.246;0.318;0.292;0.318;1.0;0.215;0.292;0.215;0.184;0.202;0.292
transcript38_ENSMUGG00000013649;0.939;0.895;0.787;0.909;0.787;0.215;1.0;0.909;1.0;0.952;0.985;0.909
transcript40_ENSMUGG00000013649;0.883;0.843;0.835;1.0;0.835;0.292;0.909;1.0;0.909;0.865;0.895;1.0
transcript45_ENSMUGG00000013649;0.939;0.895;0.787;0.909;0.787;0.215;1.0;0.909;1.0;0.952;0.985;0.909
transcript46_ENSMUGG00000013649;0.916;0.871;0.742;0.865;0.742;0.184;0.952;0.865;0.952;1.0;0.966;0.865
transcript49_ENSMUGG00000013649;0.924;0.881;0.773;0.895;0.773;0.202;0.985;0.895;0.985;0.966;1.0;0.895
transcript39_ENSMUGG00000013592;0.883;0.843;0.835;1.0;0.835;0.292;0.909;1.0;0.909;0.865;0.895;1.0
