;ENSCAFT00000007417_90_90;ENST00000283628_90_90;ENST00000283629_90_90;ENST00000411650_90_90;ENST00000447368_90_90;ENST00000456378_90_90;ENSMUST00000009885_90_90;ENSMUST00000084885_90_90;ENSMUST00000116492_90_90;ENSMUST00000214095_90_90;ENSMUST00000216558_90_90
ENSCAFT00000007417_90_90;1.0;0.999;0.999;0.256;0.933;0.275;0.933;1.0;0.933;0.933;1.0
ENST00000283628_90_90;0.999;1.0;1.0;0.243;0.933;0.274;0.933;0.999;0.933;0.933;0.999
ENST00000283629_90_90;0.999;1.0;1.0;0.243;0.933;0.274;0.933;0.999;0.933;0.933;0.999
ENST00000411650_90_90;0.256;0.243;0.243;1.0;0.26;0.0;0.274;0.256;0.274;0.274;0.256
ENST00000447368_90_90;0.933;0.933;0.933;0.26;1.0;0.294;0.999;0.933;0.999;0.999;0.933
ENST00000456378_90_90;0.275;0.274;0.274;0.0;0.294;1.0;0.294;0.274;0.294;0.294;0.274
ENSMUST00000009885_90_90;0.933;0.933;0.933;0.274;0.999;0.294;1.0;0.933;1.0;1.0;0.933
ENSMUST00000084885_90_90;1.0;0.999;0.999;0.256;0.933;0.274;0.933;1.0;0.933;0.933;1.0
ENSMUST00000116492_90_90;0.933;0.933;0.933;0.274;0.999;0.294;1.0;0.933;1.0;1.0;0.933
ENSMUST00000214095_90_90;0.933;0.933;0.933;0.274;0.999;0.294;1.0;0.933;1.0;1.0;0.933
ENSMUST00000216558_90_90;1.0;0.999;0.999;0.256;0.933;0.274;0.933;1.0;0.933;0.933;1.0
